symbol,close,demand_zone_D,demand_fresh,demand_quality,near_demand,supply_zone_D,near_supply,demand_zone_W,supply_zone_W,last_BoS,last_ChoCh,bos_dir,bull_OB,bear_OB,bull_OB_unmitigated,unfilled_bull_FVG,unfilled_bear_FVG,nearest_bull_FVG_below,nearest_bear_FVG_above,buyside_liq_above,sellside_liq_below,liquidity_swept,equal_highs,equal_lows,pd_zone,range_pos_pct,range_high,range_low,in_discount,structure_D,structure_W,structure_aligned
INNOVACAP,957.85,"710.0-763.4 (Moderate, FRESH, 25.47% away)",True,Moderate,False,none,False,none,none,bull @ 978.0 on 2026-06-29,bull @ 685.9 on 2026-03-10,bull,"918.0-980.0 (2026-06-25, mitigated)","689.9-722.85 (2026-03-25, mitigated)",False,4,0,903.4-905.1 (2026-06-10),none,none,833.6,none,2,4,Premium,82.0,1031.5,622.0,False,bullish (HH/HL),bearish (LH/LL),False
TEJASNET,593.6,"414.5-488.9 (Moderate, tested, 21.42% away)",False,Moderate,False,none,False,"396.25-461.5 (Moderate, tested, 28.62% away)",none,bull @ 629.45 on 2026-06-19,bull @ 461.5 on 2026-05-06,bull,"491.5-507.25 (2026-05-27, UNMITIGATED)","467.75-554.95 (2026-05-07, mitigated)",True,4,1,563.0-575.0 (2026-06-12),604.5-605.05 (2026-07-03),643.38,none,none,2,0,Premium,85.4,644.75,294.0,False,bullish (HH/HL),ranging,False
DSSL,1316.9,"1215.0-1407.7 (Moderate, tested, -6.45% away)",False,Moderate,False,none,False,"1014.0-1445.0 (Moderate, tested, -8.87% away)","1093.6-1924.8 (Moderate, tested, -16.96% away)",bull @ 1382.6 on 2026-06-18,bull @ 1382.6 on 2026-06-18,bull,"1325.0-1429.8 (2026-05-15, mitigated)","1330.0-1386.5 (2026-06-30, mitigated)",False,5,4,1144.6-1251.9 (2026-05-06),1444.0-1461.8 (2026-06-24),none,921.45,none,0,1,Equilibrium,46.9,1924.8,781.0,False,ranging,ranging,True
VADILALIND,6361.5,"4364.1-5200.0 (Moderate, FRESH, 22.34% away)",True,Moderate,False,none,False,"4071.1-5200.0 (Moderate, FRESH, 22.34% away)",none,bull @ 4723.0 on 2026-05-29,bull @ 4723.0 on 2026-05-29,bull,"4813.5-5200.0 (2026-05-29, UNMITIGATED)","4600.0-4720.5 (2026-05-06, mitigated)",True,9,0,5540.0-5575.0 (2026-06-08),none,none,4066.55,none,2,1,Premium,95.2,6480.0,3996.0,False,ranging,ranging,True
KTKBANK,263.4,"195.55-209.65 (Moderate, tested, 25.64% away)",False,Moderate,False,none,False,"173.8-193.99 (Moderate, tested, 35.78% away)",none,bear @ 263.7 on 2026-07-03,bear @ 263.7 on 2026-07-03,bear,"255.0-266.2 (2026-06-08, mitigated)","266.35-274.7 (2026-06-30, mitigated)",False,3,0,252.75-262.2 (2026-05-21),none,none,195.58,none,1,2,Premium,81.8,282.95,175.32,False,bullish (HH/HL),bullish (HH/HL),True
BHAGCHEM,283.4,"232.5-254.95 (Moderate, tested, 11.16% away)",False,Moderate,False,none,False,"170.6-231.99 (Moderate, FRESH, 22.16% away)",none,bull @ 274.9 on 2026-06-19,bull @ 257.7 on 2026-06-09,bull,"258.0-268.0 (2026-06-18, UNMITIGATED)","174.6-195.0 (2026-03-27, mitigated)",True,4,0,268.0-280.62 (2026-06-22),none,298.0,242.35,none,2,3,Premium,88.5,298.0,170.6,False,ranging,ranging,True
SCI,301.75,"301.5-328.8 (Moderate, tested, -8.23% away)",False,Moderate,False,none,False,"217.55-247.72 (Moderate, FRESH, 21.81% away)",none,bull @ 321.05 on 2026-06-22,bull @ 321.05 on 2026-06-22,bull,"286.0-294.65 (2026-06-01, mitigated)","320.1-330.0 (2026-06-24, UNMITIGATED)",False,4,2,255.54-292.0 (2026-04-17),310.85-311.8 (2026-06-30),323.4,284.17,none,2,2,Premium,61.3,368.75,195.55,False,bullish (HH/HL),bullish (HH/HL),True
RSWM,194.76,"167.86-187.39 (Moderate, tested, 3.93% away)",False,Moderate,True,none,False,"120.0-147.98 (Moderate, FRESH, 31.61% away)",none,bull @ 187.39 on 2026-06-05,bull @ 152.5 on 2026-04-10,bull,"167.86-178.0 (2026-06-02, UNMITIGATED)","143.3-147.98 (2026-03-11, mitigated)",True,6,0,179.46-191.15 (2026-06-08),none,none,150.48,none,2,2,Premium,71.9,224.0,120.0,False,ranging,ranging,True
SUPRIYA,978.9,"762.15-818.0 (Moderate, FRESH, 19.67% away)",True,Moderate,False,"785.0-1085.0 (Moderate, tested, -19.81% above)",False,"655.0-794.0 (Moderate, FRESH, 23.29% away)",none,bull @ 982.0 on 2026-06-30,bull @ 732.15 on 2026-05-21,bull,"762.15-787.0 (2026-05-25, UNMITIGATED)","958.55-1085.0 (2026-06-01, mitigated)",True,7,0,928.15-964.55 (2026-06-30),none,none,720.65,none,2,5,Premium,80.3,1085.0,545.5,False,ranging,ranging,True
ELECTHERM,1200.3,"750.0-830.6 (Moderate, FRESH, 44.51% away)",True,Moderate,False,none,False,"980.0-1189.0 (Moderate, tested, 0.95% away)","1060.0-1280.4 (Moderate, tested, -11.69% away)",bull @ 1099.0 on 2026-06-10,bull @ 885.6 on 2026-06-01,bull,"846.45-979.3 (2026-06-08, UNMITIGATED)","749.7-778.7 (2026-04-21, mitigated)",True,7,0,979.3-981.25 (2026-06-10),none,none,775.23,none,2,1,Premium,95.5,1231.0,551.0,False,ranging,ranging,True
SEAMECLTD,1431.7,none,,none,False,"1540.0-1645.0 (Moderate, FRESH, 7.56% above)",False,none,"1473.4-1709.2 (Moderate, tested, 2.91% away)",bear @ 1556.0 on 2026-06-17,bear @ 1482.2 on 2026-05-12,bear,"1300.3-1330.6 (2026-02-27, mitigated)",none,False,1,2,1376.8-1385.0 (2026-06-24),1400.0-1571.0 (2026-06-18),1646.45,1251.0,none,2,2,Premium,59.9,1709.2,1017.9,False,bearish (LH/LL),bullish (HH/HL),False
RAYMONDREL,676.0,"426.9-479.0 (Moderate, FRESH, 41.13% away)",True,Moderate,False,none,False,"409.65-483.0 (Moderate, FRESH, 39.96% away)",none,bull @ 643.85 on 2026-06-22,bull @ 442.0 on 2026-04-16,bull,"550.0-586.45 (2026-05-21, mitigated)","586.7-675.0 (2026-05-07, mitigated)",False,7,0,611.75-615.2 (2026-06-19),none,none,617.1,none,1,2,Premium,91.1,708.0,349.0,False,bullish (HH/HL),bearish (LH/LL),False
SFL,766.55,"693.25-713.95 (Moderate, tested, 7.37% away)",False,Moderate,True,none,False,"497.95-607.7 (Moderate, tested, 26.14% away)",none,bull @ 755.8 on 2026-07-02,bull @ 537.0 on 2026-04-16,bull,"732.65-760.05 (2026-07-01, mitigated)","562.6-590.0 (2026-05-11, mitigated)",False,9,0,647.0-668.75 (2026-06-09),none,none,506.28,none,2,2,Premium,98.9,770.0,456.8,False,bullish (HH/HL),bearish (LH/LL),False
AVL,638.55,"500.75-542.7 (Moderate, tested, 17.66% away)",False,Moderate,False,none,False,"500.75-562.4 (Moderate, FRESH, 13.54% away)",none,bull @ 562.4 on 2026-06-15,bull @ 562.4 on 2026-06-15,bull,"500.75-522.2 (2026-06-02, mitigated)","470.0-493.0 (2026-03-27, mitigated)",False,5,0,593.7-607.0 (2026-06-18),none,none,524.4,none,3,5,Premium,75.2,705.0,436.55,False,bullish (HH/HL),bullish (HH/HL),True
530249,16.39,"12.0-13.76 (Moderate, tested, 19.11% away)",False,Moderate,False,none,False,"10.1-12.8 (Moderate, tested, 28.05% away)",none,bull @ 14.98 on 2026-06-30,bull @ 14.98 on 2026-06-30,bull,"11.8-12.2 (2026-03-11, UNMITIGATED)","15.35-16.1 (2026-05-14, mitigated)",True,1,0,14.85-15.07 (2026-07-01),none,none,12.03,none,3,2,Premium,86.2,17.4,10.1,False,bearish (LH/LL),ranging,False
KPRMILL,1184.5,"1038.05-1085.0 (Moderate, FRESH, 9.17% away)",True,Moderate,False,none,False,none,none,bull @ 1208.7 on 2026-06-24,bull @ 975.95 on 2026-06-01,bull,"1123.5-1150.9 (2026-06-23, mitigated)","955.0-982.05 (2026-05-07, mitigated)",False,7,0,1068.5-1125.0 (2026-06-19),none,none,805.2,none,4,1,Premium,72.2,1334.0,796.1,False,bullish (HH/HL),bearish (LH/LL),False
AZAD,2149.1,"1855.9-1985.0 (Moderate, tested, 8.27% away)",False,Moderate,False,"2070.0-2202.8 (Moderate, tested, -3.68% above)",False,none,none,bear @ 2082.5 on 2026-06-18,bear @ 2082.5 on 2026-06-18,bear,"1962.0-2046.5 (2026-06-01, mitigated)","2120.0-2232.0 (2026-06-17, mitigated)",False,7,0,2019.0-2040.0 (2026-07-01),none,none,1955.0,none,0,3,Premium,79.7,2350.0,1360.0,False,bearish (LH/LL),ranging,False
VIJAYA,1365.2,"988.0-1015.0 (Moderate, tested, 34.5% away)",False,Moderate,False,none,False,"877.7-1135.0 (Moderate, FRESH, 20.28% away)",none,bear @ 1258.3 on 2026-05-22,bear @ 1258.3 on 2026-05-22,bear,"1262.1-1333.0 (2026-06-03, mitigated)","1322.0-1375.3 (2026-06-25, mitigated)",False,9,0,1200.0-1223.3 (2026-05-08),none,1377.15,916.35,buy-side swept (bearish stop-hunt),2,1,Premium,89.2,1427.8,848.0,False,ranging,ranging,True
GULPOLY,191.78,"127.56-133.54 (Moderate, FRESH, 43.61% away)",True,Moderate,False,"185.4-209.4 (Moderate, tested, -3.33% above)",False,"121.5-145.16 (Moderate, tested, 32.12% away)",none,bear @ 202.0 on 2026-06-24,bear @ 202.0 on 2026-06-24,bear,"174.51-182.25 (2026-05-29, UNMITIGATED)","198.39-209.4 (2026-05-21, mitigated)",True,2,2,163.49-170.35 (2026-04-09),194.0-197.5 (2026-06-29),none,175.89,none,1,2,Premium,70.1,221.75,121.5,False,ranging,bullish (HH/HL),False
JETFREIGHT,21.83,"18.81-20.09 (Moderate, tested, 8.66% away)",False,Moderate,False,none,False,"12.0-15.1 (Moderate, FRESH, 44.57% away)",none,bear @ 21.05 on 2026-06-25,bear @ 21.05 on 2026-06-25,bear,"21.13-22.2 (2026-06-03, mitigated)","21.1-22.8 (2026-05-27, mitigated)",False,2,0,19.34-21.41 (2026-05-14),none,none,17.53,none,2,3,Premium,70.9,24.5,15.31,False,bearish (LH/LL),bullish (HH/HL),False
WALCHANNAG,243.55,"187.4-198.9 (Moderate, FRESH, 22.45% away)",True,Moderate,False,"267.15-291.85 (Moderate, FRESH, 9.69% above)",False,"172.73-189.9 (Moderate, tested, 28.25% away)",none,bull @ 276.6 on 2026-06-17,bull @ 155.0 on 2026-04-07,bull,"260.35-273.95 (2026-06-15, mitigated)","245.53-276.6 (2026-05-26, mitigated)",False,4,3,195.25-208.31 (2026-04-23),251.95-271.2 (2026-07-02),none,none,none,0,0,Premium,60.9,315.8,131.15,False,bullish (HH/HL),bearish (LH/LL),False
SERVOTECH,101.37,"82.02-87.0 (Moderate, tested, 16.52% away)",False,Moderate,False,none,False,none,none,bull @ 98.5 on 2026-06-02,bull @ 98.5 on 2026-06-02,bull,"95.28-98.7 (2026-06-29, UNMITIGATED)","102.2-115.8 (2026-06-03, mitigated)",True,6,1,98.7-99.51 (2026-07-01),106.3-108.1 (2026-06-08),none,95.4,sell-side swept (bullish stop-hunt),2,1,Premium,75.2,115.8,57.51,False,bearish (LH/LL),bullish (HH/HL),False
HCC,24.83,none,,none,False,none,False,none,"23.99-29.5 (Moderate, tested, -3.38% away)",bull @ 24.5 on 2026-06-16,bull @ 24.5 on 2026-06-16,bull,"23.76-25.0 (2026-06-15, mitigated)","22.96-23.58 (2026-06-09, mitigated)",False,6,2,23.54-24.03 (2026-06-16),25.98-26.76 (2026-06-30),none,18.81,none,2,2,Premium,75.3,28.5,13.65,False,ranging,ranging,True
DHANBANK,34.09,"29.66-31.5 (Moderate, tested, 8.22% away)",False,Moderate,False,none,False,"19.45-27.9 (Moderate, FRESH, 22.19% away)",none,bull @ 34.41 on 2026-06-22,bull @ 34.41 on 2026-06-22,bull,"30.9-32.29 (2026-05-15, mitigated)","34.01-34.8 (2026-06-24, mitigated)",False,8,0,32.88-33.25 (2026-07-03),none,35.07,24.03,none,2,1,Premium,93.1,35.17,19.45,False,ranging,ranging,True
WELSPUNLIV,170.93,"135.12-147.49 (Moderate, FRESH, 15.89% away)",True,Moderate,False,none,False,"133.34-146.0 (Moderate, FRESH, 17.08% away)",none,bull @ 165.5 on 2026-06-24,bull @ 146.0 on 2026-06-17,bull,"160.21-165.45 (2026-06-23, mitigated)","108.81-117.84 (2026-03-27, mitigated)",False,5,0,163.4-164.02 (2026-07-02),none,none,137.57,none,4,3,Premium,98.4,171.99,107.1,False,ranging,ranging,True
JINDALPOLY,620.45,"474.8-557.0 (Moderate, FRESH, 11.39% away)",True,Moderate,False,none,False,"422.55-780.0 (Moderate, tested, -20.46% away)",none,bear @ 630.0 on 2026-06-30,bear @ 630.0 on 2026-06-30,bear,"630.0-669.0 (2026-06-08, mitigated)","684.7-714.6 (2026-05-27, mitigated)",False,0,7,none,671.75-677.2 (2026-06-23),721.67,474.8,none,1,2,Discount,38.6,1026.45,365.0,True,ranging,bullish (HH/HL),False
ASTERDM,793.2,none,,none,False,none,False,none,none,bull @ 776.55 on 2026-06-09,bull @ 692.75 on 2026-04-24,bull,"591.55-607.25 (2026-02-13, mitigated)","792.5-824.9 (2026-06-10, mitigated)",False,5,0,736.0-738.9 (2026-06-05),none,none,604.8,none,1,1,Premium,86.4,836.5,519.1,False,ranging,bullish (HH/HL),False
ZENTEC,1746.7,"1582.3-1714.4 (Moderate, tested, 1.88% away)",False,Moderate,True,none,False,"1265.0-1469.6 (Moderate, tested, 18.86% away)",none,bull @ 1885.0 on 2026-06-17,bull @ 1639.4 on 2026-05-27,bull,"1607.1-1676.9 (2026-06-01, UNMITIGATED)","1605.2-1721.7 (2026-05-27, mitigated)",True,3,2,1679.0-1691.0 (2026-06-04),1861.1-1910.0 (2026-06-25),none,1340.95,none,4,3,Premium,65.4,2024.0,1223.0,False,bullish (HH/HL),bullish (HH/HL),True
UNIVASTU,88.41,"77.11-83.52 (Moderate, FRESH, 5.85% away)",True,Moderate,True,none,False,"74.08-88.33 (Moderate, tested, 0.09% away)","75.82-90.93 (Moderate, tested, -14.24% away)",bull @ 82.33 on 2026-06-15,bull @ 64.8 on 2026-04-08,bull,"80.5-83.49 (2026-06-15, UNMITIGATED)",none,True,7,1,83.49-86.23 (2026-06-17),90.0-90.01 (2026-07-02),none,67.21,none,4,2,Premium,83.1,94.99,56.02,False,bullish (HH/HL),ranging,False
BALRAMCHIN,562.45,"523.0-540.0 (Moderate, FRESH, 4.16% away)",True,Moderate,True,none,False,none,none,bear @ 527.7 on 2026-06-29,bear @ 527.7 on 2026-06-29,bear,"541.55-564.0 (2026-07-01, mitigated)","542.2-555.0 (2026-06-18, mitigated)",False,3,0,534.65-541.55 (2026-07-01),none,none,523.25,none,4,3,Premium,94.8,571.65,393.55,False,ranging,ranging,True
KIRLOSIND,4099.9,"3156.1-3955.0 (Moderate, tested, 3.66% away)",False,Moderate,True,none,False,"2941.9-3545.0 (Moderate, FRESH, 15.65% away)",none,bull @ 3239.9 on 2026-06-16,bull @ 3399.8 on 2026-05-19,bull,"3704.3-3955.0 (2026-06-19, mitigated)","3230.0-3350.0 (2026-05-06, mitigated)",False,3,0,3263.9-3680.0 (2026-06-18),none,none,3028.1,none,3,2,Premium,77.5,4574.8,2463.0,False,bullish (HH/HL),ranging,False
AARTIIND,487.7,"424.0-443.95 (Moderate, FRESH, 9.85% away)",True,Moderate,False,"477.9-501.4 (Moderate, tested, -2.01% above)",False,"338.05-379.7 (Moderate, FRESH, 28.44% away)",none,bear @ 440.6 on 2026-06-08,bear @ 475.55 on 2026-05-12,bear,"424.0-433.95 (2026-06-11, UNMITIGATED)","463.35-472.45 (2026-06-02, mitigated)",True,5,1,473.65-479.15 (2026-07-03),506.2-509.0 (2026-05-06),501.4,none,none,1,0,Premium,80.9,523.1,338.05,False,ranging,bullish (HH/HL),False
NELCO,929.55,"711.35-750.0 (Moderate, FRESH, 23.94% away)",True,Moderate,False,none,False,"640.9-735.9 (Moderate, FRESH, 26.31% away)",none,bull @ 730.5 on 2026-06-17,bull @ 730.5 on 2026-06-17,bull,"711.35-739.0 (2026-06-15, UNMITIGATED)","705.5-736.8 (2026-05-07, mitigated)",True,7,0,914.0-922.0 (2026-07-01),none,none,711.15,none,2,4,Premium,87.0,993.8,500.1,False,bullish (HH/HL),ranging,False
GESHIP,1440.4,"1462.1-1642.7 (Moderate, tested, -12.32% away)",False,Moderate,False,"1409.3-1502.2 (Moderate, tested, -2.16% above)",False,"845.0-940.0 (Moderate, tested, 53.23% away)","1405.0-1798.0 (Moderate, tested, -2.46% away)",bear @ 1410.0 on 2026-06-10,bear @ 1462.1 on 2026-05-29,bear,"1503.7-1642.7 (2026-05-15, mitigated)","1452.3-1536.0 (2026-06-29, UNMITIGATED)",False,0,2,none,1439.1-1456.0 (2026-07-02),1477.15,1347.27,buy-side swept (bearish stop-hunt),5,2,Equilibrium,51.2,1798.0,1065.0,False,ranging,bullish (HH/HL),False
526775,1080.45,"915.2-1091.0 (Moderate, tested, -0.97% away)",False,Moderate,True,"1123.0-1225.0 (Moderate, tested, 3.94% above)",True,"705.35-920.0 (Moderate, tested, 17.44% away)",none,bear @ 1126.95 on 2026-06-25,bear @ 1126.95 on 2026-06-25,bear,"1053.1-1091.0 (2026-05-12, mitigated)","1123.0-1189.0 (2026-06-24, mitigated)",False,1,0,950.0-1015.0 (2026-05-11),none,1159.2,885.8,buy-side swept (bearish stop-hunt),2,1,Premium,62.6,1304.2,705.35,False,bearish (LH/LL),bullish (HH/HL),False
BHEL,383.6,"342.04-358.1 (Moderate, FRESH, 7.12% away)",True,Moderate,True,"378.0-411.0 (Moderate, tested, -1.46% above)",False,"239.17-358.1 (Moderate, FRESH, 7.12% away)",none,bear @ 393.85 on 2026-07-03,bear @ 386.1 on 2026-06-10,bear,"371.3-388.4 (2026-05-05, mitigated)","393.85-416.4 (2026-06-29, mitigated)",False,12,1,380.15-381.75 (2026-06-16),403.2-411.8 (2026-07-03),424.3,249.07,none,2,1,Premium,77.8,424.9,239.17,False,bearish (LH/LL),ranging,False
ENRIN,3281.5,"3013.6-3180.0 (Moderate, FRESH, 3.19% away)",True,Moderate,True,"3270.0-3392.0 (Moderate, tested, -0.35% above)",False,"3019.6-3368.0 (Moderate, tested, -2.57% away)",none,bear @ 3373.7 on 2026-07-03,bear @ 3591.3 on 2026-06-08,bear,"3535.0-3687.4 (2026-06-15, mitigated)","3809.0-3968.0 (2026-05-29, mitigated)",False,8,1,3174.0-3480.0 (2026-05-21),3520.0-3615.8 (2026-07-03),none,2715.5,none,1,2,Premium,63.0,3968.0,2115.0,False,ranging,bullish (HH/HL),False
HAPPYFORGE,1499.1,"1323.2-1384.0 (Moderate, FRESH, 8.32% away)",True,Moderate,False,none,False,"1003.3-1161.0 (Moderate, tested, 29.12% away)",none,bull @ 1470.0 on 2026-06-22,bull @ 1398.0 on 2026-05-07,bull,"1422.1-1462.9 (2026-06-18, UNMITIGATED)",none,True,4,0,1462.9-1470.9 (2026-06-22),none,none,1323.95,none,3,2,Premium,84.4,1590.4,1003.3,False,bullish (HH/HL),bullish (HH/HL),True
SONAMLTD,53.67,"49.16-53.0 (Moderate, tested, 1.26% away)",False,Moderate,True,none,False,"48.17-55.5 (Moderate, tested, -3.3% away)",none,bear @ 51.57 on 2026-06-29,bear @ 51.57 on 2026-06-29,bear,"50.51-51.81 (2026-05-15, mitigated)","52.59-54.5 (2026-04-22, mitigated)",False,0,0,none,none,none,51.58,sell-side swept (bullish stop-hunt),1,4,Premium,63.6,63.0,37.4,False,bullish (HH/HL),bullish (HH/HL),True
ORIENTHOT,139.26,"112.0-125.0 (Moderate, FRESH, 11.41% away)",True,Moderate,False,none,False,none,none,bull @ 120.9 on 2026-06-19,bull @ 101.0 on 2026-05-05,bull,"119.0-125.0 (2026-06-22, UNMITIGATED)","116.12-120.0 (2026-06-16, mitigated)",True,5,0,125.0-134.6 (2026-06-24),none,none,98.47,none,4,3,Premium,90.0,145.88,80.0,False,ranging,bearish (LH/LL),False
539682,305.15,"222.0-240.0 (Moderate, tested, 27.15% away)",False,Moderate,False,none,False,"129.86-204.28 (Moderate, tested, 49.38% away)",none,bear @ 278.2 on 2026-06-29,bear @ 278.2 on 2026-06-29,bear,"278.2-291.8 (2026-06-11, mitigated)","290.4-314.71 (2026-06-08, mitigated)",False,6,0,291.55-305.0 (2026-07-03),none,none,234.32,none,4,4,Premium,82.8,323.85,214.9,False,bullish (HH/HL),bullish (HH/HL),True
NAVINFLUOR,7552.5,"5900.0-6506.5 (Moderate, tested, 16.08% away)",False,Moderate,False,none,False,"4498.5-5209.0 (Moderate, FRESH, 44.99% away)",none,bull @ 7525.0 on 2026-06-22,bull @ 7525.0 on 2026-06-22,bull,"7031.0-7175.0 (2026-05-22, mitigated)","6494.0-6660.0 (2026-03-06, mitigated)",False,6,0,7149.0-7166.0 (2026-06-12),none,none,6802.25,none,3,2,Premium,88.3,7810.0,5606.5,False,bullish (HH/HL),bullish (HH/HL),True
GINNIFILA,54.65,"42.5-45.43 (Moderate, FRESH, 20.29% away)",True,Moderate,False,none,False,"42.6-50.6 (Moderate, tested, 8.0% away)",none,bull @ 54.1 on 2026-07-03,bull @ 38.77 on 2026-04-09,bull,"42.6-44.6 (2026-06-22, UNMITIGATED)","41.8-44.7 (2026-04-23, mitigated)",True,4,0,51.0-51.47 (2026-07-03),none,none,40.46,none,2,3,Premium,98.5,55.0,31.5,False,ranging,bullish (HH/HL),False
RAIN,187.74,"147.9-158.88 (Moderate, FRESH, 18.16% away)",True,Moderate,False,none,False,"125.43-169.0 (Moderate, FRESH, 11.09% away)",none,bear @ 191.2 on 2026-06-18,bear @ 191.2 on 2026-06-18,bear,"171.75-182.55 (2026-05-26, mitigated)","200.26-214.17 (2026-06-15, UNMITIGATED)",False,10,1,184.9-186.65 (2026-07-03),198.2-200.26 (2026-06-17),none,none,none,1,0,Premium,76.3,214.17,102.5,False,bullish (HH/HL),bullish (HH/HL),True
NUVAMA,1887.5,"1316.0-1478.6 (Moderate, tested, 27.65% away)",False,Moderate,False,none,False,"1125.7-1415.0 (Moderate, FRESH, 33.39% away)",none,bull @ 1779.0 on 2026-06-30,bull @ 1392.0 on 2026-05-06,bull,"1626.1-1675.5 (2026-06-16, UNMITIGATED)","1527.5-1572.0 (2026-06-09, mitigated)",True,11,0,1820.0-1827.9 (2026-07-03),none,none,1397.45,none,1,2,Premium,92.1,1955.0,1096.9,False,bullish (HH/HL),ranging,False
LINCOLN,620.2,"452.9-550.0 (Moderate, tested, 12.76% away)",False,Moderate,False,"560.4-614.4 (Moderate, tested, -9.64% above)",False,"576.0-733.0 (Moderate, tested, -15.39% away)",none,bear @ 621.1 on 2026-06-01,bear @ 621.1 on 2026-06-01,bear,"602.1-612.0 (2026-06-24, UNMITIGATED)","715.1-755.0 (2026-05-26, UNMITIGATED)",True,2,2,612.0-620.55 (2026-06-29),697.85-738.3 (2026-05-29),658.48,603.01,sell-side swept (bullish stop-hunt),2,3,Equilibrium,54.6,770.0,440.0,False,ranging,bullish (HH/HL),False
DCMSIL,70.0,"60.0-75.97 (Moderate, tested, -7.86% away)",False,Moderate,False,none,False,n/a (short),n/a (short),bull @ 69.39 on 2026-06-24,bull @ 63.47 on 2026-06-05,bull,"61.0-62.84 (2026-04-28, mitigated)",none,False,7,6,68.83-71.6 (2026-06-25),71.06-71.57 (2026-07-02),77.86,60.98,none,1,2,Discount,36.8,105.27,49.5,True,ranging,ranging,True
RAMRAT,395.6,"369.0-394.95 (Moderate, tested, 0.16% away)",False,Moderate,True,"442.0-520.0 (Moderate, FRESH, 11.73% above)",False,"282.85-334.9 (Moderate, FRESH, 18.12% away)",none,bear @ 395.2 on 2026-06-05,bear @ 428.1 on 2026-05-12,bear,"430.2-440.1 (2026-05-22, mitigated)","456.6-477.5 (2026-05-26, UNMITIGATED)",False,6,1,374.95-379.0 (2026-06-15),427.15-464.85 (2026-06-01),none,302.91,none,1,1,Equilibrium,50.6,520.0,268.0,False,bearish (LH/LL),bullish (HH/HL),False
ESAFSFB,34.15,"28.61-34.4 (Moderate, tested, -0.73% away)",False,Moderate,True,none,False,"26.35-29.76 (Moderate, FRESH, 14.75% away)",none,bull @ 29.4 on 2026-06-16,bull @ 29.4 on 2026-06-16,bull,"30.65-32.0 (2026-06-17, mitigated)","27.52-28.27 (2026-06-04, mitigated)",False,6,0,29.5-30.65 (2026-06-17),none,none,27.13,none,3,1,Premium,82.5,37.2,19.78,False,bullish (HH/HL),ranging,False
UNIMECH,1155.4,"1009.55-1145.0 (Moderate, tested, 0.91% away)",False,Moderate,True,none,False,"870.0-1158.9 (Moderate, tested, -0.3% away)",none,bear @ 1125.0 on 2026-06-29,bear @ 1125.0 on 2026-06-29,bear,"1065.6-1149.0 (2026-06-29, mitigated)","1140.0-1224.95 (2026-06-19, mitigated)",False,6,0,993.15-1055.8 (2026-06-04),none,none,921.75,none,2,2,Premium,84.6,1239.15,695.0,False,bullish (HH/HL),bullish (HH/HL),True
JBCHEPHARM,2364.6,"2080.1-2171.0 (Moderate, tested, 8.92% away)",False,Moderate,False,none,False,"1648.9-1723.1 (Moderate, tested, 37.23% away)",none,bull @ 2300.0 on 2026-06-29,bull @ 2029.0 on 2026-04-27,bull,"1890.4-1917.9 (2026-02-11, mitigated)","2030.2-2076.2 (2026-03-30, mitigated)",False,4,0,2259.0-2273.5 (2026-06-30),none,none,2080.7,none,2,4,Premium,98.8,2371.8,1775.8,False,bullish (HH/HL),bullish (HH/HL),True
ALIVUS,1157.7,"902.0-930.0 (Moderate, tested, 24.48% away)",False,Moderate,False,none,False,"819.0-928.0 (Moderate, tested, 24.75% away)",none,bull @ 1080.0 on 2026-06-22,bull @ 1080.0 on 2026-06-22,bull,"1068.9-1087.9 (2026-06-22, UNMITIGATED)",none,True,3,0,1087.9-1109.1 (2026-06-24),none,none,995.35,none,4,4,Premium,90.8,1192.0,819.0,False,bearish (LH/LL),bullish (HH/HL),False
DENORA,879.05,"727.15-780.9 (Moderate, FRESH, 12.57% away)",True,Moderate,False,none,False,none,none,bull @ 785.0 on 2026-06-15,bull @ 741.95 on 2026-06-05,bull,"881.05-936.9 (2026-06-23, mitigated)","700.0-737.75 (2026-05-26, mitigated)",False,1,0,769.0-804.8 (2026-06-16),none,none,680.05,none,1,2,Premium,79.7,960.35,560.25,False,bullish (HH/HL),ranging,False
WSTCSTPAPR,529.4,"473.6-512.75 (Moderate, tested, 3.25% away)",False,Moderate,True,none,False,"385.0-423.75 (Moderate, tested, 24.93% away)",none,bull @ 523.7 on 2026-06-30,bull @ 523.7 on 2026-06-30,bull,"493.1-506.65 (2026-06-25, UNMITIGATED)","490.5-526.0 (2026-05-27, mitigated)",True,5,0,519.8-521.65 (2026-07-01),none,none,489.5,none,2,1,Premium,86.7,553.0,375.0,False,ranging,bullish (HH/HL),False
BETA,2090.5,"1404.6-1550.0 (Moderate, FRESH, 34.87% away)",True,Moderate,False,none,False,"1171.1-1506.4 (Moderate, FRESH, 38.77% away)",none,bull @ 1451.0 on 2026-06-03,bull @ 1451.0 on 2026-06-03,bull,"1460.0-1525.9 (2026-06-11, UNMITIGATED)","1317.1-1383.9 (2026-02-13, mitigated)",True,5,0,2031.0-2125.1 (2026-06-22),none,2247.4,1173.05,none,2,1,Premium,87.3,2250.0,990.1,False,bullish (HH/HL),ranging,False
