symbol,close,demand_zone_D,demand_fresh,demand_quality,near_demand,supply_zone_D,near_supply,demand_zone_W,supply_zone_W,last_BoS,last_ChoCh,bos_dir,bull_OB,bear_OB,bull_OB_unmitigated,unfilled_bull_FVG,unfilled_bear_FVG,nearest_bull_FVG_below,nearest_bear_FVG_above,buyside_liq_above,sellside_liq_below,liquidity_swept,equal_highs,equal_lows,pd_zone,range_pos_pct,range_high,range_low,in_discount,structure_D,structure_W,structure_aligned
WOCKPHARMA,1938.5,"1382.0-1603.9 (Moderate, tested, 20.86% away)",False,Moderate,False,none,False,"1382.0-1778.0 (Moderate, FRESH, 9.03% away)",none,bull @ 1655.9 on 2026-05-26,bull @ 1406.4 on 2026-04-21,bull,"1569.0-1614.7 (2026-05-22, UNMITIGATED)","1960.1-2150.0 (2026-06-03, mitigated)",True,10,0,1789.0-1872.1 (2026-05-29),none,none,1359.37,none,3,1,Premium,63.8,2422.3,1086.7,False,ranging,ranging,True
AUROPHARMA,1620.5,"1367.1-1433.0 (Moderate, tested, 13.08% away)",False,Moderate,False,none,False,"1080.1-1163.8 (Moderate, tested, 39.24% away)",none,bull @ 1481.0 on 2026-06-19,bull @ 1481.0 on 2026-06-19,bull,"1476.5-1511.0 (2026-06-22, UNMITIGATED)","1457.1-1473.7 (2026-06-11, mitigated)",True,5,0,1511.0-1525.2 (2026-06-24),none,none,none,none,3,0,Premium,96.9,1636.8,1106.0,False,bearish (LH/LL),bullish (HH/HL),False
526873,52.7,"35.1-43.2 (Moderate, tested, 21.99% away)",False,Moderate,False,none,False,"35.0-41.5 (Moderate, tested, 26.99% away)",none,bull @ 46.15 on 2026-06-03,bull @ 46.15 on 2026-06-03,bull,"46.7-46.9 (2026-06-08, mitigated)",none,False,12,0,52.4-52.6 (2026-07-03),none,none,45.57,none,2,1,Premium,96.4,53.59,29.0,False,ranging,bullish (HH/HL),False
SANGHVIMOV,463.25,"366.65-399.5 (Moderate, FRESH, 15.96% away)",True,Moderate,False,none,False,"298.0-345.6 (Moderate, tested, 34.04% away)",none,bull @ 442.6 on 2026-07-02,bull @ 345.6 on 2026-05-21,bull,"366.65-378.7 (2026-06-11, UNMITIGATED)","333.2-345.6 (2026-05-08, mitigated)",True,11,0,425.95-436.0 (2026-07-01),none,none,none,none,0,0,Premium,99.4,464.8,223.8,False,bullish (HH/HL),ranging,False
540252,10.7,none,,none,False,"11.99-12.99 (Moderate, tested, 12.06% above)",False,none,none,bear @ 10.38 on 2026-06-09,bear @ 10.38 on 2026-06-09,bear,"9.4-10.2 (2026-06-11, UNMITIGATED)","10.34-11.23 (2026-06-08, mitigated)",True,1,0,8.67-8.75 (2026-03-10),none,11.22,8.04,none,4,1,Premium,62.9,12.99,6.82,False,ranging,ranging,True
VIPULLTD,15.34,"8.61-9.41 (Moderate, tested, 63.02% away)",False,Moderate,False,none,False,"8.55-10.7 (Moderate, FRESH, 43.36% away)",none,bull @ 10.7 on 2026-06-19,bull @ 9.4 on 2026-06-05,bull,"11.01-11.68 (2026-06-23, UNMITIGATED)",none,True,7,0,14.29-14.86 (2026-07-02),none,none,10.03,none,0,5,Premium,91.1,16.0,8.55,False,bullish (HH/HL),ranging,False
SKIPPER,574.95,"520.1-543.25 (Moderate, FRESH, 5.84% away)",True,Moderate,True,none,False,"434.5-523.9 (Moderate, tested, 9.74% away)",none,bull @ 569.5 on 2026-07-03,bull @ 569.5 on 2026-07-03,bull,"520.1-532.95 (2026-06-29, UNMITIGATED)","344.45-356.0 (2026-03-19, mitigated)",True,12,0,560.0-567.05 (2026-07-03),none,none,519.3,none,1,4,Premium,96.9,582.9,327.05,False,ranging,ranging,True
NIBE,1648.0,"1002.6-1409.5 (Moderate, tested, 16.92% away)",False,Moderate,False,none,False,"976.1-1161.0 (Moderate, FRESH, 41.95% away)",none,bull @ 1634.0 on 2026-06-15,bull @ 1161.0 on 2026-05-20,bull,"1413.0-1494.0 (2026-06-11, UNMITIGATED)","985.0-1140.5 (2026-03-11, mitigated)",True,6,1,1578.6-1594.9 (2026-06-16),1720.0-1746.0 (2026-06-25),none,999.57,none,2,1,Premium,80.7,1848.0,809.6,False,bullish (HH/HL),bearish (LH/LL),False
GROWW,206.5,"142.4-147.25 (Moderate, tested, 40.24% away)",False,Moderate,False,none,False,"146.0-166.56 (Moderate, FRESH, 23.98% away)",none,bull @ 198.04 on 2026-06-12,bull @ 193.68 on 2026-06-05,bull,"184.0-189.45 (2026-06-01, mitigated)","219.0-223.7 (2026-05-05, UNMITIGATED)",False,4,1,199.79-200.82 (2026-06-30),213.36-219.0 (2026-05-07),none,164.28,none,3,3,Premium,74.5,227.2,146.0,False,bullish (HH/HL),bullish (HH/HL),True
SOMANYCERA,537.2,"434.55-488.55 (Moderate, tested, 9.96% away)",False,Moderate,False,none,False,"438.0-492.0 (Moderate, tested, 9.19% away)",none,bull @ 478.65 on 2026-05-19,bull @ 388.0 on 2026-03-18,bull,"435.05-488.55 (2026-05-18, mitigated)","460.5-477.95 (2026-05-08, mitigated)",False,5,0,525.3-531.9 (2026-07-01),none,none,403.9,none,1,2,Premium,93.1,552.45,332.0,False,ranging,ranging,True
CEIGALL,364.1,"225.06-238.0 (Moderate, FRESH, 52.98% away)",True,Moderate,False,none,False,none,none,bear @ 369.6 on 2026-07-03,bear @ 369.6 on 2026-07-03,bear,"370.6-381.9 (2026-06-23, mitigated)",none,False,5,1,336.0-338.35 (2026-05-25),385.55-387.5 (2026-07-03),390.6,280.2,buy-side swept (bearish stop-hunt),3,3,Premium,71.8,405.7,258.15,False,ranging,bullish (HH/HL),False
