rank,symbol,name,sector,close,tier,vcp_status,phase7_score,verdict,live,chg_pct,ivwap,ema9,ema20,ema50,itrend,i_rsi,i_atr,dist_vwap,orb_high,orb_low,day_high,day_low,setup,intraday_entry,intraday_stop,stop_pct,intraday_target,rr,qty_per_10L,horizon,reason,it_order
13,SHRIRAMFIN,Shriram Finance Limited,Financial Services,1063.6,TIER 1,BROKEN OUT (fresh),15,AVOID,1063.6,-0.29,1071.13,1066.09,1068.36,1065.87,down,39.0,3.55,-0.7,1075.0,1066.0,1077.5,1061.0,WEAK,1075.0,1071.13,0.36,1082.74,2.0,1291.0,same session,below VWAP — intraday trend not supportive,2
16,CEATLTD,CEAT Limited,Consumer Cyclical,3799.4,TIER 1,BROKEN OUT (fresh),15,AVOID,3799.4,-0.17,3810.52,3803.47,3805.2,3772.0,down,49.0,16.17,-0.29,3830.1,3763.6,3843.0,3763.6,WEAK,3830.1,3810.52,0.51,3869.26,2.0,255.0,same session,below VWAP — intraday trend not supportive,2
17,IKS,Inventurus Knowledge Solutions Limited,Healthcare,1861.2,TIER 1,BROKEN OUT (fresh),15,AVOID,1861.2,1.29,1864.61,1863.31,1863.08,1844.76,down,50.6,10.21,-0.18,1853.1,1831.2,1881.0,1831.2,WEAK,1853.1,1837.78,0.83,1883.74,2.0,326.0,same session,below VWAP — intraday trend not supportive,2
18,EPL,EPL Limited,Consumer Cyclical,237.17,TIER 1,BROKEN OUT (fresh),15,AVOID,237.17,2.73,237.27,237.59,236.77,234.2,down,54.5,1.57,-0.04,231.89,229.01,239.95,229.01,WEAK,231.89,229.54,1.01,236.59,2.0,2127.0,same session,below VWAP — intraday trend not supportive,2
19,TIPSMUSIC,Tips Music Limited,Communication Services,684.65,TIER 1,BROKEN OUT (fresh),15,AVOID,684.65,1.12,685.04,685.29,685.12,679.39,down,51.1,3.1,-0.06,686.0,677.55,689.85,677.55,WEAK,686.0,685.04,0.14,687.92,2.0,5208.0,same session,below VWAP — intraday trend not supportive,2
20,SHARDAMOTR,Sharda Motor Industries Limited,Consumer Cyclical,898.55,TIER 1,BROKEN OUT (fresh),15,AVOID,898.55,-0.77,907.92,904.85,906.76,902.61,down,35.9,3.85,-1.03,923.0,908.5,923.0,895.0,WEAK,923.0,917.22,0.63,934.56,2.0,865.0,same session,below VWAP — intraday trend not supportive,2
22,TVSSRICHAK,TVS Srichakra Limited,Consumer Cyclical,4229.0,TIER 1,AT PIVOT (actionable),15,AVOID,4229.0,-2.27,4272.1,4239.39,4253.71,4261.79,down,39.8,20.37,-1.01,4360.4,4292.1,4360.4,4205.1,WEAK,4360.4,4329.85,0.7,4421.5,2.0,163.0,same session,below VWAP — intraday trend not supportive,2
23,GRAVITA,Gravita India Limited,Industrials,1724.4,TIER 1,AT PIVOT (actionable),15,AVOID,1724.4,2.19,1729.11,1730.35,1726.75,1702.29,down,53.3,8.83,-0.27,1716.0,1682.0,1756.6,1682.0,WEAK,1716.0,1702.75,0.77,1742.5,2.0,377.0,same session,below VWAP — intraday trend not supportive,2
25,AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,1735.6,TIER 1,AT PIVOT (actionable),15,AVOID,1735.6,-0.74,1742.39,1737.06,1739.36,1743.86,down,45.8,8.02,-0.39,1754.0,1741.4,1760.9,1725.2,WEAK,1754.0,1742.39,0.66,1777.22,2.0,430.0,same session,below VWAP — intraday trend not supportive,2
27,ZUARI,Zuari Agro Chemicals Limited,Basic Materials,241.2,TIER 1,AT PIVOT (actionable),15,AVOID,241.2,3.99,243.26,242.22,241.59,238.12,down,52.2,1.88,-0.85,237.74,232.88,248.1,232.88,WEAK,237.74,234.92,1.19,243.38,2.0,1773.0,same session,below VWAP — intraday trend not supportive,2
29,NDRAUTO,Ndr Auto Components Limited,Consumer Cyclical,887.8,TIER 1,BROKEN OUT (fresh),15,AVOID,887.8,-0.37,906.73,895.11,897.14,885.95,down,42.8,8.09,-2.09,926.3,910.05,926.3,878.0,WEAK,926.3,914.16,1.31,950.58,2.0,411.0,same session,below VWAP — intraday trend not supportive,2
1,544037,Amic Forging Ltd,,1832.2,TIER 1,AT PIVOT (actionable),17,NO DATA,,,,,,,,,,,,,,,,,,,,,,,,3
