rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
173,WOCKPHARMA,Wockhardt Limited,NSE,1341.2,2025-12-12,1887.6,40.76,30661.84,Large,Healthcare,1472027.0,2356435066.0,False,1887.05,0.03,True,INE049B01025,WOCKPHARMA.NS,Drug Manufacturers - Specialty & Generic
174,LAURUSLABS,Laurus Labs Limited,NSE,1012.3,2025-12-12,1424.4,40.71,76899.87,Large,Healthcare,1894795.0,2046589417.0,False,1424.45,0.0,True,INE947Q01028,LAURUSLABS.NS,Drug Manufacturers - Specialty & Generic
175,HINDCOPPER,Hindustan Copper Limited,NSE,382.3,2025-12-12,519.6,40.66,50294.92,Large,Basic Materials,19795587.0,10397232030.0,False,520.1,0.1,True,INE531E01026,HINDCOPPER.NS,Copper
176,STYLAMIND,Stylam Industries Limited,NSE,2227.6,2025-12-12,3103.5,40.61,5245.26,Mid,Consumer Cyclical,65532.0,148162841.0,False,3094.9,0.28,True,INE239C01020,STYLAMIND.NS,"Furnishings, Fixtures & Appliances"
177,AGIIL,Agi Infra Limited,NSE,263.95,2025-12-12,373.3,40.52,4678.03,Small,Real Estate,1870075.0,609373225.0,False,374.25,0.25,True,INE976R01033,AGIIL.NS,Real Estate - Development
178,PASUPTAC,Pasupati Acrylon Limited,NSE,52.25,2025-12-12,73.37,40.42,653.61,Small,Consumer Cyclical,302952.0,17864483.0,False,73.33,0.05,True,INE818B01023,PASUPTAC.NS,Textile Manufacturing
179,HALDYNGL,Haldyn Glass Limited,NSE,89.05,2026-04-20,123.89,40.31,664.91,Small,n/a,130164.0,14587738.0,False,123.7,0.15,True,INE506D01020,HALDYNGL.NS,
180,NIBE,NIBE Limited,NSE,1099.5,2025-12-12,1541.3,40.18,2301.18,Small,Industrials,110306.0,137348879.0,False,1540.15,0.07,True,INE149O01018,NIBE.NS,Conglomerates
181,MWL,Mangalam Worldwide Limited,NSE,269.76,2025-12-12,377.5,39.94,1112.14,Small,Basic Materials,80403.0,23211930.0,False,374.45,0.81,True,INE0JYY01011,MWL.NS,Steel
182,AZAD,Azad Engineering Limited,NSE,1607.9,2025-12-12,2230.0,39.45,14456.3,Mid,Industrials,277759.0,512684179.0,False,2238.45,0.38,True,INE02IJ01035,AZAD.NS,Specialty Industrial Machinery
183,FINCABLES,Finolex Cables Limited,NSE,740.15,2025-12-12,1032.1,39.36,15789.46,Mid,Industrials,445249.0,408259579.0,False,1032.4,0.03,True,INE235A01022,FINCABLES.NS,Electrical Equipment & Parts
