symbol,close,bars,prior_uptrend,pct_above_52w_low,above_ema200,num_contractions,contractions,depths_decreasing,dur_decreasing,vdu_confirmed,vdu_ratio,near_52w_high,pivot,pct_from_pivot,breakout_vol_ratio,breakout_close_pos,vcp_status,vcp_quality,entry_zone,gann_days_since_low,gann_low_price,gann_low_date,gann_gann_unit_per_bar,gann_g1x1,gann_g2x1,gann_g1x2,gann_above_1x1,gann_above_2x1,gann_gann_trend,sq9_T1_+0.25,sq9_T2_+0.5,sq9_T3_+1.0,sq9_S1_-0.25,sq9_S2_-0.5,next_gann_cycle_days,days_to_next_cycle,near_gann_cycle,octave,octave_n,octave_levels,nearest_cardinal_sq,cardinal_dist_pct,near_cardinal,cardinal_below,cardinal_above
CUPID,214.78,352,True,741.9,True,3,C1:-3.6%/3b | C2:-13.0%/2b | C3:-20.2%/1b,False,True,False,1.72,True,221.65,-3.1,1.31,0.81,AT PIVOT (actionable),No VCP,n/a,176,46.0,2025-11-03,0.796,186.02,326.05,116.01,True,False,strong (>1x1),222.17,229.69,245.09,207.51,200.37,180,4,True,8/8 (52w high),8,4/8=125.76 6/8=175.88 7/8=200.94,225,4.76,False,196,225
KSHINTL,864.75,142,False,161.7,False,3,C1:-18.1%/3b | C2:-8.8%/3b | C3:-10.3%/2b,False,True,True,0.77,True,864.8,-0.01,0.71,0.24,AT PIVOT (actionable),No VCP,n/a,127,330.4,2026-01-13,2.379,632.58,934.76,481.49,True,False,strong (>1x1),879.52,894.41,924.56,850.11,835.59,144,17,False,8/8 (52w high),8,4/8=630.2 6/8=780.1 7/8=855.05,841,2.75,False,841,900
GRWRHITECH,6970.5,352,True,160.0,True,3,C1:-11.1%/3b | C2:-6.3%/5b | C3:-6.4%/2b,False,False,True,0.51,True,7174.0,-2.84,0.58,0.88,AT PIVOT (actionable),Moderate VCP,7174.0-7532.7,121,2690.7,2026-01-21,17.873,4853.33,7015.97,3772.02,True,False,strong (>1x1),7012.31,7054.24,7138.48,6928.82,6887.26,144,23,True,8/8 (52w high),8,4/8=4933.0 6/8=6059.0 7/8=6622.0,6889,1.17,True,6889,7056
BHAGYANGR,401.05,352,True,368.4,True,3,C1:-8.6%/2b | C2:-14.3%/3b | C3:-12.5%/5b,False,False,True,0.58,True,408.0,-1.7,0.87,0.43,AT PIVOT (actionable),Moderate VCP,408.0-428.4,151,120.01,2025-12-09,1.376,327.74,535.48,223.88,True,False,strong (>1x1),411.13,421.33,442.1,391.1,381.27,180,29,False,8/8 (52w high),8,4/8=258.96 6/8=345.63 7/8=388.96,400,0.26,True,400,441
CEMPRO,1615.0,352,True,220.9,True,3,C1:-8.9%/4b | C2:-11.2%/2b | C3:-5.9%/3b,False,False,True,0.81,True,1280.0,26.17,0.98,0.88,extended past pivot,Moderate VCP,1280.0-1344.0,80,503.3,2026-03-23,4.54,866.47,1229.65,684.89,True,True,very strong (>2x1),1635.16,1655.44,1696.37,1594.97,1575.06,90,10,False,8/8 (52w high),8,4/8=1075.3 6/8=1361.3 7/8=1504.3,1600,0.93,True,1600,1681
DEEDEV,691.75,351,True,278.0,True,3,C1:-11.8%/3b | C2:-15.7%/9b | C3:-9.5%/3b,False,False,True,0.35,False,709.3,-2.47,0.21,0.24,AT PIVOT (actionable),No VCP,n/a,118,183.0,2026-01-27,2.29,453.18,723.37,318.09,True,False,strong (>1x1),704.96,718.3,745.35,678.66,665.7,120,2,True,8/8 (52w high),8,4/8=471.5 6/8=615.75 7/8=687.88,676,2.28,False,676,729
SPORTKING,197.21,351,True,152.3,True,3,C1:-6.5%/2b | C2:-8.5%/4b | C3:-11.3%/2b,False,False,False,2.14,True,189.39,4.13,0.56,0.33,BROKEN OUT (fresh),No VCP,n/a,121,78.17,2026-01-21,0.523,141.42,204.67,109.8,True,False,strong (>1x1),204.29,211.5,226.3,190.25,183.42,144,23,True,8/8 (52w high),8,4/8=144.03 6/8=176.97 7/8=193.43,196,0.61,True,196,225
MTARTECH,6046.0,352,True,334.8,True,3,C1:-12.9%/3b | C2:-7.6%/2b | C3:-20.8%/5b,False,False,True,0.08,False,7160.0,-15.56,0.06,0.5,forming / still basing,No VCP,n/a,173,2217.1,2025-11-07,29.062,7244.74,12272.38,4730.92,False,False,moderate (>1x2),6084.94,6124.01,6202.51,6007.18,5968.49,180,7,False,6/8 (75%),6,4/8=5052.25 6/8=6883.12 7/8=7798.56,6084,0.63,True,5929,6084
AEROFLEX,410.6,352,True,159.9,True,3,C1:-12.1%/2b | C2:-11.0%/6b | C3:-19.8%/5b,False,False,True,0.44,False,432.75,-5.12,0.4,0.75,forming / still basing,No VCP,n/a,119,158.0,2026-01-23,1.444,329.84,501.68,243.92,True,False,strong (>1x1),420.79,431.11,452.13,400.53,390.59,120,1,True,6/8 (75%),6,4/8=339.95 6/8=430.93 7/8=476.41,400,2.58,False,400,441
ONELIFECAP,36.88,351,True,230.8,True,3,C1:-12.9%/3b | C2:-9.7%/3b | C3:-7.3%/1b,True,True,True,0.19,False,40.1,-8.03,0.18,0.49,forming / still basing,No VCP,n/a,177,11.29,2025-10-30,0.115,31.62,51.96,21.46,True,False,strong (>1x1),39.98,43.2,50.03,33.91,31.06,180,3,True,8/8 (52w high),8,4/8=25.62 6/8=32.86 7/8=36.48,36,2.39,False,36,49
