symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
HINDWAREAP,Hindware Home Innovation Limited,NSE,HINDWAREAP.NS,249.95,56.3,28.2,0.405,3.07,-36.35,10.46,4.4,7,True,111111100
HEXT,Hexaware Technologies Limited,NSE,HEXT.NS,556.95,70.2,21.4,5.117,9.32,-38.12,43.25,3.6,7,True,111111100
GNA,GNA Axles Limited,NSE,GNA.NS,467.6,76.3,37.4,6.83,1.58,-1.76,12.62,4.23,6,False,010111110
HESTERBIO,Hester Biosciences Limited,NSE,HESTERBIO.NS,2165.4,62.4,65.2,-0.252,1.29,-7.86,3.13,4.29,6,False,100011111
GUFICBIO,Gufic Biosciences Limited,NSE,GUFICBIO.NS,387.7,60.9,45.4,0.904,28.36,-13.46,11.22,4.96,8,True,110111111
GODREJPROP,Godrej Properties Limited,NSE,GODREJPROP.NS,1957.8,71.3,22.5,20.035,1.39,-18.69,131.19,2.66,8,True,111011111
GOCLCORP,GOCL Corporation Limited,NSE,GOCLCORP.NS,400.15,52.2,30.0,-5.266,0.6,-12.99,6.2,4.4,6,False,001011111
GODREJIND,Godrej Industries Limited,NSE,GODREJIND.NS,1205.7,70.7,45.1,10.746,0.58,-9.0,42.45,3.28,7,True,110011111
GOKEX,Gokaldas Exports Limited,NSE,GOKEX.NS,877.5,74.9,36.0,10.512,1.35,-10.0,48.16,3.14,7,True,110011111
GLAND,Gland Pharma Limited,NSE,GLAND.NS,2451.8,68.3,40.7,14.446,3.32,-3.03,154.58,3.22,8,False,110111111
GOODLUCK,Goodluck India Limited,NSE,GOODLUCK.NS,1478.1,63.3,19.5,10.079,7.2,-3.08,31.16,3.72,9,False,111111111
GMRAIRPORT,GMR AIRPORTS LIMITED,NSE,GMRAIRPORT.NS,111.73,66.1,31.6,0.281,3.3,-2.55,217.95,2.52,7,True,110111110
