Stock,VCP Contractions,Pivot Price,3rd Leg confirmed (Y/N),Fib Extension Level,VCP+Leg Score (1-10)
TATASTEEL,C1:-3.5%/3b | C2:-8.9%/4b | C3:-5.6%/2b,218.96,N,1.02x,5.0
SHREEJISPG,C1:-11.9%/2b | C2:-4.9%/4b | C3:-5.8%/4b,473.4,N,0.17x,5.0
NDLVENTURE,C1:-15.7%/5b | C2:-5.4%/2b | C3:-7.1%/4b,135.0,N,0.36x,5.0
GANESHBE,C1:-14.3%/6b | C2:-8.5%/2b | C3:-11.8%/9b,105.5,N,0.46x,5.0
PASUPTAC,C1:-5.6%/3b | C2:-9.9%/5b | C3:-7.8%/2b,70.6,N,0.72x,5.0
SKIPPER,C1:-9.2%/3b | C2:-7.7%/2b | C3:-11.8%/6b,471.9,N,4.70x,5.0
GOCLCORP,C1:-7.8%/2b | C2:-7.1%/2b | C3:-14.7%/8b,335.0,N,0.13x,5.0
AGIIL,C1:-6.1%/1b | C2:-16.1%/1b | C3:-12.2%/6b,394.45,N,0.78x,5.0
HINDALCO,C1:-4.6%/2b | C2:-3.7%/2b | C3:-6.1%/3b,1154.0,N,0.62x,5.0
LAURUSLABS,C1:-11.4%/5b | C2:-4.2%/3b | C3:-2.3%/2b,1363.4,N,0.74x,5.0
543542,C1:-5.9%/3b | C2:-4.8%/2b | C3:-4.5%/2b,1255.9,N,1.41x,5.0
GALAPREC,C1:-10.7%/7b | C2:-8.3%/5b | C3:-5.4%/5b,948.0,N,0.51x,5.0
DBOL,C1:-10.7%/4b | C2:-11.3%/5b | C3:-21.0%/17b,112.72,N,2.77x,5.0
DIACABS,C1:-6.7%/4b | C2:-8.6%/2b | C3:-13.9%/4b,210.0,N,0.52x,5.0
PARAS,C1:-7.8%/3b | C2:-17.7%/7b | C3:-8.3%/4b,881.95,N,0.63x,5.0
MTARTECH,C1:-8.1%/3b | C2:-12.9%/3b | C3:-7.6%/2b,8449.5,N,2.46x,5.0
PFC,C1:-5.5%/4b | C2:-6.8%/4b | C3:-7.6%/6b,443.65,N,1.45x,5.0
MMFL,C1:-17.1%/7b | C2:-7.0%/5b | C3:-15.6%/7b,477.0,N,~1.272x,5.0
ZENTEC,C1:-7.9%/2b | C2:-8.3%/4b | C3:-6.7%/3b,1721.7,N,0.76x,5.0
TRUALT,C1:-7.6%/2b | C2:-12.2%/12b | C3:-3.6%/5b,514.8,N,0.44x,5.0
INDOBORAX,C1:-5.2%/2b | C2:-9.5%/7b | C3:-8.0%/3b,339.0,N,0.27x,5.0
GAEL,C1:-5.3%/5b | C2:-9.8%/6b | C3:-9.8%/7b,168.15,N,~1.272x,5.0
BANDHANBNK,C1:-3.3%/1b | C2:-7.5%/2b | C3:-11.4%/8b,212.48,N,0.30x,5.0
NEPHROPLUS,C1:-12.3%/9b | C2:-11.4%/2b | C3:-4.9%/4b,626.75,N,2.56x,5.0
JINDALPOLY,C1:-17.3%/6b | C2:-9.6%/5b | C3:-9.9%/9b,718.45,N,0.05x,5.0
LLOYDSME,C1:-13.5%/6b | C2:-6.5%/6b | C3:-8.6%/4b,1888.6,N,3.71x,5.0
BHARATFORG,C1:-5.8%/3b | C2:-5.9%/3b | C3:-4.9%/2b,1967.8,N,1.84x,5.0
BLUSPRING,C1:-13.7%/9b | C2:-8.1%/3b | C3:-11.7%/2b,75.5,N,0.39x,5.0
ASIANENE,C1:-16.2%/6b | C2:-8.8%/2b | C3:-6.0%/2b,363.65,N,1.09x,5.0
DIVGIITTS,C1:-10.7%/5b | C2:-9.1%/5b | C3:-14.5%/6b,843.25,N,4.45x,5.0
GANDHAR,C1:-4.9%/6b | C2:-14.9%/4b | C3:-11.7%/6b,172.2,N,0.83x,5.0
SAREGAMA,C1:-6.7%/3b | C2:-11.8%/2b | C3:-11.0%/7b,443.0,N,2.00x,5.0
543828,C1:-15.6%/9b | C2:-6.9%/5b | C3:-10.0%/5b,36.95,N,0.16x,5.0
BELRISE,C1:-7.3%/4b | C2:-10.8%/3b | C3:-4.0%/3b,221.13,N,0.44x,5.0
544141,C1:-5.4%/3b | C2:-9.1%/7b | C3:-4.9%/3b,289.1,N,0.38x,5.0
ATGL,C1:-9.2%/1b | C2:-8.0%/1b | C3:-10.6%/4b,830.0,N,~1.618x,5.0
TIPSMUSIC,C1:-6.8%/3b | C2:-7.0%/3b | C3:-6.7%/1b,686.0,N,0.31x,5.0
SBC,C1:-2.5%/4b | C2:-2.2%/2b | C3:-4.7%/3b,40.15,N,~1.272x,5.0
MBAPL,C1:-9.7%/7b | C2:-9.8%/7b | C3:-6.4%/4b,561.0,N,0.22x,5.0
CUMMINSIND,C1:-6.7%/2b | C2:-5.1%/3b | C3:-7.2%/3b,6099.0,N,0.56x,5.0
530145,C1:-10.3%/6b | C2:-17.4%/5b | C3:-11.6%/8b,37.91,N,0.88x,5.0
JSWENERGY,C1:-8.2%/3b | C2:-9.1%/7b | C3:-12.4%/4b,608.9,N,0.50x,5.0
NAM-INDIA,C1:-8.7%/2b | C2:-7.4%/3b | C3:-3.1%/1b,1122.0,N,0.35x,5.0
UNIVCABLES,C1:-6.9%/2b | C2:-24.8%/6b | C3:-12.5%/4b,1239.0,N,1.08x,5.0
MCX,C1:-15.7%/4b | C2:-5.1%/6b | C3:-4.0%/3b,3451.9,N,0.70x,5.0
ANGELONE,C1:-7.3%/2b | C2:-8.0%/8b | C3:-11.3%/3b,344.75,N,0.31x,5.0
GUJALKALI,C1:-10.6%/2b | C2:-17.5%/5b | C3:-5.6%/2b,721.4,N,0.71x,5.0
AVADHSUGAR,C1:-7.9%/4b | C2:-6.4%/6b | C3:-9.3%/6b,485.0,N,1.46x,5.0
STLNETWORK,C1:-18.2%/5b | C2:-18.6%/3b | C3:-14.1%/3b,30.37,N,0.20x,5.0
RHETAN,C1:-5.1%/2b | C2:-19.5%/3b | C3:-4.8%/3b,30.52,N,1.94x,5.0
FOCUS,C1:-8.7%/4b | C2:-6.9%/4b | C3:-9.3%/5b,87.3,N,0.23x,5.0
SOUTHWEST,C1:-17.2%/5b | C2:-17.4%/4b | C3:-5.9%/3b,271.0,N,0.37x,5.0
531911,C1:-6.9%/4b | C2:-5.8%/5b | C3:-6.6%/3b,61.0,N,0.39x,5.0
PREMIERPOL,C1:-8.7%/5b | C2:-15.2%/5b | C3:-9.0%/5b,59.34,N,0.45x,5.0
KINGFA,C1:-10.4%/3b | C2:-4.7%/4b | C3:-4.6%/4b,5656.6,N,0.86x,5.0
SONAMLTD,C1:-10.8%/6b | C2:-7.2%/2b | C3:-8.6%/3b,59.18,N,1.00x,5.0
TARIL,C1:-11.9%/1b | C2:-13.2%/7b | C3:-6.2%/3b,329.6,N,0.33x,5.0
IDEA,C1:-9.3%/3b | C2:-3.2%/5b | C3:-2.9%/3b,14.29,N,1.79x,5.0
AKUMS,C1:-6.5%/1b | C2:-9.0%/8b | C3:-4.8%/2b,548.5,N,0.72x,5.0
530689,C1:-17.5%/5b | C2:-4.4%/4b | C3:-10.4%/6b,47.5,N,0.25x,5.0
KESORAMIND,C1:-13.3%/3b | C2:-10.2%/6b | C3:-14.1%/3b,13.68,N,~1.618x,5.0
UTLSOLAR,C1:-6.5%/2b | C2:-7.6%/1b | C3:-16.3%/11b,286.75,N,6.66x,5.0
SHILPAMED,C1:-5.4%/3b | C2:-5.8%/6b | C3:-8.2%/4b,529.8,N,0.30x,5.0
SHADOWFAX,C1:-7.4%/2b | C2:-6.8%/6b | C3:-12.4%/8b,211.77,N,1.97x,5.0
DATAPATTNS,C1:-9.4%/3b | C2:-14.3%/4b | C3:-9.8%/3b,4212.0,N,0.93x,5.0
HONASA,C1:-3.0%/3b | C2:-4.4%/7b | C3:-4.9%/3b,422.75,N,0.84x,5.0
GRWRHITECH,C1:-10.5%/4b | C2:-12.4%/3b | C3:-7.1%/2b,6166.0,N,0.21x,5.0
RUBYMILLS,C1:-6.7%/5b | C2:-12.2%/7b | C3:-9.2%/5b,273.1,N,0.74x,5.0
ADANIENSOL,C1:-10.4%/3b | C2:-10.0%/3b | C3:-12.5%/5b,1558.8,N,0.26x,5.0
TDPOWERSYS,C1:-10.2%/3b | C2:-10.6%/2b | C3:-11.3%/4b,1375.0,N,1.48x,5.0
SWANDEF,C1:-8.1%/5b | C2:-4.8%/3b | C3:-6.8%/5b,2163.2,N,0.11x,5.0
SCHNEIDER,C1:-6.9%/3b | C2:-7.4%/3b | C3:-11.4%/9b,1417.8,N,0.26x,5.0
WALCHANNAG,C1:-26.5%/20b | C2:-17.9%/5b | C3:-14.9%/4b,276.6,N,0.11x,5.0
JINDALSAW,C1:-12.3%/4b | C2:-12.3%/5b | C3:-12.6%/9b,249.45,N,0.97x,5.0
SEAMECLTD,C1:-7.9%/3b | C2:-8.8%/5b | C3:-9.5%/7b,1664.8,N,1.10x,5.0
APEX,C1:-10.9%/4b | C2:-10.5%/3b | C3:-11.0%/4b,473.9,N,2.44x,5.0
YASHO,C1:-18.2%/3b | C2:-6.6%/1b | C3:-10.7%/3b,2295.0,N,0.98x,5.0
ADVAIT,C1:-5.2%/3b | C2:-14.6%/6b | C3:-9.8%/5b,2124.0,N,0.29x,5.0
