symbol,day0_date,day0_idx_from_end,day0_open,day0_close,day0_volume,day0_verified_volspike,day0_vol_x_50davg,rsi,stoch_k,stoch_d,bb_width,pctB,cci,williams_r,mfi,obv_dir,macd,macd_signal,macd_hist,macd_vs_zero,ema20,ema20_slope,ema50,ema50_slope,ema_alignment,adx,atr,atr_pct,supertrend,supertrend_flip,day0_candle,pct_from_52wh,pct_vs_ema200,bb_position,bos_triggered,vcp_pivot_broken,demand_zone_reclaimed,order_block_broken,pre_vol_pattern,pre_rsi_trend,pre_range_pct,pre_tight_range,pre_volume_dryup,pre_shakeout,bars_available
KEI,2026-02-03,85,4300.0,4367.0,969623,False,3.69,59.9,55.4,43.5,23.02,68.6,65.1,-23.2,43.6,turning_up,-61.393,-69.042,7.648,below,4140.87,down/flat,4180.08,down/flat,crossing/mixed,34.0,155.33,3.56,green,just_flipped_green,Inverted Hammer;Bearish Pin Bar;Three White Soldiers,-4.8,8.51,above_mid,N,N,N,Y,rising,turning_up,7.85,Y,N,N,354
HMVL,2026-04-15,38,67.65,70.04,54787,True,2.06,64.7,89.8,89.6,19.91,105.3,112.6,-9.5,65.1,already_rising,0.54,-0.658,1.198,above,64.77,up,65.98,up,bearish,19.4,3.34,4.77,green,just_flipped_green,Bullish Engulfing,-32.26,-4.95,upper,Y,N,Y,Y,declining,turning_up,7.54,Y,Y,Y,352
OLAELEC,2026-04-02,46,25.62,28.34,456246744,True,6.2,60.3,66.5,52.9,19.58,137.5,116.8,-4.4,79.6,already_rising,-0.615,-1.282,0.667,below,24.99,up,27.92,down/flat,bearish,23.0,1.74,6.12,green,just_flipped_green,none,-60.22,-29.43,upper,Y,N,Y,Y,rising,turning_up,13.55,N,N,N,354
543920,2026-04-09,40,623.0,635.1,62200,True,2.43,68.9,90.4,90.3,23.77,107.9,184.6,-6.8,64.8,already_rising,19.634,11.075,8.558,above,569.11,up,556.95,up,crossing/mixed,15.0,29.99,4.72,green,none_recent,none,-12.82,9.23,upper,Y,N,Y,Y,rising,turning_up,10.39,N,N,N,350
SURYODAY,2026-02-26,67,117.64,125.83,1400391,False,4.97,44.9,20.3,10.2,21.18,38.9,-59.5,-51.6,44.2,turning_up,-4.539,-3.859,-0.681,below,127.16,down/flat,132.66,down/flat,bearish,23.9,4.93,3.91,red,none_recent,Morning Star,-22.08,-6.55,lower,N,N,N,Y,rising,flat/down,8.46,Y,N,N,353
KRISHANA,2026-02-11,79,515.0,520.75,164316,True,1.88,61.0,92.2,82.0,11.14,113.8,89.5,-5.6,74.1,already_rising,-0.656,-6.313,5.656,below,494.59,up,502.22,up,crossing/mixed,13.3,18.08,3.47,green,just_flipped_green,Three White Soldiers,-15.87,11.76,upper,Y,Y,Y,Y,rising,turning_up,9.19,Y,N,N,353
SIS,2026-03-25,49,278.0,285.9,79095,False,0.77,45.8,42.9,26.4,15.47,47.5,-10.9,-37.4,38.0,turning_up,-10.148,-11.046,0.898,below,287.39,down/flat,304.02,down/flat,bearish,37.7,10.66,3.73,red,none_recent,none,-28.85,-13.21,midband,N,N,N,Y,rising,turning_up,9.78,Y,N,Y,353
QUADFUTURE,2025-12-19,115,255.0,282.1,13497599,False,14.63,45.9,26.4,16.2,26.37,49.2,-24.3,-32.2,89.7,already_rising,-16.142,-17.419,1.277,below,281.37,down/flat,315.74,down/flat,bearish,25.6,14.64,5.19,red,none_recent,none,-62.08,-29.27,midband,N,N,N,Y,rising,flat/down,9.71,Y,Y,N,348
SHAILY,2026-03-17,56,1910.0,2279.9,2043355,True,7.81,67.4,65.7,51.5,19.97,129.4,149.2,-3.7,66.1,already_rising,-12.301,-40.454,28.153,below,1980.67,up,2052.74,down/flat,bearish,19.8,110.11,4.83,green,just_flipped_green,Bullish Marubozu,-18.57,10.46,upper,Y,Y,Y,Y,rising,turning_up,6.09,Y,N,Y,354
SANDHAR,2026-05-07,23,514.0,528.3,337752,True,3.21,63.7,76.1,68.8,9.66,116.1,110.8,-7.3,66.8,already_rising,6.887,3.683,3.205,above,497.0,up,495.99,up,crossing/mixed,16.4,18.06,3.42,green,none_recent,none,-12.1,5.59,upper,Y,Y,Y,Y,rising,turning_up,6.34,Y,N,Y,354
