symbol,day0_date,day0_idx_from_end,day0_open,day0_close,day0_volume,day0_verified_volspike,day0_vol_x_50davg,rsi,stoch_k,stoch_d,bb_width,pctB,cci,williams_r,mfi,obv_dir,macd,macd_signal,macd_hist,macd_vs_zero,ema20,ema20_slope,ema50,ema50_slope,ema_alignment,adx,atr,atr_pct,supertrend,supertrend_flip,day0_candle,pct_from_52wh,pct_vs_ema200,bb_position,bos_triggered,vcp_pivot_broken,demand_zone_reclaimed,order_block_broken,pre_vol_pattern,pre_rsi_trend,pre_range_pct,pre_tight_range,pre_volume_dryup,pre_shakeout,bars_available
KSHINTL,2026-03-10,61,375.0,395.7,1056295,True,3.34,60.6,74.0,57.6,9.5,124.6,185.4,-6.7,71.8,already_rising,4.882,3.336,1.546,above,369.94,up,363.93,up,n/a(short),12.5,17.03,4.3,green,none_recent,Three White Soldiers,-1.98,,upper,Y,Y,N,Y,declining,flat/down,9.01,Y,Y,Y,114
UFBL,2026-02-02,85,220.0,252.52,4919083,True,26.56,73.8,37.8,18.7,42.32,113.8,149.4,-8.5,91.5,already_rising,0.523,-2.03,2.553,above,194.54,down/flat,196.94,down/flat,bearish,29.4,14.33,5.68,green,just_flipped_green,none,-33.19,2.76,upper,Y,Y,N,Y,rising,turning_up,8.14,Y,Y,N,352
GVPIL,2026-02-09,81,332.65,348.45,262485,True,1.68,67.2,86.8,86.3,27.52,103.2,114.5,-5.8,72.0,already_rising,4.891,-2.395,7.287,above,313.92,up,316.0,up,bearish,23.5,14.96,4.29,green,just_flipped_green,none,-11.56,10.06,upper,Y,N,Y,Y,declining,turning_up,18.07,N,N,N,354
CONFIPET,2026-03-12,59,29.8,35.45,9380060,True,15.5,64.8,49.0,29.1,21.94,106.5,96.7,-0.5,80.7,already_rising,-0.543,-0.778,0.234,below,31.39,down/flat,32.9,down/flat,bearish,35.8,1.75,4.94,green,just_flipped_green,Bullish Marubozu;Tweezer Bottom;Outside Bar;Three White Soldiers,-44.34,-15.83,upper,Y,Y,N,Y,rising,turning_up,7.45,Y,N,N,354
STLTECH,2026-02-05,83,130.0,134.12,13920479,True,5.05,78.2,92.6,90.5,53.41,112.6,222.7,-9.0,95.3,already_rising,6.301,1.467,4.834,above,106.27,up,104.11,up,crossing/mixed,27.5,7.83,5.84,green,none_recent,none,-4.47,26.61,upper,Y,N,Y,Y,rising,turning_up,26.6,N,N,Y,354
AEROFLEX,2026-02-17,75,192.13,206.69,5765989,True,2.71,64.9,73.8,70.8,29.27,97.8,101.1,-8.8,88.0,already_rising,4.333,1.931,2.402,above,187.26,up,184.43,up,crossing/mixed,27.3,10.04,4.86,green,none_recent,none,-18.82,11.82,upper,Y,Y,Y,Y,rising,flat/down,7.61,Y,Y,N,354
IDEAFORGE,2026-04-22,34,483.1,545.9,15164113,True,11.19,76.4,87.9,90.3,38.37,120.7,211.2,-12.0,95.9,already_rising,20.732,8.401,12.331,above,447.42,up,435.61,up,crossing/mixed,19.7,27.3,5.0,green,just_flipped_green,none,-17.27,18.77,upper,Y,N,Y,Y,rising,rising_slowly,9.18,Y,Y,N,354
NGLFINE,2025-12-31,108,1325.0,1406.2,4218,True,1.72,61.0,61.0,56.9,7.83,136.1,167.5,-17.0,72.8,already_rising,-7.945,-19.515,11.57,below,1332.76,up,1362.14,down/flat,bearish,19.5,52.02,3.7,red,none_recent,none,-31.4,2.15,upper,Y,Y,Y,Y,rising,rising_slowly,5.26,Y,Y,Y,354
SHADOWFAX,2026-04-10,41,125.1,132.34,5965068,True,2.05,66.5,85.0,86.3,20.16,122.1,192.8,-13.8,78.1,already_rising,2.602,0.823,1.779,above,118.5,up,,down/flat,n/a(short),31.5,5.79,4.37,green,none_recent,none,-2.98,,upper,Y,N,Y,Y,rising,turning_up,10.81,N,Y,N,90
BHAGYANGR,2025-10-07,166,97.35,100.28,118628,True,4.12,68.4,71.0,60.1,10.8,114.7,178.4,-15.8,81.8,already_rising,1.564,0.993,0.571,above,94.28,up,91.97,up,n/a(short),19.2,4.3,4.29,green,none_recent,Outside Bar,-13.48,,upper,Y,Y,Y,Y,rising,turning_up,5.78,Y,N,N,354
ANTELOPUS,2026-01-14,98,365.8,441.25,3850148,True,23.95,60.1,38.9,16.6,22.12,94.9,51.3,-0.1,91.4,already_rising,-11.279,-14.049,2.77,below,398.65,down/flat,431.3,down/flat,bearish,28.4,23.96,5.43,green,just_flipped_green,Bullish Marubozu,-47.09,-18.19,above_mid,Y,N,N,Y,rising,flat/down,9.2,Y,Y,N,354
ATLANTAELE,2026-02-10,79,884.45,902.45,229469,True,1.7,63.5,81.7,69.7,24.87,106.4,102.4,-6.9,55.0,already_rising,-2.662,-22.39,19.728,below,814.88,up,845.46,down/flat,n/a(short),17.3,42.62,4.72,green,just_flipped_green,Three White Soldiers,-17.8,,upper,Y,N,Y,Y,declining,turning_up,14.7,N,N,Y,171
JNKINDIA,2026-04-13,40,269.0,288.59,584510,True,1.45,68.8,91.3,89.5,31.9,106.1,208.4,-5.0,57.8,already_rising,10.304,4.582,5.722,above,250.62,up,243.01,up,crossing/mixed,20.3,17.1,5.92,green,just_flipped_green,none,-31.21,1.92,upper,Y,N,Y,Y,declining,turning_up,12.71,N,N,Y,353
BLISSGVS,2026-02-09,81,183.5,203.6,9078679,True,1.64,68.9,90.8,89.1,28.25,116.0,216.8,-4.1,80.2,already_rising,6.528,3.532,2.996,above,176.03,up,168.99,up,20>50>200,27.1,10.25,5.04,green,none_recent,Bullish Marubozu,-1.07,28.32,upper,Y,N,Y,Y,rising,turning_up,11.02,N,Y,N,354
VENUSREM,2025-11-13,139,540.8,563.6,238552,True,4.63,83.2,84.0,79.7,31.31,120.5,323.7,-11.7,83.0,already_rising,17.591,4.23,13.362,above,473.21,up,463.1,up,20>50>200,23.1,23.75,4.21,green,just_flipped_green,Morning Star,-2.99,35.16,upper,Y,N,Y,Y,rising,turning_up,21.36,N,N,Y,352
SPORTKING,2026-02-04,84,98.4,107.14,795027,True,8.12,80.2,85.8,88.4,30.08,128.9,263.9,-13.7,84.8,already_rising,2.32,-0.364,2.684,above,89.17,up,90.05,up,bearish,28.9,4.99,4.66,green,just_flipped_green,Bullish Engulfing,-23.47,9.46,upper,Y,N,Y,Y,rising,turning_up,20.91,N,N,Y,353
E2E,2026-01-16,96,206.5,222.65,3021130,True,2.77,60.5,67.1,54.0,11.17,131.5,150.8,-0.0,65.7,already_rising,-4.292,-7.605,3.313,below,207.2,down/flat,225.5,down/flat,bearish,20.4,10.9,4.89,green,just_flipped_green,Bullish Marubozu;Morning Star,-45.7,-15.2,upper,Y,N,N,Y,declining,rising_slowly,13.86,N,N,Y,354
BALAMINES,2026-04-23,33,1200.0,1239.95,161357,True,1.57,70.3,95.1,93.9,26.26,102.2,189.3,-10.7,81.6,already_rising,39.703,19.22,20.482,above,1118.5,up,1101.67,up,crossing/mixed,12.6,51.73,4.17,green,none_recent,Three White Soldiers,-36.25,-0.37,upper,Y,N,Y,Y,rising,turning_up,8.97,Y,N,N,354
SAKAR,2025-09-23,175,336.25,363.75,61288,True,4.57,69.9,88.9,80.4,9.31,130.7,224.7,-0.0,76.4,already_rising,3.76,1.199,2.562,above,340.73,up,337.39,up,n/a(short),16.8,14.03,3.86,green,just_flipped_green,Bullish Marubozu;Three White Soldiers,-4.48,,upper,Y,Y,Y,Y,declining,turning_up,5.5,Y,N,N,354
532380,2025-12-22,111,7.7,7.75,44829,True,3.12,70.0,84.0,78.1,20.42,129.7,130.8,-9.8,65.3,already_rising,-0.043,-0.193,0.15,below,6.85,up,7.17,down/flat,bearish,31.6,0.44,5.69,green,just_flipped_green,Doji;Hanging Man;Bullish Pin Bar,-40.29,-8.56,upper,Y,N,Y,Y,rising,turning_up,11.35,N,N,Y,350
ACUTAAS,2025-10-15,160,1498.0,1548.8,582075,True,2.03,71.0,91.4,86.9,15.6,103.1,147.2,-6.2,59.3,already_rising,23.723,10.945,12.778,above,1439.44,up,1390.07,up,n/a(short),26.5,47.92,3.09,green,just_flipped_green,none,-1.04,,upper,Y,N,Y,Y,rising,turning_up,8.96,Y,N,Y,354
AVALON,2026-05-07,23,1219.0,1255.5,2780276,True,11.38,72.3,73.7,69.3,19.27,128.4,137.3,-17.7,76.0,already_rising,47.005,34.002,13.002,above,1089.32,up,1032.19,up,20>50>200,23.3,61.21,4.88,green,none_recent,none,-4.74,29.99,upper,Y,N,N,Y,rising,turning_up,16.11,N,N,N,354
SASKEN,2026-05-11,21,1500.0,1634.6,630253,True,15.68,83.8,85.1,76.1,23.1,150.2,197.6,-0.0,91.3,already_rising,60.071,41.225,18.845,above,1330.28,up,1272.39,up,crossing/mixed,31.4,66.89,4.09,green,none_recent,none,-0.07,20.82,upper,Y,Y,Y,Y,declining,rising_slowly,4.24,Y,Y,N,353
OMAXAUTO,2026-04-15,39,106.55,115.86,282224,True,3.48,66.6,87.1,84.0,22.67,119.6,146.4,-11.2,77.7,already_rising,1.394,-0.657,2.051,above,103.29,up,103.68,up,bearish,19.6,5.71,4.93,green,just_flipped_green,none,-30.12,7.99,upper,Y,N,Y,Y,declining,turning_up,7.77,Y,Y,N,353
RAIN,2025-12-19,115,111.23,124.6,25683573,True,12.64,64.8,81.7,79.0,18.04,133.2,92.3,-5.4,87.5,already_rising,-1.189,-3.64,2.451,below,111.67,up,118.19,down/flat,bearish,32.0,4.61,3.7,green,just_flipped_green,Bullish Marubozu,-30.35,-8.13,upper,Y,Y,Y,Y,declining,turning_up,8.31,Y,N,N,354
PARKHOSPS,2026-02-10,80,159.0,166.46,6400577,True,2.47,70.9,77.4,72.1,10.89,123.9,,-11.4,80.6,already_rising,2.595,1.701,0.894,above,154.63,up,,down/flat,n/a(short),27.8,7.75,4.66,green,none_recent,none,-1.7,,upper,Y,Y,Y,Y,declining,flat/down,5.36,Y,Y,N,118
TCIFINANCE,2025-12-17,115,11.2,13.44,223930,True,11.17,73.3,80.6,75.0,18.54,155.2,237.8,-0.0,85.4,already_rising,0.056,-0.133,0.189,above,11.44,up,11.7,down/flat,bearish,17.7,0.84,6.24,green,just_flipped_green,Bullish Engulfing;Outside Bar,-28.62,2.94,upper,Y,Y,N,Y,declining,turning_up,11.53,N,N,Y,352
SGMART,2026-02-09,81,369.0,405.3,1522487,True,6.31,68.9,82.6,86.2,21.46,121.8,169.6,-12.9,84.8,already_rising,6.658,1.299,5.359,above,360.31,up,355.92,up,n/a(short),27.3,19.78,4.88,green,just_flipped_green,none,-3.25,,upper,Y,Y,Y,Y,declining,turning_up,9.13,Y,Y,N,182
KERNEX,2026-04-08,43,1113.95,1141.3,325441,True,1.92,64.9,87.0,77.2,23.85,124.8,135.4,-5.7,68.6,already_rising,-13.127,-38.998,25.87,below,994.86,up,1051.05,down/flat,bearish,27.8,60.29,5.28,green,just_flipped_green,none,-19.91,2.01,upper,Y,N,N,Y,rising,turning_up,21.2,N,N,Y,354
BBOX,2026-02-09,81,533.45,571.15,836169,True,2.69,64.4,78.9,75.3,16.67,119.7,130.9,-4.4,71.0,already_rising,3.512,-3.426,6.938,above,520.57,up,522.44,up,crossing/mixed,15.6,24.21,4.24,green,just_flipped_green,none,-6.95,9.99,upper,Y,N,Y,Y,rising,flat/down,8.73,Y,N,Y,354
GAYAPROJ,2026-04-06,45,13.68,14.86,546565,True,6.25,100.0,88.8,88.5,20.83,99.2,136.9,-5.6,,already_rising,0.51,0.389,0.121,above,13.69,up,13.01,up,20>50>200,94.6,0.25,1.68,green,none_recent,Bullish Marubozu;Outside Bar,-0.87,33.38,upper,Y,N,Y,Y,declining,rising_slowly,9.29,Y,N,Y,354
RUBICON,2026-02-03,84,709.0,721.9,357804,True,1.93,67.1,90.8,85.5,9.61,125.8,275.6,-13.2,72.5,already_rising,8.007,3.967,4.041,above,674.97,up,664.0,up,n/a(short),17.9,26.25,3.64,green,none_recent,Three White Soldiers,-4.36,,upper,Y,Y,Y,N,rising,turning_up,8.13,Y,Y,N,158
CUPID,2025-09-08,186,35.0,37.6,41559380,True,1.5,75.5,64.7,65.1,13.12,118.5,67.3,-14.4,63.4,already_rising,1.699,1.767,-0.069,above,34.31,up,30.5,up,n/a(short),45.3,1.68,4.46,green,none_recent,Bullish Engulfing;Outside Bar,-2.07,,upper,Y,Y,Y,Y,declining,flat/down,8.48,Y,Y,N,354
SEDEMAC,2026-04-06,45,1570.0,1680.2,511124,False,1.34,69.1,75.0,,,,,-10.1,84.2,already_rising,,,,below,,down/flat,,down/flat,n/a(short),,108.68,6.47,green,none_recent,none,-1.66,,n/a,Y,Y,N,Y,rising,flat/down,5.27,Y,Y,N,61
KSR,2026-01-05,103,26.2,26.21,1068375,True,4.74,55.2,100.0,79.2,71.64,110.0,,-0.0,90.6,already_rising,-1.321,,,below,20.28,up,,down/flat,n/a(short),,2.29,8.73,green,just_flipped_green,Dragonfly Doji;Hanging Man;Bullish Pin Bar;Outside Bar;Three White Soldiers,-25.01,,upper,Y,N,N,Y,rising,turning_up,37.35,N,N,Y,130
VIDYAWIRES,2026-02-26,68,51.2,53.75,5590001,True,1.72,67.0,74.5,65.4,16.04,118.9,196.5,-3.1,68.1,already_rising,0.663,0.037,0.627,above,48.87,up,49.13,up,n/a(short),18.4,2.13,3.96,green,none_recent,none,-8.04,,upper,Y,Y,N,Y,rising,turning_up,9.86,Y,Y,N,123
PARACABLES,2026-04-08,43,34.21,37.21,1682677,True,1.7,61.3,70.6,61.2,20.4,113.6,157.5,-11.8,51.2,turning_up,-0.237,-0.664,0.427,below,33.31,up,34.39,down/flat,bearish,17.7,2.22,5.98,green,just_flipped_green,none,-40.7,-12.28,upper,Y,N,N,Y,declining,turning_up,14.11,N,N,Y,354
TDPOWERSYS,2025-09-03,189,518.0,551.35,5502113,True,6.42,66.1,70.2,63.3,11.16,124.0,193.7,-12.5,84.9,already_rising,6.485,4.112,2.372,above,511.09,up,500.91,up,n/a(short),12.6,19.02,3.45,green,none_recent,Three White Soldiers,-1.54,,upper,Y,Y,Y,Y,declining,turning_up,5.4,Y,Y,N,354
POWERINDIA,2026-02-06,82,20900.0,21871.0,993958,True,5.62,72.5,77.9,77.6,31.01,123.2,186.5,-3.5,76.7,already_rising,420.492,-73.148,493.64,above,18547.16,up,18643.21,up,crossing/mixed,28.8,920.81,4.21,green,none_recent,Morning Star,-4.24,20.34,upper,Y,N,Y,Y,declining,flat/down,10.97,N,N,N,354
APOLLO,2026-04-09,42,208.05,232.52,50987271,True,9.41,61.9,81.9,73.1,21.51,121.7,101.0,-10.7,77.4,already_rising,-3.735,-8.049,4.313,below,205.84,up,218.64,down/flat,bearish,20.2,12.6,5.42,green,just_flipped_green,Bullish Engulfing,-34.45,2.63,upper,Y,N,Y,Y,declining,turning_up,9.5,Y,N,Y,354
WHEELS,2026-02-16,76,860.0,905.8,104708,True,2.2,65.0,89.6,89.4,30.75,87.8,82.0,-8.0,85.3,already_rising,20.185,7.668,12.517,above,840.64,up,834.92,up,20>50>200,32.1,36.14,3.99,green,none_recent,Bullish Engulfing;Outside Bar,-7.43,12.3,above_mid,Y,N,Y,Y,declining,flat/down,4.18,Y,Y,N,354
DJML,2026-02-03,84,78.8,80.11,498796,True,2.06,67.0,81.6,73.4,16.22,117.3,202.5,-3.5,75.3,already_rising,1.782,1.12,0.663,above,72.89,up,73.05,up,bearish,14.2,4.55,5.68,green,none_recent,Hanging Man,-48.93,-15.06,upper,Y,Y,Y,Y,declining,turning_up,8.86,Y,N,N,353
NARMADA,2026-01-05,103,22.01,23.62,102954,True,1.84,63.6,93.0,81.1,13.48,124.0,92.6,-0.0,71.6,already_rising,-0.13,-0.422,0.292,below,21.86,up,22.34,down/flat,crossing/mixed,41.5,1.14,4.83,red,none_recent,Bullish Marubozu;Three White Soldiers,-16.39,9.92,upper,Y,Y,N,Y,rising,turning_up,12.28,N,N,Y,352
NEOGEN,2026-02-26,68,1371.0,1451.2,339882,True,2.96,67.7,68.4,65.0,13.89,118.7,102.2,-6.6,63.3,already_rising,40.151,33.855,6.296,above,1320.46,up,1275.09,up,crossing/mixed,32.5,66.53,4.58,green,none_recent,none,-24.65,2.94,upper,Y,Y,Y,Y,declining,flat/down,6.66,Y,Y,N,354
NINSYS,2026-03-30,47,353.05,397.45,102443,True,5.7,70.8,69.8,65.5,33.9,132.9,203.5,-15.6,96.8,already_rising,4.74,-6.284,11.024,above,321.0,up,332.92,up,bearish,18.6,30.01,7.55,green,just_flipped_green,none,-24.57,1.02,upper,Y,N,Y,Y,rising,turning_up,22.14,N,N,Y,353
WELCORP,2026-04-08,43,910.0,937.05,1368940,True,2.71,70.1,95.8,88.3,17.73,126.9,298.0,-3.8,84.5,already_rising,20.572,9.359,11.213,above,834.78,up,817.4,up,crossing/mixed,11.9,34.82,3.72,green,none_recent,Three White Soldiers,-5.73,13.47,upper,Y,N,Y,Y,declining,turning_up,8.38,Y,N,Y,354
DATAPATTNS,2026-02-09,81,2738.0,2805.1,841233,True,1.53,60.4,84.6,77.8,27.02,92.6,125.4,-1.6,72.8,already_rising,20.981,-22.479,43.461,above,2574.04,up,2610.39,up,crossing/mixed,18.5,141.69,5.05,green,none_recent,Morning Star,-14.19,7.83,above_mid,Y,N,Y,Y,rising,turning_up,10.91,N,N,Y,354
EMMVEE,2026-03-18,55,216.88,238.56,4226963,True,1.51,70.6,91.2,78.6,24.18,117.3,170.5,-0.0,56.3,already_rising,3.736,0.272,3.465,above,207.03,up,205.07,up,n/a(short),21.0,12.3,5.16,green,just_flipped_green,Bullish Marubozu;Three White Soldiers,-3.96,,upper,Y,N,Y,Y,rising,turning_up,9.33,Y,N,Y,139
PANACEABIO,2026-04-22,34,338.0,363.8,561904,True,4.63,60.5,73.6,79.2,18.18,103.6,168.0,-15.5,75.8,already_rising,4.41,0.269,4.141,above,337.63,up,341.36,up,bearish,14.7,18.79,5.17,green,just_flipped_green,Bullish Engulfing;Outside Bar;Morning Star,-37.48,-3.84,upper,Y,N,Y,Y,declining,flat/down,9.52,Y,N,N,354
PRECWIRE,2025-10-03,168,194.0,208.69,3071049,True,11.86,73.7,57.3,38.3,14.51,141.4,243.1,-12.6,83.3,already_rising,4.022,2.208,1.814,above,185.31,up,181.42,up,n/a(short),34.2,7.92,3.79,green,none_recent,none,-2.01,,upper,Y,Y,Y,Y,declining,turning_up,6.49,Y,N,N,354
SYRMA,2026-02-04,84,818.0,850.2,2455947,True,1.9,73.4,88.2,83.2,29.48,113.1,194.1,-1.7,89.8,already_rising,14.887,-5.458,20.345,above,735.42,up,742.2,up,crossing/mixed,33.8,36.48,4.29,green,none_recent,Bullish Engulfing;NR4,-6.56,19.84,upper,Y,N,Y,Y,rising,turning_up,22.24,N,N,Y,354
KRISHNADEF,2025-12-29,109,810.0,830.2,49500,True,1.59,62.7,87.8,87.0,22.3,99.9,115.9,-6.1,74.6,already_rising,3.283,-10.115,13.399,above,760.74,up,771.65,up,bearish,22.3,35.3,4.25,green,just_flipped_green,none,-19.2,5.36,upper,Y,N,Y,Y,declining,turning_up,17.35,N,N,Y,353
GRWRHITECH,2025-09-10,184,3200.1,3320.1,405064,True,6.25,60.7,80.5,66.3,19.33,126.7,96.1,-18.0,74.7,already_rising,-74.097,-149.342,75.245,below,3000.47,up,3256.77,down/flat,n/a(short),29.2,164.83,4.96,green,just_flipped_green,none,-35.24,,upper,Y,Y,Y,Y,rising,turning_up,9.42,Y,N,Y,354
SHILPAMED,2026-05-06,24,424.4,441.9,1008040,True,1.47,72.7,70.7,52.2,8.75,126.0,51.1,-13.4,68.2,already_rising,15.68,16.408,-0.728,above,407.21,up,378.76,up,20>50>200,46.3,18.19,4.12,green,none_recent,Three White Soldiers,-11.62,21.47,upper,Y,Y,Y,Y,rising,turning_up,8.09,Y,Y,N,354
THANGAMAYL,2025-10-31,149,2080.0,2169.6,159392,True,4.38,63.5,71.2,67.3,10.99,112.8,159.8,-25.7,73.9,already_rising,3.801,-15.994,19.795,above,2046.7,up,2047.98,up,crossing/mixed,22.1,69.72,3.21,green,just_flipped_green,none,-5.22,9.37,upper,Y,Y,Y,Y,declining,turning_up,7.66,Y,N,Y,354
SANSERA,2025-09-17,179,1435.1,1507.0,690531,True,8.1,76.9,84.2,80.4,20.44,108.1,173.6,-6.4,84.9,already_rising,37.143,19.969,17.174,above,1371.47,up,1340.11,up,n/a(short),29.1,43.39,2.88,green,none_recent,none,-1.17,,upper,Y,Y,Y,Y,declining,flat/down,4.42,Y,N,N,354
SALSTEEL,2025-09-12,180,30.07,31.62,762335,True,2.81,92.1,92.8,93.9,104.86,101.4,197.8,-0.7,95.9,already_rising,3.46,1.961,1.5,above,22.41,up,19.49,up,n/a(short),38.4,1.82,5.75,green,none_recent,Bullish Engulfing,-0.35,,upper,Y,N,Y,Y,rising,turning_up,29.6,N,N,N,352
INDSWFTLAB,2026-01-13,98,91.98,101.14,1686274,True,13.84,63.6,48.7,43.5,12.18,129.5,189.0,-17.9,78.4,already_rising,-0.446,-1.336,0.89,below,92.89,up,95.08,down/flat,bearish,16.8,4.5,4.45,green,just_flipped_green,Three White Soldiers,-18.44,2.63,upper,Y,Y,Y,Y,rising,rising_slowly,10.47,N,N,Y,353
ADVAIT,2026-01-29,88,1419.7,1544.0,94320,False,,100.0,,,,,,,,already_rising,,,,below,,down/flat,,down/flat,n/a(short),,,,green,just_flipped_green,Morning Star,-2.94,,n/a,Y,N,N,Y,rising,flat/down,8.47,Y,N,N,95
543787,2026-01-29,86,740.91,763.05,50160,True,11.05,58.2,66.3,64.0,7.65,103.6,177.0,-15.2,64.9,already_rising,3.958,1.606,2.352,above,735.87,up,729.81,up,crossing/mixed,15.0,23.67,3.1,green,none_recent,Tweezer Bottom;Outside Bar,-34.83,1.42,upper,Y,Y,N,Y,declining,turning_up,7.02,Y,N,N,352
APOLLOPIPE,2026-02-06,82,265.05,313.4,4220194,True,23.63,64.2,55.4,41.2,21.9,108.8,110.3,-7.7,82.6,already_rising,-3.549,-6.628,3.078,below,278.42,down/flat,289.56,down/flat,bearish,21.0,15.86,5.06,green,just_flipped_green,Bullish Engulfing,-36.68,-8.76,upper,Y,Y,Y,Y,declining,turning_up,11.15,N,Y,N,354
SWANDEF,2025-08-18,199,372.0,372.2,950,True,6.26,100.0,100.0,100.0,23.62,102.9,81.6,-0.0,,already_rising,25.891,26.027,-0.136,above,329.72,up,280.11,up,n/a(short),99.3,4.27,1.15,green,none_recent,Bullish Marubozu,-41.15,,upper,Y,Y,Y,N,declining,rising_slowly,4.53,Y,Y,N,352
MANAKALUCO,2026-04-17,37,30.45,31.4,242432,True,1.7,65.6,99.0,96.2,39.24,107.5,123.9,-3.0,79.2,already_rising,0.334,-0.744,1.077,above,27.12,up,28.7,up,bearish,28.6,1.54,4.91,green,none_recent,Outside Bar,-53.9,5.17,upper,Y,N,Y,Y,declining,turning_up,12.23,N,Y,N,354
NITINSPIN,2026-01-27,90,318.05,332.65,136872,True,3.3,61.6,62.6,41.4,7.73,111.8,182.3,-6.7,53.8,already_rising,-0.095,-1.037,0.942,below,318.49,down/flat,321.18,down/flat,bearish,13.4,9.42,2.83,red,none_recent,Three White Soldiers,-24.22,-3.13,upper,Y,Y,N,Y,rising,turning_up,6.75,Y,N,Y,353
SATIN,2026-04-10,41,156.15,159.52,309720,True,1.82,65.6,92.1,87.0,13.15,114.7,163.2,-9.5,40.2,turning_up,0.935,-0.964,1.9,above,149.21,up,149.57,up,bearish,17.7,5.72,3.58,green,just_flipped_green,Bullish Engulfing,-9.31,6.46,upper,Y,N,Y,Y,rising,turning_up,10.44,N,Y,Y,353
542669,2026-04-08,41,35.85,38.2,622906,True,3.81,66.6,88.2,73.9,30.62,116.1,150.0,-7.6,58.9,already_rising,-0.409,-1.24,0.83,below,32.31,up,34.13,down/flat,bearish,32.6,2.42,6.32,green,just_flipped_green,Three White Soldiers,-36.07,-6.04,upper,Y,N,N,Y,declining,turning_up,23.14,N,N,Y,350
THERMAX,2026-02-20,72,3000.0,3151.8,318068,True,2.79,62.7,87.2,84.7,12.2,113.0,160.8,-10.4,63.4,already_rising,30.388,3.342,27.047,above,2965.68,up,2965.88,up,bearish,15.5,107.88,3.42,green,just_flipped_green,Bullish Engulfing,-22.97,-1.45,upper,Y,Y,N,Y,declining,turning_up,11.11,N,N,Y,353
MAYURUNIQ,2026-04-21,34,571.2,586.4,116796,True,1.43,65.0,91.5,89.2,21.86,89.3,105.7,-2.5,78.4,already_rising,14.834,9.434,5.401,above,550.55,up,536.99,up,20>50>200,23.8,21.3,3.63,green,none_recent,none,-6.91,10.7,above_mid,Y,Y,Y,Y,declining,flat/down,6.99,Y,N,N,352
QPOWER,2026-04-09,42,906.05,969.85,2276421,True,1.86,66.4,85.3,83.1,20.84,123.5,211.8,-7.4,66.7,already_rising,25.889,14.89,10.999,above,856.22,up,823.9,up,20>50>200,13.4,49.88,5.14,green,none_recent,Morning Star,-10.37,28.22,upper,Y,N,Y,Y,declining,turning_up,9.9,Y,N,N,318
FCL,2026-05-06,24,23.42,25.51,34491259,True,10.63,74.8,50.1,39.3,9.52,156.4,134.3,-25.4,71.6,already_rising,0.396,0.237,0.158,above,23.09,up,22.89,up,crossing/mixed,12.2,0.97,3.79,green,none_recent,none,-28.72,5.73,upper,Y,Y,N,Y,declining,turning_up,3.37,Y,N,N,354
SBCL,2026-04-08,43,450.85,467.05,424093,True,2.78,63.1,85.6,77.2,20.75,115.4,96.0,-10.0,52.1,already_rising,-4.611,-12.659,8.048,below,419.57,up,433.16,down/flat,bearish,23.4,22.43,4.8,green,just_flipped_green,Three White Soldiers,-22.8,-0.03,upper,Y,N,N,Y,declining,turning_up,13.38,N,N,Y,353
KIRLOSENG,2025-10-28,151,941.35,1005.7,3995688,True,10.24,73.4,85.9,70.1,13.33,137.4,215.0,-6.2,93.0,already_rising,6.5,-3.914,10.414,above,910.62,up,906.42,up,20>50>200,18.1,28.55,2.84,green,just_flipped_green,Three White Soldiers,-4.41,13.48,upper,Y,Y,Y,Y,rising,turning_up,6.79,Y,Y,Y,353
JAYBARMARU,2026-05-20,14,97.0,103.27,2119565,True,7.83,67.8,40.6,18.8,19.17,114.6,140.5,-0.0,65.7,turning_up,-0.095,-0.31,0.216,below,91.08,down/flat,91.43,down/flat,crossing/mixed,15.4,4.46,4.31,green,just_flipped_green,Bullish Marubozu,-10.89,14.99,upper,Y,Y,N,Y,declining,flat/down,4.43,Y,N,N,353
YASHO,2026-02-27,66,1491.8,1561.4,118951,True,3.03,68.7,70.1,65.0,20.55,93.6,76.1,-22.9,67.2,already_rising,43.902,32.214,11.687,above,1441.08,up,1428.81,up,crossing/mixed,30.3,74.51,4.77,green,none_recent,Three White Soldiers,-28.11,-3.58,above_mid,Y,N,Y,Y,rising,flat/down,7.42,Y,Y,N,351
KRN,2026-02-18,74,751.15,790.2,991754,True,3.98,66.2,93.3,88.7,33.18,99.7,111.4,-3.5,83.9,already_rising,14.921,0.752,14.169,above,709.17,up,719.06,up,bearish,18.9,34.3,4.34,green,none_recent,Three White Soldiers,-21.76,1.57,upper,Y,Y,Y,Y,rising,turning_up,5.82,Y,N,N,354
RPTECH,2026-04-10,41,390.0,404.75,206080,True,1.42,71.2,90.3,84.7,18.79,122.5,240.5,-3.0,83.3,already_rising,7.513,1.511,6.002,above,363.63,up,358.82,up,20>50>200,16.2,16.33,4.03,green,none_recent,none,-0.97,18.35,upper,Y,N,Y,Y,rising,turning_up,10.98,N,Y,N,354
IOLCP,2026-03-24,51,73.2,77.17,5619339,True,5.31,58.3,70.1,68.7,12.21,107.9,125.4,-17.2,73.3,turning_up,-0.22,-0.874,0.654,below,72.65,up,74.79,down/flat,bearish,13.2,3.45,4.47,green,just_flipped_green,none,-39.07,-6.88,upper,Y,Y,Y,Y,declining,turning_up,10.68,N,N,Y,354
