symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
EASEMYTRIP,Easy Trip Planners Limited,NSE,EASEMYTRIP.NS,EQ,INE07O001026,,,INE07O001026
EASTSILK,Eastern Silk Industries Limited,NSE,EASTSILK.NS,BE,INE962C01035,,,INE962C01035
EBGNG,GNG Electronics Limited,NSE,EBGNG.NS,EQ,INE18JU01028,,,INE18JU01028
DREDGECORP,Dredging Corporation of India Limited,NSE,DREDGECORP.NS,EQ,INE506A01018,,,INE506A01018
DRCSYSTEMS,DRC Systems India Limited,NSE,DRCSYSTEMS.NS,EQ,INE03RS01027,,,INE03RS01027
DJML,DJ Mediaprint & Logistics Limited,NSE,DJML.NS,EQ,INE0B1K01014,,,INE0B1K01014
DOLATALGO,Dolat Algotech Limited,NSE,DOLATALGO.NS,EQ,INE966A01022,,,INE966A01022
DLF,DLF Limited,NSE,DLF.NS,EQ,INE271C01023,,,INE271C01023
DLINKINDIA,D-Link (India) Limited,NSE,DLINKINDIA.NS,EQ,INE250K01012,,,INE250K01012
DMART,Avenue Supermarts Limited,NSE,DMART.NS,EQ,INE192R01011,,,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE,DMCC.NS,EQ,INE505A01010,,,INE505A01010
DNAMEDIA,Diligent Media Corporation Limited,NSE,DNAMEDIA.NS,EQ,INE016M01021,,,INE016M01021
DODLA,Dodla Dairy Limited,NSE,DODLA.NS,EQ,INE021O01019,,,INE021O01019
DOLLAR,Dollar Industries Limited,NSE,DOLLAR.NS,EQ,INE325C01035,,,INE325C01035
DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE,DRAGARWQ.NS,EQ,INE934C01018,,,INE934C01018
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE,DOLPHIN.NS,EQ,INE920A01037,,,INE920A01037
DOMS,DOMS Industries Limited,NSE,DOMS.NS,EQ,INE321T01012,,,INE321T01012
