symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,robust_return_pct,robust_now,robust_past,live_today_2ndsrc,price_mismatch_pct,return_delta_raw_vs_robust,robust_below_25
GOKEX,Gokaldas Exports Limited,NSE,560.85,2026-01-20,827.8,47.6,,,,848772.0,617376254.0,False,INE887G01027,GOKEX.NS,41.77,836.85,590.3,,,5.83,False
TRIVENI,Triveni Engineering & Industries Limited,NSE,330.95,2026-01-20,472.15,42.67,,,,592682.0,235052007.0,False,INE256C01024,TRIVENI.NS,41.77,472.15,333.05,,,0.9,False
MANORAMA,Manorama Industries Limited,NSE,1125.6,2026-01-20,1591.5,41.39,,,,141048.0,199652451.0,False,INE00VM01036,MANORAMA.NS,41.74,1595.4,1125.6,,,0.35,False
PANACEABIO,Panacea Biotec Limited,NSE,382.95,2026-01-20,548.85,43.32,,,,768386.0,353453128.0,False,INE922B01023,PANACEABIO.NS,41.66,542.5,382.95,,,1.66,False
CORONA,CORONA Remedies Limited,NSE,1458.8,2026-01-20,2062.2,41.36,,,,179194.0,265382479.0,False,INE02ZQ01018,CORONA.NS,41.36,2062.2,1458.8,,,0.0,False
TVSSCS,TVS Supply Chain Solutions Limited,NSE,98.04,2026-01-20,135.54,38.25,,,,1169087.0,142230348.0,False,INE395N01027,TVSSCS.NS,41.36,138.59,98.04,,,3.11,False
539479,GTV Engineering Ltd,BSE,49.68,2026-01-20,69.63,40.16,,,,82348.0,5373322.0,False,INE910R01024,539479.BO,41.28,70.19,49.68,69.63,0.0,1.12,False
ASIANENE,Asian Energy Services Limited,NSE,249.8,2026-01-20,356.65,42.77,,,,263290.0,86304593.0,False,INE276G01015,ASIANENE.NS,41.25,356.65,252.5,,,1.52,False
MSTCLTD,Mstc Limited,NSE,458.2,2026-01-20,594.55,29.76,,,,632828.0,369466139.0,False,INE255X01014,MSTCLTD.NS,41.1,653.0,462.8,,,11.34,False
PGIL,Pearl Global Industries Limited,NSE,1402.5,2026-01-20,2041.3,45.55,,,,113190.0,195707277.0,False,INE940H01022,PGIL.NS,41.03,2041.3,1447.4,,,4.52,False
SANGAMIND,Sangam (India) Limited,NSE,445.75,2026-01-20,636.95,42.89,,,,69663.0,38456247.0,False,INE495C01010,SANGAMIND.NS,40.96,628.35,445.75,,,1.93,False
HEXAGON,Hexagon Nutrition Limited,NSE,50.66,2026-06-12,69.54,37.27,,,,3501058.0,226097246.0,False,INE0JUI01012,HEXAGON.NS,40.95,74.97,53.19,,,3.68,False
KRISHNADEF,Krishna Defence And Allied Industries Limited,NSE,915.3,2026-01-20,1281.1,39.97,,,,154051.0,166711156.0,False,INE0J5601015,KRISHNADEF.NS,40.89,1289.6,915.3,,,0.92,False
JASH,Jash Engineering Limited,NSE,369.25,2026-01-20,520.45,40.95,,,,147775.0,65558033.0,False,INE039O01029,JASH.NS,40.84,525.25,372.95,,,0.11,False
VIJAYA,Vijaya Diagnostic Centre Limited,NSE,964.2,2026-01-20,1341.3,39.11,,,,249317.0,290722871.0,False,INE043W01024,VIJAYA.NS,40.79,1388.8,986.4,,,1.68,False
542669,BMW Industries Ltd,BSE,36.79,2026-01-20,53.03,44.14,,,,269908.0,13258453.0,False,INE374E01021,542669.BO,40.76,53.11,37.73,53.03,0.0,3.38,False
530249,Bridge Securities Ltd,BSE,12.04,2026-01-20,17.45,44.93,,,,75282.0,1047844.0,False,INE958C01025,530249.BO,40.61,17.45,12.41,17.45,0.0,4.32,False
BELRISE,Belrise Industries Limited,NSE,161.89,2026-01-20,226.91,40.16,,,,6203612.0,1196730892.0,False,INE894V01022,BELRISE.NS,40.55,232.34,165.31,,,0.39,False
ELGIRUBCO,Elgi Rubber Company Limited,NSE,40.35,2026-01-20,61.84,53.26,,,,78006.0,3896776.0,False,INE819L01012,ELGIRUBCO.NS,40.41,57.68,41.08,,,12.85,False
SAIPARENT,Sai Parenterals Limited,NSE,405.7,2026-04-02,556.1,37.07,,,,323154.0,169525584.0,False,INE0H9F01037,SAIPARENT.NS,40.34,570.7,406.65,,,3.27,False
MAWANASUG,Mawana Sugars Limited,NSE,80.11,2026-01-20,113.27,41.39,,,,101823.0,10148039.0,False,INE636A01039,MAWANASUG.NS,40.12,113.27,80.84,,,1.27,False
SETCO,Setco Automotive Limited,NSE,13.03,2026-01-20,18.01,38.22,,,,161900.0,3283468.0,False,INE878E01021,SETCO.NS,40.06,18.25,13.03,,,1.84,False
NAM-INDIA,Nippon Life India Asset Management Limited,NSE,852.1,2026-01-20,1186.5,39.24,,,,973793.0,955550942.0,False,INE298J01013,NAM-INDIA.NS,39.97,1192.7,852.1,,,0.73,False
NEULANDLAB,Neuland Laboratories Limited,NSE,13581.0,2026-01-20,18434.0,35.73,,,,52107.0,813090794.0,False,INE794A01010,NEULANDLAB.NS,39.89,18999.0,13581.0,,,4.16,False
VIYASH,Viyash Scientific Limited,NSE,199.43,2026-01-20,268.65,34.71,,,,1413882.0,337811979.0,False,INE807F01027,VIYASH.NS,39.85,278.9,199.43,,,5.14,False
INGERRAND,Ingersoll Rand (India) Limited,NSE,3180.3,2026-01-20,4571.2,43.73,,,,18842.0,75210488.0,False,INE177A01018,INGERRAND.NS,39.75,4444.4,3180.3,,,3.98,False
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,803.75,2026-01-20,1200.6,49.37,,,,1730919.0,1747026444.0,False,INE178A01016,CHENNPETRO.NS,39.75,1157.9,828.55,,,9.62,False
VIPULLTD,Vipul Limited,NSE,12.4,2026-01-20,15.64,26.13,,,,648850.0,8128581.0,False,INE946H01037,VIPULLTD.NS,39.68,17.32,12.4,,,13.55,False
ABDL,Allied Blenders and Distillers Limited,NSE,439.5,2026-01-20,616.55,40.28,,,,467657.0,255197181.0,False,INE552Z01027,ABDL.NS,39.67,622.25,445.5,,,0.61,False
OPTIEMUS,Optiemus Infracom Limited,NSE,416.25,2026-01-20,588.95,41.49,,,,195141.0,84799190.0,False,INE350C01017,OPTIEMUS.NS,39.32,579.9,416.25,,,2.17,False
PRIVISCL,Privi Speciality Chemicals Limited,NSE,2620.7,2026-01-20,3676.5,40.29,,,,139705.0,417522735.0,False,INE959A01019,PRIVISCL.NS,39.31,3682.0,2643.0,,,0.98,False
HALDYNGL,Haldyn Glass Limited,NSE,89.05,2026-04-20,120.03,34.79,,,,103504.0,11955671.0,False,INE506D01020,HALDYNGL.NS,39.24,122.95,88.3,,,4.45,False
GREENPLY,Greenply Industries Limited,NSE,227.3,2026-01-20,315.35,38.74,,,,617464.0,168212271.0,False,INE461C01038,GREENPLY.NS,39.13,316.25,227.3,,,0.39,False
PRITIKAUTO,Pritika Auto Industries Limited,NSE,13.05,2026-01-20,18.29,40.15,,,,271158.0,4040178.0,False,INE583R01029,PRITIKAUTO.NS,39.09,18.29,13.15,,,1.06,False
MARINE,Marine Electricals (India) Limited,NSE,176.14,2026-01-20,249.75,41.79,,,,547453.0,125790084.0,False,INE01JE01028,MARINE.NS,39.09,253.4,182.18,,,2.7,False
GANESHBE,Ganesh Benzoplast Limited,NSE,73.14,2026-01-20,104.41,42.75,,,,275560.0,26692799.0,False,INE388A01029,GANESHBE.NS,38.94,103.86,74.75,,,3.81,False
SUNFLAG,Sunflag Iron And Steel Company Limited,NSE,248.2,2026-01-20,344.65,38.86,,,,435814.0,148736071.0,False,INE947A01014,SUNFLAG.NS,38.86,344.65,248.2,,,0.0,False
BSE,BSE Limited,NSE,2653.4,2026-01-20,3581.8,34.99,,,,4131953.0,13344996276.0,False,INE118H01025,BSE.NS,38.61,3754.4,2708.6,,,3.62,False
NELCO,NELCO Limited,NSE,625.9,2026-01-20,867.15,38.54,,,,252260.0,201162928.0,False,INE045B01015,NELCO.NS,38.54,867.15,625.9,,,0.0,False
WELSPUNLIV,Welspun Living Limited,NSE,113.0,2026-01-20,164.4,45.49,,,,3104847.0,438558588.0,False,INE192B01031,WELSPUNLIV.NS,38.5,164.8,118.99,,,6.99,False
THEMISMED,Themis Medicare Limited,NSE,83.45,2026-01-20,109.9,31.7,,,,172696.0,18386625.0,False,INE083B01024,THEMISMED.NS,38.47,115.55,83.45,,,6.77,False
TARIL,Transformers And Rectifiers (India) Limited,NSE,242.2,2026-01-20,332.5,37.28,,,,6187359.0,1870335158.0,False,INE763I01026,TARIL.NS,38.46,337.0,243.4,,,1.18,False
RANEHOLDIN,Rane Holdings Limited,NSE,1251.9,2026-01-20,1729.2,38.13,,,,26787.0,36709937.0,False,INE384A01010,RANEHOLDIN.NS,38.21,1748.6,1265.2,,,0.08,False
ITDC,India Tourism Development Corporation Limited,NSE,538.4,2026-01-20,743.95,38.18,,,,1194422.0,800168783.0,False,INE353K01014,ITDC.NS,38.18,743.95,538.4,,,0.0,False
SALSTEEL,S.A.L. Steel Limited,NSE,40.11,2026-01-20,53.12,32.44,,,,130562.0,6444785.0,False,INE658G01014,SALSTEEL.NS,38.05,55.37,40.11,,,5.61,False
ZENTEC,Zen Technologies Limited,NSE,1304.3,2026-01-20,1769.7,35.68,,,,667695.0,1061407010.0,False,INE251B01027,ZENTEC.NS,38.03,1809.6,1311.0,,,2.35,False
SCI,Shipping Corporation Of India Limited,NSE,203.25,2026-01-20,281.75,38.62,,,,7059705.0,2019885161.0,False,INE109A01011,SCI.NS,37.97,286.2,207.44,,,0.65,False
SSWL,Steel Strips Wheels Limited,NSE,190.38,2026-01-20,266.21,39.83,,,,526757.0,121628638.0,False,INE802C01033,SSWL.NS,37.91,262.56,190.38,,,1.92,False
SONAMLTD,SONAM LIMITED,NSE,40.59,2026-01-20,56.13,38.29,,,,60973.0,3086003.0,False,INE00LM01029,SONAMLTD.NS,37.88,56.13,40.71,,,0.41,False
ZYDUSWELL,Zydus Wellness Limited,NSE,416.7,2026-01-20,586.45,40.74,,,,1399332.0,665842197.0,False,INE768C01028,ZYDUSWELL.NS,37.86,586.45,425.4,,,2.88,False
CUMMINSIND,Cummins India Limited,NSE,4020.9,2026-01-20,5448.0,35.49,,,,607075.0,2947297675.0,False,INE298A01020,CUMMINSIND.NS,37.66,5549.5,4031.3,,,2.17,False
