symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,robust_return_pct,robust_now,robust_past,live_today_2ndsrc,price_mismatch_pct,return_delta_raw_vs_robust,robust_below_25
SURYODAY,Suryoday Small Finance Bank Limited,NSE,135.88,2026-01-20,179.79,32.32,,,,412268.0,64694476.0,False,INE428Q01011,SURYODAY.NS,34.17,187.27,139.58,,,1.85,False
NYKAA,FSN E-Commerce Ventures Limited,NSE,242.35,2026-01-20,323.05,33.3,,,,6268951.0,1700833899.0,False,INE388Y01029,NYKAA.NS,34.04,324.85,242.35,,,0.74,False
540401,Maximus International Ltd,BSE,10.03,2026-01-20,13.61,35.69,,,,67448.0,684757.0,False,INE544W01021,540401.BO,34.03,13.43,10.02,13.61,0.0,1.66,False
ALIVUS,Alivus Life Sciences Limited,NSE,868.35,2026-01-20,1133.3,30.51,,,,94765.0,95068803.0,False,INE03Q201024,ALIVUS.NS,33.99,1161.2,866.6,,,3.48,False
PRADPME,Pradeep Metals Limited,NSE,370.6,2026-04-20,546.7,47.52,,,,27045.0,12954069.0,False,INE770A01010,PRADPME.NS,33.98,503.95,376.15,,,13.54,False
SINDHUTRAD,Sindhu Trade Links Limited,NSE,18.35,2026-01-20,24.75,34.88,,,,2145396.0,52035848.0,False,INE325D01025,SINDHUTRAD.NS,33.92,25.07,18.72,,,0.96,False
SUTLEJTEX,Sutlej Textiles and Industries Limited,NSE,28.71,2026-01-20,39.25,36.71,,,,58208.0,1949822.0,False,INE645H01027,SUTLEJTEX.NS,33.73,37.86,28.31,,,2.98,False
SJS,S.J.S. Enterprises Limited,NSE,1578.8,2026-01-20,2175.3,37.78,,,,116373.0,211748256.0,False,INE284S01014,SJS.NS,33.71,2159.2,1614.8,,,4.07,False
SUBEXLTD,Subex Limited,NSE,9.99,2026-01-20,13.27,32.83,,,,1986032.0,20136865.0,False,INE754A01055,SUBEXLTD.NS,33.63,13.35,9.99,,,0.8,False
OLECTRA,Olectra Greentech Limited,NSE,1034.6,2026-01-20,1346.7,30.17,,,,839697.0,1014894632.0,False,INE260D01016,OLECTRA.NS,33.46,1380.8,1034.6,,,3.29,False
PPL,Prakash Pipes Limited,NSE,199.77,2026-01-20,255.9,28.1,,,,142461.0,35371976.0,False,INE050001010,PPL.NS,33.45,266.6,199.77,,,5.35,False
FUSION,Fusion Finance Limited,NSE,163.83,2026-01-20,225.89,37.88,,,,582805.0,110757502.0,False,INE139R01012,FUSION.NS,33.29,228.12,171.14,,,4.59,False
MAHLOG,Mahindra Logistics Limited,NSE,279.55,2026-01-20,387.35,38.56,,,,288744.0,106908819.0,False,INE766P01016,MAHLOG.NS,33.29,388.4,291.4,,,5.27,False
MGEL,Mangalam Global Enterprise Limited,NSE,12.33,2026-01-20,16.5,33.82,,,,507521.0,6785282.0,False,INE0APB01032,MGEL.NS,33.28,16.5,12.38,,,0.54,False
SHAILY,Shaily Engineering Plastics Limited,NSE,2035.6,2026-01-20,2760.6,35.62,,,,342538.0,818240174.0,False,INE151G01028,SHAILY.NS,33.27,2712.8,2035.6,,,2.35,False
GODREJIND,Godrej Industries Limited,NSE,1004.8,2026-01-20,1334.7,32.83,,,,274569.0,294550675.0,False,INE233A01035,GODREJIND.NS,33.25,1339.3,1005.1,,,0.42,False
SOMANYCERA,Somany Ceramics Limited,NSE,397.45,2026-01-20,522.55,31.48,,,,105972.0,49960651.0,False,INE355A01028,SOMANYCERA.NS,33.04,528.75,397.45,,,1.56,False
MOSCHIP,Moschip Technologies Limited,NSE,181.03,2026-01-20,240.1,32.63,,,,2572328.0,539929989.0,False,INE935B01025,MOSCHIP.NS,33.03,240.83,181.03,,,0.4,False
GOKULAGRO,Gokul Agro Resources Limited,NSE,157.79,2026-01-20,211.74,34.19,,,,1216113.0,245079419.0,False,INE314T01033,GOKULAGRO.NS,32.82,213.98,161.1,,,1.37,False
TAALTECH,Taal Tech Limited,NSE,2986.0,2026-04-20,3933.0,31.71,,,,2537.0,9277082.0,False,INE524T01011,TAALTECH.NS,32.74,3982.6,3000.4,,,1.03,False
VISAKAIND,Visaka Industries Limited,NSE,62.1,2026-01-20,80.95,30.35,,,,111756.0,7875057.0,False,INE392A01021,VISAKAIND.NS,32.61,83.57,63.02,,,2.26,False
MWL,Mangalam Worldwide Limited,NSE,27.19,2026-01-20,37.15,36.63,,,,873094.0,26636326.0,False,INE0JYY01029,MWL.NS,32.58,36.85,27.8,,,4.05,False
CARBORUNIV,Carborundum Universal Limited,NSE,779.65,2026-01-20,1059.8,35.93,,,,233457.0,228307539.0,False,INE120A01034,CARBORUNIV.NS,32.55,1073.0,809.5,,,3.38,False
544001,Sunita Tools Ltd,BSE,654.45,2026-01-20,867.45,32.55,,,,15390.0,12680645.0,False,INE0Q1S01010,544001.BO,32.55,867.45,654.45,867.45,0.0,0.0,False
526775,Valiant Communications Ltd-$,BSE,742.45,2026-01-20,973.5,31.12,,,,15174.0,15021996.0,False,INE760B01019,526775.BO,32.54,1033.8,780.0,973.5,0.0,1.42,False
MCLEODRUSS,Mcleod Russel India Limited,NSE,41.99,2026-01-20,55.64,32.51,,,,445493.0,21904245.0,False,INE942G01012,MCLEODRUSS.NS,32.51,55.64,41.99,,,0.0,False
544141,Pune E - Stock Broking Ltd,BSE,199.75,2026-01-20,270.0,35.17,,,,23989.0,5802577.0,False,INE510U01018,544141.BO,32.32,262.0,198.0,270.0,0.0,2.85,False
AVL,Aditya Vision Limited,NSE,476.3,2026-01-20,634.3,33.17,,,,208274.0,112341178.0,False,INE679V01027,AVL.NS,32.23,634.55,479.9,,,0.94,False
PREMIERPOL,Premier Polyfilm Limited,NSE,50.83,2026-01-20,73.75,45.09,,,,237944.0,13950086.0,False,INE309M01020,PREMIERPOL.NS,32.21,67.2,50.83,,,12.88,False
539469,Panorama Studios International Ltd,BSE,38.51,2026-01-20,50.9,32.17,,,,173939.0,7888047.0,False,INE258R01028,539469.BO,32.17,50.9,38.51,50.9,0.0,0.0,False
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,212.02,2026-01-20,270.5,27.58,,,,193211.0,46109634.0,False,INE414D01027,BHAGCHEM.NS,32.11,280.1,212.02,,,4.53,False
CNL,Creative Newtech Limited,NSE,690.5,2026-01-20,916.55,32.74,,,,57444.0,47247057.0,False,INE985W01018,CNL.NS,32.1,916.55,693.85,,,0.64,False
LANDMARK,Landmark Cars Limited,NSE,378.65,2026-01-20,526.25,38.98,,,,442495.0,212028377.0,False,INE559R01029,LANDMARK.NS,31.97,499.7,378.65,,,7.01,False
WSTCSTPAPR,West Coast Paper Mills Limited,NSE,395.5,2026-01-20,520.4,31.58,,,,108498.0,52294640.0,False,INE976A01021,WSTCSTPAPR.NS,31.96,528.5,400.5,,,0.38,False
JYOTISTRUC,Jyoti Structures Limited,NSE,8.19,2026-01-20,11.17,36.39,,,,10262976.0,116672501.0,False,INE197A01024,JYOTISTRUC.NS,31.9,11.33,8.59,,,4.49,False
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,268.8,2026-01-20,367.4,36.68,,,,497356.0,187094758.0,False,INE495A01022,DALMIASUG.NS,31.88,364.0,276.0,,,4.8,False
ARMANFIN,Arman Financial Services Limited,NSE,1479.5,2026-01-20,1958.2,32.36,,,,46352.0,75614277.0,False,INE109C01017,ARMANFIN.NS,31.81,1961.8,1488.4,,,0.55,False
IVALUE,Ivalue Infosolutions Limited,NSE,234.3,2026-01-20,300.1,28.08,,,,282924.0,74681166.0,False,INE056801025,IVALUE.NS,31.68,308.85,234.55,,,3.6,False
SIS,SIS LIMITED,NSE,321.3,2026-01-20,433.6,34.95,,,,194278.0,75672301.0,False,INE285J01028,SIS.NS,31.68,434.6,330.05,,,3.27,False
MANGLMCEM,Mangalam Cement Limited,NSE,738.4,2026-01-20,986.6,33.61,,,,85147.0,72045815.0,False,INE347A01017,MANGLMCEM.NS,31.56,984.55,748.35,,,2.05,False
POLYCAB,Polycab India Limited,NSE,7074.5,2026-01-20,8862.0,25.27,,,,421705.0,3422966246.0,False,INE455K01017,POLYCAB.NS,31.55,9306.5,7074.5,,,6.28,False
KIMS,Krishna Institute of Medical Sciences Limited,NSE,617.0,2026-01-20,802.95,30.14,,,,484664.0,344952896.0,False,INE967H01025,KIMS.NS,31.4,802.95,611.05,,,1.26,False
GOLDTECH,AION-TECH SOLUTIONS LIMITED,NSE,44.42,2026-01-20,56.37,26.9,,,,74934.0,3683531.0,False,INE805A01014,GOLDTECH.NS,31.39,59.56,45.33,,,4.49,False
ATGL,Adani Total Gas Limited,NSE,532.3,2026-01-20,706.6,32.74,,,,4299855.0,2793916041.0,False,INE399L01023,ATGL.NS,31.34,715.4,544.7,,,1.4,False
AVG,AVG Logistics Limited,NSE,157.06,2026-01-20,201.59,28.35,,,,64415.0,11029649.0,False,INE680Z01018,AVG.NS,31.14,205.97,157.06,,,2.79,False
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,NSE,172.17,2026-01-20,224.08,30.15,,,,200430.0,42324887.0,False,INE048B01035,JAGSNPHARM.NS,31.11,225.73,172.17,,,0.96,False
ADOR,Ador Welding Limited,NSE,999.9,2026-01-20,1384.1,38.42,,,,26990.0,29356450.0,False,INE045A01017,ADOR.NS,31.11,1352.8,1031.8,,,7.31,False
OMAXE,Omaxe Limited,NSE,70.42,2026-01-20,93.5,32.77,,,,1101731.0,91539781.0,False,INE800H01010,OMAXE.NS,31.06,96.29,73.47,,,1.71,False
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,1145.6,2026-01-20,1594.0,39.14,,,,438580.0,534849973.0,False,INE501A01019,DEEPAKFERT.NS,31.01,1548.8,1182.2,,,8.13,False
KIRLOSIND,Kirloskar Industries Limited,NSE,2904.3,2026-01-20,3824.8,31.69,,,,16119.0,59526140.0,False,INE250A01039,KIRLOSIND.NS,30.94,3939.4,3008.6,,,0.75,False
LINCOLN,Lincoln Pharmaceuticals Limited,NSE,461.05,2026-01-20,597.0,29.49,,,,88916.0,56608121.0,False,INE405C01035,LINCOLN.NS,30.92,603.6,461.05,,,1.43,False
AUTOIND,Autoline Industries Limited,NSE,70.94,2026-01-20,92.31,30.12,,,,179714.0,13854802.0,False,INE718H01014,AUTOIND.NS,30.86,95.04,72.63,,,0.74,False
SEAMECLTD,Seamec Limited,NSE,1092.0,2026-01-20,1380.4,26.41,,,,82252.0,113307096.0,False,INE497B01018,SEAMECLTD.NS,30.69,1426.9,1091.8,,,4.28,False
GRINDWELL,Grindwell Norton Limited,NSE,1531.2,2026-01-20,2086.7,36.28,,,,71997.0,129144344.0,False,INE536A01023,GRINDWELL.NS,30.58,2045.9,1566.8,,,5.7,False
ZYDUSLIFE,Zydus Lifesciences Limited,NSE,873.4,2026-01-20,1143.7,30.95,,,,1029586.0,1030465842.0,False,INE010B01027,ZYDUSLIFE.NS,30.52,1143.7,876.25,,,0.43,False
PASUPTAC,Pasupati Acrylon Limited,NSE,44.06,2026-01-20,58.55,32.89,,,,243868.0,14664818.0,False,INE818B01023,PASUPTAC.NS,30.52,59.75,45.78,,,2.37,False
INDIAGLYCO,India Glycols Limited,NSE,872.0,2026-01-20,1159.3,32.95,,,,129118.0,128451424.0,False,INE560A01023,INDIAGLYCO.NS,30.43,1137.35,872.0,,,2.52,False
RPSGVENT,RPSG VENTURES LIMITED,NSE,682.9,2026-01-20,895.3,31.1,,,,538810.0,505436219.0,False,INE425Y01011,RPSGVENT.NS,30.41,895.3,686.55,,,0.69,False
SHANKARA,Shankara Building Products Limited,NSE,104.02,2026-01-20,139.65,34.25,,,,167607.0,19899127.0,False,INE274V01019,SHANKARA.NS,30.32,137.03,105.15,,,3.93,False
MCLOUD,Magellanic Cloud Limited,NSE,22.27,2026-01-20,28.37,27.39,,,,6457823.0,179227111.0,False,INE613C01026,MCLOUD.NS,30.26,29.06,22.31,,,2.87,False
KSB,Ksb Limited,NSE,704.3,2026-01-20,903.6,28.3,,,,311051.0,255662367.0,False,INE999A01023,KSB.NS,30.25,917.75,704.6,,,1.95,False
BEPL,Bhansali Engineering Polymers Limited,NSE,83.01,2026-01-20,113.1,36.25,,,,539634.0,51657015.0,False,INE922A01025,BEPL.NS,30.23,108.1,83.01,,,6.02,False
BLUEJET,Blue Jet Healthcare Limited,NSE,459.75,2026-01-20,584.55,27.15,,,,676649.0,311816613.0,False,INE0KBH01020,BLUEJET.NS,30.19,598.55,459.75,,,3.04,False
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE,1367.6,2026-01-20,1837.4,34.35,,,,2480060.0,3923918326.0,False,INE742F01042,ADANIPORTS.NS,30.18,1826.4,1403.0,,,4.17,False
ROLEXRINGS,Rolex Rings Limited,NSE,118.0,2026-01-20,157.89,33.81,,,,2994613.0,435729829.0,False,INE645S01024,ROLEXRINGS.NS,29.99,155.3,119.47,,,3.82,False
MMFL,MM Forgings Limited,NSE,401.0,2026-01-20,527.6,31.57,,,,196290.0,81151091.0,False,INE227C01017,MMFL.NS,29.8,520.5,401.0,,,1.77,False
GUJALKALI,Gujarat Alkalies and Chemicals Limited,NSE,458.3,2026-01-20,586.2,27.91,,,,1944383.0,1146043161.0,False,INE186A01019,GUJALKALI.NS,29.71,594.45,458.3,,,1.8,False
AYE,Aye Finance Limited,NSE,128.91,2026-02-16,168.12,30.42,,,,1754694.0,244363679.0,False,INE501X01029,AYE.NS,29.64,168.12,129.68,,,0.78,False
TRITURBINE,Triveni Turbine Limited,NSE,470.9,2026-01-20,615.25,30.65,,,,1627343.0,983473545.0,False,INE152M01016,TRITURBINE.NS,29.5,616.7,476.2,,,1.15,False
EIEL,Enviro Infra Engineers Limited,NSE,173.84,2026-01-20,220.23,26.69,,,,3212833.0,641278322.0,False,INE0LLY01014,EIEL.NS,29.36,227.5,175.86,,,2.67,False
AMBER,Amber Enterprises India Limited,NSE,6033.0,2026-01-20,7804.5,29.36,,,,355077.0,2570390276.0,False,INE371P01015,AMBER.NS,29.36,7804.5,6033.0,,,0.0,False
MMWL,Media Matrix Worldwide Limited,NSE,10.35,2026-04-22,14.13,36.52,,,,111287.0,1589513.0,False,INE200D01020,MMWL.NS,29.32,13.32,10.3,,,7.2,False
STEL,Stel Holdings Limited,NSE,398.75,2026-01-20,555.5,39.31,,,,13587.0,7013451.0,False,INE577L01016,STEL.NS,29.27,555.85,430.0,,,10.04,False
DEEPINDS,Deep Industries Limited,NSE,360.2,2026-01-20,476.0,32.15,,,,352400.0,153453357.0,False,INE0FHS01024,DEEPINDS.NS,29.26,465.6,360.2,,,2.89,False
DSSL,Dynacons Systems & Solutions Limited,NSE,968.3,2026-01-20,1214.8,25.46,,,,178830.0,207556151.0,False,INE417B01040,DSSL.NS,29.2,1251.0,968.3,,,3.74,False
GROWW,Billionbrains Garage Ventures Limited,NSE,156.98,2026-01-20,208.3,32.69,,,,44216730.0,8066304006.0,False,INE0HOQ01053,GROWW.NS,29.09,208.18,161.27,,,3.6,False
MOTHERSON,Samvardhana Motherson International Limited,NSE,107.89,2026-01-20,144.17,33.63,,,,19934681.0,2561006029.0,False,INE775A01035,MOTHERSON.NS,29.03,143.65,111.33,,,4.6,False
TFCILTD,Tourism Finance Corporation of India Limited,NSE,64.93,2026-01-20,85.03,30.96,,,,8047501.0,560213640.0,False,INE305A01023,TFCILTD.NS,29.0,83.76,64.93,,,1.96,False
SILVERTUC,Silver Touch Technologies Limited,NSE,152.21,2026-01-20,197.72,29.9,,,,818340.0,150042975.0,False,INE625X01026,SILVERTUC.NS,28.74,195.96,152.21,,,1.16,False
SPANDANA,Spandana Sphoorty Financial Limited,NSE,230.4,2026-01-20,296.9,28.86,,,,323815.0,83212383.0,False,INE572J01011,SPANDANA.NS,28.68,303.05,235.5,,,0.18,False
CCL,CCL Products (India) Limited,NSE,950.6,2026-01-20,1191.4,25.33,,,,332130.0,359672331.0,False,INE421D01022,CCL.NS,28.66,1223.0,950.6,,,3.33,False
PLASTIBLEN,Plastiblends India Limited,NSE,152.18,2026-01-20,198.57,30.48,,,,40619.0,7390680.0,False,INE083C01022,PLASTIBLEN.NS,28.66,198.57,154.34,,,1.82,False
COMSYN,Commercial Syn Bags Limited,NSE,148.29,2026-01-20,189.27,27.64,,,,177322.0,31507904.0,False,INE073V01015,COMSYN.NS,28.65,191.29,148.69,,,1.01,False
NACLIND,NACL Industries Limited,NSE,168.58,2026-01-20,213.45,26.62,,,,840156.0,159793752.0,False,INE295D01020,NACLIND.NS,28.62,216.83,168.58,,,2.0,False
SHYAMMETL,Shyam Metalics and Energy Limited,NSE,801.0,2026-01-20,1022.5,27.65,,,,395219.0,356500649.0,False,INE810G01011,SHYAMMETL.NS,28.62,1033.75,803.75,,,0.97,False
BHAGERIA,Bhageria Industries Limited,NSE,161.07,2026-01-20,203.49,26.34,,,,80921.0,15103504.0,False,INE354C01027,BHAGERIA.NS,28.6,207.13,161.07,,,2.26,False
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE,6912.5,2026-01-20,8826.0,27.68,,,,399698.0,3077576806.0,False,INE437A01024,APOLLOHOSP.NS,28.58,8888.0,6912.5,,,0.9,False
WELENT,Welspun Enterprises Limited,NSE,486.45,2026-01-20,626.3,28.75,,,,230523.0,121683906.0,False,INE625G01013,WELENT.NS,28.53,625.25,486.45,,,0.22,False
RPGLIFE,RPG Life Sciences Limited,NSE,2228.0,2026-01-20,2859.8,28.36,,,,26720.0,61623745.0,False,INE105J01010,RPGLIFE.NS,28.36,2859.8,2228.0,,,0.0,False
NAVINFLUOR,Navin Fluorine International Limited,NSE,5938.5,2026-01-20,7579.0,27.62,,,,194069.0,1267691262.0,False,INE048G01026,NAVINFLUOR.NS,28.28,7618.0,5938.5,,,0.66,False
GSPCROP,GSP Crop Science Limited,NSE,356.25,2026-03-24,492.2,38.16,,,,401164.0,160609208.0,False,INE713R01022,GSPCROP.NS,28.27,456.95,356.25,,,9.89,False
NARMADA,Narmada Agrobase Limited,NSE,27.63,2026-01-20,39.18,41.8,,,,576630.0,21318212.0,False,INE117Z01011,NARMADA.NS,28.23,35.43,27.63,,,13.57,False
DWARKESH,Dwarikesh Sugar Industries Limited,NSE,33.49,2026-01-20,44.08,31.62,,,,1682802.0,74918038.0,False,INE366A01041,DWARKESH.NS,28.19,43.84,34.2,,,3.43,False
ASHIANA,Ashiana Housing Limited,NSE,292.4,2026-01-20,374.8,28.18,,,,138181.0,46742286.0,False,INE365D01021,ASHIANA.NS,28.18,377.35,294.4,,,0.0,False
BCLIND,Bcl Industries Limited,NSE,28.46,2026-01-20,36.47,28.14,,,,1393251.0,48531494.0,False,INE412G01024,BCLIND.NS,28.14,36.47,28.46,,,0.0,False
JSWINFRA,JSW Infrastructure Limited,NSE,267.9,2026-01-20,342.15,27.72,,,,2332328.0,680114482.0,False,INE880J01026,JSWINFRA.NS,28.1,342.15,267.1,,,0.38,False
BODALCHEM,Bodal Chemicals Limited,NSE,47.72,2026-01-20,64.16,34.45,,,,288233.0,17848713.0,False,INE338D01028,BODALCHEM.NS,28.06,61.11,47.72,,,6.39,False
CORDSCABLE,Cords Cable Industries Limited,NSE,156.6,2026-01-20,203.05,29.66,,,,51570.0,10446506.0,False,INE792I01017,CORDSCABLE.NS,27.89,202.92,158.67,,,1.77,False
MANAKSTEEL,Manaksia Steels Limited,NSE,58.21,2026-01-20,76.58,31.56,,,,62294.0,4373535.0,False,INE824Q01011,MANAKSTEEL.NS,27.84,77.23,60.41,,,3.72,False
DELHIVERY,Delhivery Limited,NSE,384.85,2026-01-20,492.15,27.88,,,,2945071.0,1343698696.0,False,INE148O01028,DELHIVERY.NS,27.83,498.35,389.85,,,0.05,False
DIXON,Dixon Technologies (India) Limited,NSE,10682.0,2026-01-20,14329.0,34.14,,,,678894.0,7824828430.0,False,INE935N01020,DIXON.NS,27.79,13651.0,10682.0,,,6.35,False
STLNETWORK,STL Networks Limited,NSE,19.47,2026-01-20,24.46,25.63,,,,2523212.0,63776325.0,False,INE1VXE01018,STLNETWORK.NS,27.58,24.84,19.47,,,1.95,False
SAATVIKGL,Saatvik Green Energy Limited,NSE,365.65,2026-01-20,466.4,27.55,,,,204637.0,86114124.0,False,INE13B501022,SAATVIKGL.NS,27.55,466.4,365.65,,,0.0,False
ENGINERSIN,Engineers India Limited,NSE,180.61,2026-01-20,227.66,26.05,,,,6013538.0,1319599396.0,False,INE510A01028,ENGINERSIN.NS,27.53,230.34,180.61,,,1.48,False
SWANDEF,Swan Defence and Heavy Industries Limited,NSE,1748.5,2026-01-20,2229.6,27.52,,,,15521.0,29780005.0,False,INE542F01020,SWANDEF.NS,27.52,2229.6,1748.5,,,0.0,False
AJANTPHARM,Ajanta Pharma Limited,NSE,2684.2,2026-01-20,3419.4,27.39,,,,125633.0,372897568.0,False,INE031B01049,AJANTPHARM.NS,27.4,3421.4,2685.6,,,0.01,False
KIRLOSBROS,Kirloskar Brothers Limited,NSE,1475.2,2026-01-20,1868.2,26.64,,,,145223.0,255263813.0,False,INE732A01036,KIRLOSBROS.NS,27.36,1925.5,1511.9,,,0.72,False
GARFIBRES,Garware Technical Fibres Limited,NSE,599.25,2026-01-20,765.5,27.74,,,,114477.0,81007996.0,False,INE276A01018,GARFIBRES.NS,27.27,765.5,601.5,,,0.47,False
POLYPLEX,Polyplex Corporation Limited,NSE,828.15,2026-01-20,1077.55,30.12,,,,110528.0,99753905.0,False,INE633B01018,POLYPLEX.NS,27.23,1069.5,840.6,,,2.89,False
WEBELSOLAR,Websol Energy System Limited,NSE,78.09,2026-01-20,104.29,33.55,,,,6576862.0,581045847.0,False,INE855C01023,WEBELSOLAR.NS,27.2,99.33,78.09,,,6.35,False
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,587.6,2026-01-20,775.95,32.05,,,,112165.0,76272991.0,False,INE295F01017,BUTTERFLY.NS,27.18,771.45,606.6,,,4.87,False
NEPHROPLUS,Nephrocare Health Services Limited,NSE,494.75,2026-01-20,635.7,28.49,,,,348558.0,186516937.0,False,INE428V01029,NEPHROPLUS.NS,27.06,636.45,500.9,,,1.43,False
TANLA,Tanla Platforms Limited,NSE,441.25,2026-01-20,584.55,32.48,,,,823026.0,422012729.0,False,INE483C01032,TANLA.NS,27.05,569.55,448.3,,,5.43,False
538668,Meghna Infracon Infrastructure Ltd,BSE,564.5,2026-01-20,741.05,31.28,,,,57702.0,39219153.0,False,INE898Q01015,538668.BO,27.02,739.75,582.4,741.05,0.0,4.26,False
RATNAMANI,Ratnamani Metals & Tubes Limited,NSE,2052.4,2026-01-20,2582.8,25.84,,,,53845.0,131951665.0,False,INE703B01027,RATNAMANI.NS,26.86,2603.6,2052.4,,,1.02,False
SMSPHARMA,SMS Pharmaceuticals Limited,NSE,309.65,2026-01-20,387.75,25.22,,,,407386.0,152373464.0,False,INE812G01025,SMSPHARMA.NS,26.74,392.45,309.65,,,1.52,False
JSFB,Jana Small Finance Bank Limited,NSE,377.5,2026-01-20,493.0,30.6,,,,569785.0,249739036.0,False,INE953L01027,JSFB.NS,26.57,489.95,387.1,,,4.03,False
AURUM,Aurum PropTech Limited,NSE,187.76,2026-01-20,239.28,27.44,,,,153035.0,31037744.0,False,INE898S01029,AURUM.NS,26.53,239.64,189.39,,,0.91,False
FLUOROCHEM,Gujarat Fluorochemicals Limited,NSE,3259.8,2026-01-20,4144.9,27.15,,,,95012.0,339964521.0,False,INE09N301011,FLUOROCHEM.NS,26.51,4124.1,3259.8,,,0.64,False
SUMICHEM,Sumitomo Chemical India Limited,NSE,422.6,2026-01-20,538.55,27.44,,,,546199.0,256408542.0,False,INE258G01013,SUMICHEM.NS,26.45,538.55,425.9,,,0.99,False
IPCALAB,IPCA Laboratories Limited,NSE,1479.7,2026-01-20,1900.6,28.44,,,,242793.0,378038368.0,False,INE571A01038,IPCALAB.NS,26.41,1878.0,1485.6,,,2.03,False
ASAL,Automotive Stampings and Assemblies Limited,NSE,410.9,2026-01-20,522.3,27.11,,,,28966.0,14388886.0,False,INE900C01027,ASAL.NS,26.4,523.3,414.0,,,0.71,False
GLOTTIS,Glottis Limited,NSE,53.05,2026-01-20,67.2,26.67,,,,282575.0,16758936.0,False,INE0TQE01026,GLOTTIS.NS,26.35,67.03,53.05,,,0.32,False
NIITLTD,NIIT Limited,NSE,77.05,2026-01-20,97.17,26.11,,,,1493604.0,134656067.0,False,INE161A01038,NIITLTD.NS,26.26,97.28,77.05,,,0.15,False
SOUTHWEST,South West Pinnacle Exploration Limited,NSE,177.49,2026-01-20,226.74,27.75,,,,287598.0,66974784.0,False,INE980Y01015,SOUTHWEST.NS,26.22,224.03,177.49,,,1.53,False
FINEORG,Fine Organic Industries Limited,NSE,4009.5,2026-01-20,5056.0,26.1,,,,15111.0,69468578.0,False,INE686Y01026,FINEORG.NS,26.1,5056.0,4009.5,,,0.0,False
IFCI,IFCI Limited,NSE,57.62,2026-01-20,72.17,25.25,,,,40446596.0,2830634471.0,False,INE039A01010,IFCI.NS,26.09,74.14,58.8,,,0.84,False
EXIDEIND,Exide Industries Limited,NSE,330.5,2026-01-20,435.2,31.68,,,,2625534.0,963296967.0,False,INE302A01020,EXIDEIND.NS,26.04,421.3,334.25,,,5.64,False
AVANTIFEED,Avanti Feeds Limited,NSE,784.85,2026-01-20,1024.85,30.58,,,,1070078.0,1257544262.0,False,INE871C01038,AVANTIFEED.NS,26.04,989.2,784.85,,,4.54,False
CENTENKA,Century Enka Limited,NSE,423.2,2026-01-20,541.4,27.93,,,,49695.0,25116889.0,False,INE485A01015,CENTENKA.NS,26.01,541.4,429.65,,,1.92,False
VETO,Veto Switchgears And Cables Limited,NSE,102.5,2026-01-20,130.41,27.23,,,,63329.0,7838179.0,False,INE918N01018,VETO.NS,25.97,129.12,102.5,,,1.26,False
WINDMACHIN,Windsor Machines Limited,NSE,236.05,2026-01-20,299.5,26.88,,,,96599.0,27671038.0,False,INE052A01021,WINDMACHIN.NS,25.89,309.75,246.05,,,0.99,False
DATAMATICS,Datamatics Global Services Limited,NSE,669.35,2026-01-20,846.0,26.39,,,,175867.0,140836233.0,False,INE365B01017,DATAMATICS.NS,25.76,853.5,678.7,,,0.63,False
TIIL,Technocraft Industries (India) Limited,NSE,1907.0,2026-01-20,2538.3,33.1,,,,14030.0,33011576.0,False,INE545H01011,TIIL.NS,25.61,2467.0,1964.0,,,7.49,False
UYFINCORP,U. Y. Fincorp Limited,NSE,13.24,2026-01-20,16.75,26.51,,,,114305.0,1681511.0,False,INE152C01025,UYFINCORP.NS,25.6,16.63,13.24,,,0.91,False
DHAMPURSUG,Dhampur Sugar Mills Limited,NSE,113.59,2026-01-20,142.44,25.4,,,,447178.0,61874675.0,False,INE041A01016,DHAMPURSUG.NS,25.58,143.51,114.28,,,0.18,False
ONIDA,Onida Electronics Limited,NSE,31.01,2026-01-20,39.19,26.38,,,,1581202.0,56842353.0,False,INE831A01028,ONIDA.NS,25.53,39.19,31.22,,,0.85,False
NOCIL,NOCIL Limited,NSE,128.9,2026-01-20,162.7,26.22,,,,2067665.0,341879834.0,False,INE163A01018,NOCIL.NS,25.53,166.67,132.77,,,0.69,False
RBLBANK,RBL Bank Limited,NSE,293.7,2026-01-20,368.1,25.33,,,,5592218.0,1833238413.0,False,INE976G01028,RBLBANK.NS,25.31,372.8,297.5,,,0.02,False
AERONEU,Aeroflex Neu Limited,NSE,70.58,2026-01-20,89.46,26.75,,,,53312.0,4407381.0,False,INE035801013,AERONEU.NS,25.16,88.34,70.58,,,1.59,False
