rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
1,INGERRAND,Ingersoll Rand (India) Limited,NSE,Industrials,,43.73,4571.2,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),34,22,20,9,85,TIER 1,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
2,SUTLEJTEX,Sutlej Textiles and Industries Limited,NSE,Consumer Cyclical,,38.64,39.25,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),5/8,33,25,12,8,78,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_room_to_run:3
3,UNIPARTS,Uniparts India Limited,NSE,Industrials,,59.96,676.0,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),25,22,20,9,76,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
4,KOPRAN,Kopran Limited,NSE,Healthcare,,49.21,203.63,BULLISH,Strong VCP,forming / still basing,Premium,bearish (LH/LL),7/8 (exhaustion),34,19,16,5,74,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
5,CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,Energy,,44.9,1200.6,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),8/8 (52w high),37,17,15,5,74,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;D_above_1x1:5
6,SBC,SBC Exports Limited,NSE,Industrials,,46.36,42.27,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),28,22,20,4,74,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_time_cycle:4
7,OCCLLTD,OCCL Limited,NSE,Basic Materials,,45.78,135.27,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),6/8 (75%),30,17,12,15,74,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
8,INNOVACAP,Innova Captab Limited,NSE,Healthcare,,47.48,962.7,MILD BULLISH,Strong VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),25,20,20,9,74,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
9,KIMS,Krishna Institute of Medical Sciences Limited,NSE,Healthcare,,31.4,802.95,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),27,17,20,9,73,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
10,ZYDUSLIFE,Zydus Lifesciences Limited,NSE,Healthcare,,30.52,1143.7,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),25,22,20,5,72,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
11,CPPLUS,Aditya Infotech Limited,NSE,Industrials,,160.67,3614.4,MILD BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),28,15,20,9,72,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
12,KMEW,Knowledge Marine & Engineering Works Limited,NSE,Industrials,,35.82,2404.9,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),26,17,20,9,72,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
13,ACUTAAS,Acutaas Chemicals Limited,NSE,Basic Materials,,120.1,3619.4,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),25,17,20,9,71,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
14,PANACEABIO,Panacea Biotec Limited,NSE,Healthcare,,43.32,548.85,BULLISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),28,20,12,11,71,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
15,GRINDWELL,Grindwell Norton Limited,NSE,Industrials,,33.18,2086.7,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),6/8 (75%),28,22,10,11,71,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
16,TMB,Tamilnad Mercantile Bank Limited,NSE,Financial Services,,43.64,797.35,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,20,20,9,71,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
17,GRWRHITECH,Garware Hi-Tech Films Limited,NSE,Basic Materials,,142.41,6970.5,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,20,20,9,71,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
18,540786,Sharika Enterprises Ltd,BSE,,,62.44,20.89,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),37,12,16,5,70,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
19,AJANTPHARM,Ajanta Pharma Limited,NSE,Healthcare,,27.32,3419.4,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),24,17,20,9,70,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
20,ORCHPHARMA,Orchid Pharma Limited,NSE,Healthcare,,47.69,1041.35,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),33,17,15,5,70,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;D_above_1x1:5
21,ARROWGREEN,Arrow Greentech Limited,NSE,Consumer Cyclical,,49.29,670.0,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),6/8 (75%),18,22,15,15,70,TIER 2,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
22,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,Consumer Defensive,,33.12,367.4,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),6/8 (75%),21,22,12,15,70,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
23,APOLLOPIPE,Apollo Pipes Limited,NSE,Industrials,,84.79,499.5,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,7/8 (exhaustion),29,19,12,9,69,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
24,BHARATFORG,Bharat Forge Limited,NSE,Consumer Cyclical,,54.79,2190.5,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),28,12,20,9,69,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
25,WSTCSTPAPR,West Coast Paper Mills Limited,NSE,Basic Materials,,29.94,520.4,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),24,25,5,15,69,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
26,VETO,Veto Switchgears And Cables Limited,NSE,Industrials,,27.23,130.41,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,6/8 (75%),24,22,12,11,69,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
27,VADILALIND,Vadilal Industries Limited,NSE,Consumer Defensive,,60.47,6716.0,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),20,22,18,9,69,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
28,CAPLIPOINT,Caplin Point Laboratories Limited,NSE,Healthcare,,46.65,2614.2,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,22,20,5,69,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
29,ABB,ABB India Limited,NSE,Industrials,,57.84,7506.0,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,7/8 (exhaustion),30,22,7,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
30,GARFIBRES,Garware Technical Fibres Limited,NSE,Consumer Cyclical,,27.27,765.5,BULLISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),4/8 (50%),30,15,12,11,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
31,ADANIENT,Adani Enterprises Limited,NSE,Energy,,51.49,3160.7,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),26,17,20,5,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
32,KRN,KRN Heat Exchanger and Refrigeration Limited,NSE,Technology,,94.86,1249.9,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,7/8 (exhaustion),30,17,12,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
33,CENTUM,Centum Electronics Limited,NSE,Technology,,64.9,3711.4,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,8/8 (52w high),28,15,20,5,68,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
34,PRIVISCL,Privi Speciality Chemicals Limited,NSE,Basic Materials,,39.1,3676.5,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,17,20,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
35,SAILIFE,Sai Life Sciences Limited,NSE,Healthcare,,53.99,1272.0,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),31,12,20,5,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
36,SAREGAMA,Saregama India Limited,NSE,Communication Services,,48.72,494.85,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,8/8 (52w high),25,14,20,9,68,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
37,GANESHBE,Ganesh Benzoplast Limited,NSE,Basic Materials,,39.68,104.41,BULLISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),30,17,10,11,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
38,GLAND,Gland Pharma Limited,NSE,Healthcare,,44.69,2449.0,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,17,20,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
39,532380,Baba Arts Ltd-$,BSE,,,116.96,15.99,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),23,20,16,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
40,ASTERDM,Aster DM Healthcare Limited,NSE,Healthcare,,43.09,819.9,BULLISH,Strong VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),26,17,20,5,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
41,SHILPAMED,Shilpa Medicare Limited,NSE,Healthcare,,122.15,620.25,BULLISH,Strong VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),22,17,20,9,68,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
42,BCLIND,Bcl Industries Limited,NSE,Consumer Defensive,,28.14,36.47,BULLISH,No VCP,forming / still basing,Premium,bearish (LH/LL),4/8 (50%),34,22,0,11,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
43,JGCHEM,J.G.Chemicals Limited,NSE,Basic Materials,,37.32,445.45,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),5/8,25,20,10,12,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
44,BHEL,Bharat Heavy Electricals Limited,NSE,Industrials,,67.23,422.0,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),34,17,7,9,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
45,RSWM,RSWM Limited,NSE,Consumer Cyclical,,59.47,212.68,BULLISH,Strong VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),8/8 (52w high),25,17,20,5,67,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
46,CARYSIL,CARYSIL LIMITED,NSE,Consumer Cyclical,,53.14,1170.4,BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),29,22,7,9,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
47,FLUOROCHEM,Gujarat Fluorochemicals Limited,NSE,Basic Materials,,27.15,4144.9,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),29,22,7,9,67,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
48,RATEGAIN,Rategain Travel Technologies Limited,NSE,Technology,,46.27,950.7,BULLISH,Strong VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),25,17,20,5,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
49,JSWINFRA,JSW Infrastructure Limited,NSE,Industrials,,28.1,342.15,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),30,22,10,5,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
50,SHYAMMETL,Shyam Metalics and Energy Limited,NSE,Basic Materials,,27.22,1022.5,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),8/8 (52w high),26,25,7,9,67,TIER 2,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
