rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
158,MANAKSTEEL,Manaksia Steels Limited,NSE,Basic Materials,,26.77,76.58,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),26,17,5,11,59,TIER 3,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
159,INDIAGLYCO,India Glycols Limited,NSE,Basic Materials,,32.95,1159.3,BULLISH,No VCP,BROKEN OUT (fresh),Premium,ranging,7/8 (exhaustion),21,22,7,9,59,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
160,NAVINFLUOR,Navin Fluorine International Limited,NSE,Basic Materials,,27.62,7579.0,MILD BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,8/8 (52w high),23,7,20,9,59,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
161,BETA,Beta Drugs Limited,NSE,Healthcare,,43.88,2229.1,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,20,8,5,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
162,NUVAMA,Nuvama Wealth Management Limited,NSE,Financial Services,,31.07,1863.1,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,12,16,5,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
163,PANACHE,Panache Digilife Limited,NSE,Technology,,56.78,431.0,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),25,12,12,9,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
164,RACLGEAR,RACL Geartech Limited,NSE,Consumer Cyclical,,35.6,1341.1,BULLISH,No VCP,AT PIVOT (actionable),Equilibrium,ranging,5/8,28,11,7,12,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_discount_or_demand:5;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
165,MENONBE,Menon Bearings Limited,NSE,Consumer Cyclical,,60.11,199.67,BULLISH,Strong VCP,extended past pivot,Premium,ranging,8/8 (52w high),21,12,16,9,58,TIER 3,A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
166,TVSSCS,TVS Supply Chain Solutions Limited,NSE,Industrials,,38.25,135.54,MILD BULLISH,Strong VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),20,20,13,5,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;D_above_1x1:5
167,MGEL,Mangalam Global Enterprise Limited,NSE,Consumer Defensive,,33.28,16.5,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),20,17,12,9,58,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
