symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker
MENONBE,Menon Bearings Limited,NSE,114.42,2026-01-05,158.77,38.76,889.64,Small,,124247.0,18336000.0,False,INE071D01033,MENONBE.NS
MWL,Mangalam Worldwide Limited,NSE,271.4,2026-01-05,376.0,38.54,1117.04,Small,,83199.0,24468866.0,False,INE0JYY01011,MWL.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,813.6,2026-01-05,1125.8,38.37,16757.74,Mid,,1830397.0,1821226725.0,False,INE178A01016,CHENNPETRO.NS
CGPOWER,CG Power and Industrial Solutions Limited,NSE,645.25,2026-01-05,892.55,38.33,140661.4,Large,,3680259.0,2767630460.0,False,INE067A01029,CGPOWER.NS
MAHABANK,Bank of Maharashtra,NSE,64.03,2026-01-05,88.53,38.26,68101.03,Large,,21438424.0,1508538704.0,False,INE457A01014,MAHABANK.NS
SINDHUTRAD,Sindhu Trade Links Limited,NSE,20.02,2026-01-05,27.66,38.16,4288.1,Small,,2123330.0,51358603.0,False,INE325D01025,SINDHUTRAD.NS
KDDL,KDDL Limited,NSE,2349.2,2026-01-05,3244.0,38.09,3991.05,Small,,29903.0,79259195.0,False,INE291D01011,KDDL.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,853.65,2026-01-05,1178.4,38.04,34076.85,Large,,440713.0,421589353.0,False,INE404A01024,ABSLAMC.NS
HESTERBIO,Hester Biosciences Limited,NSE,1592.6,2026-01-05,2198.4,38.04,1879.04,Small,,8059.0,14478550.0,False,INE782E01017,HESTERBIO.NS
REFEX,Refex Industries Limited,NSE,259.7,2026-01-05,358.4,38.01,4919.32,Small,,1848364.0,534493226.0,False,INE056I01025,REFEX.NS
ASHIANA,Ashiana Housing Limited,NSE,282.7,2026-01-05,389.9,37.92,3902.37,Small,,139454.0,46983420.0,False,INE365D01021,ASHIANA.NS
BHARATSE,Bharat Seats Limited,NSE,173.96,2026-01-05,239.73,37.81,1505.63,Small,,669799.0,141015201.0,False,INE415D01024,BHARATSE.NS
GRANULES,Granules India Limited,NSE,605.25,2026-01-05,833.8,37.76,20645.2,Large,,1136195.0,747566430.0,False,INE101D01020,GRANULES.NS
CAPLIPOINT,Caplin Point Laboratories Limited,NSE,1845.3,2026-01-05,2538.1,37.54,19271.63,Mid,,114663.0,228484216.0,False,INE475E01026,CAPLIPOINT.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,NSE,372.5,2026-01-05,511.9,37.42,1021.64,Small,,72624.0,30420270.0,False,INE349W01017,AVADHSUGAR.NS
SIGNPOST,Signpost India Limited,NSE,218.34,2026-01-05,299.7,37.26,1596.02,Small,,261112.0,73290410.0,False,INE0KGZ01021,SIGNPOST.NS
SONACOMS,Sona BLW Precision Forgings Limited,NSE,481.4,2026-01-05,660.1,37.12,41060.09,Large,,2028338.0,1098819192.0,False,INE073K01018,SONACOMS.NS
540252,Viram Suvarn Ltd,BSE,7.8,2026-01-05,10.7,37.11,121.4,Micro,,435630.0,4716694.0,False,INE607V01028,540252.BO
QUADFUTURE,Quadrant Future Tek Limited,NSE,343.0,2026-01-05,469.8,36.97,1880.4,Small,,1279824.0,429731113.0,False,INE0LRY01011,QUADFUTURE.NS
BLSE,BLS E-Services Limited,NSE,193.97,2026-01-05,265.11,36.68,2406.79,Small,,490179.0,96914355.0,False,INE0NLT01010,BLSE.NS
AGIIL,Agi Infra Limited,NSE,259.1,2026-01-05,354.05,36.65,4427.41,Small,,2012299.0,666554591.0,False,INE976R01033,AGIIL.NS
NAHARSPING,Nahar Spinning Mills Limited,NSE,194.61,2026-01-05,265.85,36.61,966.55,Small,,27915.0,5741371.0,False,INE290A01027,NAHARSPING.NS
AYE,Aye Finance Limited,NSE,128.91,2026-02-16,176.06,36.58,4344.64,Small,,1854761.0,255805536.0,False,INE501X01029,AYE.NS
QUESS,Quess Corp Limited,NSE,213.03,2026-01-05,290.85,36.53,4342.64,Small,,664696.0,149013997.0,False,INE615P01015,QUESS.NS
EMIL,Electronics Mart India Limited,NSE,103.1,2026-01-05,140.68,36.45,5409.57,Mid,,1201305.0,136212736.0,False,INE02YR01019,EMIL.NS
ONMOBILE,OnMobile Global Limited,NSE,58.68,2026-01-05,80.03,36.38,850.36,Small,,554721.0,33717834.0,False,INE809I01019,ONMOBILE.NS
BANDHANBNK,Bandhan Bank Limited,NSE,147.19,2026-01-05,200.6,36.29,32310.17,Large,,10272014.0,1801599339.0,False,INE545U01014,BANDHANBNK.NS
BLACKROSE,Black Rose Inds. Limited,NSE,83.25,2026-04-20,113.38,36.19,572.48,Small,,75811.0,8570079.0,False,INE761G01016,BLACKROSE.NS
NELCAST,Nelcast Limited,NSE,104.92,2026-01-05,142.78,36.08,1244.12,Small,,207761.0,27195146.0,False,INE189I01024,NELCAST.NS
QPOWER,Quality Power Electrical Equipments Limited,NSE,834.65,2026-01-05,1132.1,35.64,8719.04,Mid,,891485.0,829164468.0,False,INE0SII01026,QPOWER.NS
GOODLUCK,Goodluck India Limited,NSE,1100.3,2026-01-05,1490.2,35.44,4952.37,Small,,135732.0,171536642.0,False,INE127I01024,GOODLUCK.NS
NAM-INDIA,Nippon Life India Asset Management Limited,NSE,899.65,2026-01-05,1218.2,35.41,77811.9,Large,,959324.0,928631911.0,False,INE298J01013,NAM-INDIA.NS
NETWEB,Netweb Technologies India Limited,NSE,3274.6,2026-01-05,4427.4,35.2,25197.68,Large,,1719096.0,6525824191.0,False,INE0NT901020,NETWEB.NS
DSSL,Dynacons Systems & Solutions Limited,NSE,974.4,2026-01-05,1316.9,35.15,1678.11,Small,,178200.0,206197233.0,False,INE417B01040,DSSL.NS
