symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
540614,G G Engineering Ltd,BSE,540614.BO,INE694X01030,0.55,2025-12-05,0.48,-12.73,4378519.0,2260356.0,152.0,ok
540515,Kanungo Financiers Ltd,BSE,540515.BO,INE453S01015,13.65,2025-12-05,8.66,-36.56,4565.0,50652.0,153.0,ok
540519,Meera Industries Ltd,BSE,540519.BO,INE343X01026,64.9,2025-12-05,55.15,-15.02,30143.0,1868824.0,153.0,ok
540686,Smruthi Organics Ltd,BSE,540686.BO,INE172E01011,122.95,2025-12-05,121.7,-1.02,3545.0,421962.0,152.0,ok
540613,Gautam Exim Ltd,BSE,540613.BO,INE721X01023,149.68,2025-12-05,154.0,2.89,7558.0,1108543.0,154.0,ok
540669,UTI Nifty Next 50 ETF,BSE,540669.BO,INF789F1AUW9,,,,,,,,no_data
540652,Captain Technocast Ltd,BSE,540652.BO,INE931X01010,167.0,2025-12-05,230.0,37.72,866.0,155397.0,154.0,ok
540361,Danube Industries Ltd,BSE,540361.BO,INE575D01041,7.3,2025-12-05,5.46,-25.21,218420.0,1335698.0,152.0,ok
540269,Super Fine Knitters Ltd,BSE,540269.BO,INE459U01018,8.95,2025-12-05,6.85,-23.46,8000.0,72013.0,155.0,ok
540359,Parmax Pharma Ltd,BSE,540359.BO,INE240T01014,34.75,2025-12-05,39.0,12.23,1360.0,46215.0,152.0,ok
540332,Tanvi Foods (India) Ltd,BSE,540332.BO,INE978V01015,88.0,2025-12-05,68.6,-22.05,3424.0,281701.0,153.0,ok
540492,Starlineps Enterprises Ltd,BSE,540492.BO,INE594W01042,3.5,2025-12-05,10.72,206.29,1522324.0,9556235.0,152.0,ok
540612,ICICI Prudential Nifty 100 Low Volatility 30 ETF,BSE,540612.BO,INF109KC19U5,,,,,,,,no_data
540395,Chemcrux Enterprises Ltd,BSE,540395.BO,INE298W01016,113.4,2025-12-05,84.87,-25.16,9459.0,985833.0,152.0,ok
540360,Leading Leasing Finance And Investment Company Ltd,BSE,540360.BO,INE715Q01029,3.97,2025-12-05,1.42,-64.23,2753803.0,6908555.0,152.0,ok
540243,New Light Industries Ltd,BSE,540243.BO,INE835U01027,1.65,2025-12-05,1.42,-13.94,183789.0,275141.0,152.0,ok
540259,Shangar Decor Ltd,BSE,540259.BO,INE118R01032,0.3,2025-12-05,0.24,-20.0,2710699.0,750989.0,152.0,ok
540252,Viram Suvarn Ltd,BSE,540252.BO,INE607V01028,8.78,2025-12-05,11.88,35.31,397414.0,4281650.0,152.0,ok
540377,IFL Enterprises Ltd,BSE,540377.BO,INE714U01024,0.57,2025-12-05,0.39,-31.58,4583850.0,2390939.0,152.0,ok
540386,Ontic Finserve Ltd,BSE,540386.BO,INE989S01042,2.31,2025-12-05,1.2,-48.05,760015.0,1583321.0,152.0,ok
540651,Jigar Cables Ltd,BSE,540651.BO,INE943X01015,65.0,2025-12-05,67.0,3.08,1012.0,64270.0,154.0,ok
540402,Manas Properties Ltd,BSE,540402.BO,INE800W01019,388.5,2025-12-05,388.5,0.0,0.0,0.0,155.0,ok
540416,Octaware Technologies Ltd,BSE,540416.BO,INE208U01019,30.55,2025-12-05,63.6,108.18,1207.0,93753.0,155.0,ok
540404,Prime Fresh Ltd,BSE,540404.BO,INE442V01012,235.5,2025-12-05,223.45,-5.12,31702.0,8060033.0,152.0,ok
540401,Maximus International Ltd,BSE,540401.BO,INE544W01021,11.24,2025-12-05,10.48,-6.76,66934.0,666690.0,152.0,ok
540467,Parmeshwari Silk Mills Ltd,BSE,540467.BO,INE808R01012,74.31,2025-12-04,133.25,79.32,1.0,162.0,156.0,ok
540405,Oceanic Foods Ltd,BSE,540405.BO,INE711V01010,71.81,2025-12-05,53.59,-25.37,5702.0,380850.0,153.0,ok
540267,Flora Corporation Ltd,BSE,540267.BO,INE318U01016,8.78,2025-12-05,7.38,-15.95,3724.0,31362.0,153.0,ok
540693,Shish Industries Ltd,BSE,540693.BO,INE145Y01023,9.65,2025-12-05,12.45,29.02,1785547.0,25147612.0,152.0,ok
540481,Classic Leasing & Finance Ltd,BSE,540481.BO,INE949C01016,41.0,2025-12-05,48.85,19.15,183.0,8458.0,152.0,ok
