symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
ZENSARTECH,Zensar Technologies Limited,NSE,ZENSARTECH.NS,518.15,57.3,28.7,8.496,6.56,-40.37,254.46,5.1,6,True,111111000,No VCP,forming / still basing,bullish (HH/HL),Discount,30.1,True,True,True,True,False,none,26.44,558.0,510.41,423.0,8.53,581.87,606.24,697.5,2.93,210,5,11
STALLION,Stallion India Fluorochemicals Limited,NSE,STALLION.NS,214.76,65.1,22.7,2.356,2.01,-49.33,44.17,4.94,8,False,111111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,96.7,True,True,True,True,True,Bearish Pin Bar;Bullish Engulfing;NR4;Shooting Star,10.62,218.7,199.59,177.66,8.74,233.74,249.28,273.38,2.86,523,6,11
FILATEX,Filatex India Limited,NSE,FILATEX.NS,71.57,76.4,48.6,1.476,10.22,-5.58,19.8,5.3,7,False,010111111,No VCP,extended past pivot,bullish (HH/HL),Premium,89.3,True,True,True,True,False,Inside Bar,3.79,75.8,68.98,51.4,9.0,84.76,94.21,94.75,2.78,1466,4,11
ORCHPHARMA,Orchid Pharma Limited,NSE,ORCHPHARMA.NS,1041.35,59.5,46.7,1.391,3.56,-7.01,21.25,5.56,8,False,110111111,Moderate VCP,BROKEN OUT (fresh),ranging,Premium,87.7,False,True,True,True,True,Dark Cloud Cover,57.86,1119.8,1015.64,916.75,9.3,1153.51,1187.73,1399.75,2.69,96,6,11
MANCREDIT,Mangal Credit and Fincorp Limited,NSE,MANCREDIT.NS,233.39,55.1,28.7,-2.151,2.96,-11.93,8.13,6.12,8,False,101111111,No VCP,forming / still basing,bullish (HH/HL),Premium,71.4,False,True,True,True,False,Inside Bar;NR7;Outside Bar,14.27,265.0,239.31,204.8,9.69,281.53,298.56,331.25,2.58,389,3,11
IKIO,IKIO Technologies Limited,NSE,IKIO.NS,219.37,70.6,42.4,3.475,5.71,-13.26,39.63,6.54,8,False,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,88.1,True,True,True,True,True,Bearish Engulfing;Inside Bar;NR7;Outside Bar;Shooting Star,14.34,230.0,204.18,150.3,11.23,245.42,261.33,287.5,2.23,387,6,11
SBIN,State Bank of India,NSE,SBIN.NS,1044.3,56.7,10.1,-1.191,1.04,-15.42,1364.22,1.81,6,True,100011111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Discount,36.7,False,False,False,False,False,NR7;Three White Soldiers;Tweezer Bottom,18.94,1059.8,1025.71,1011.4,3.22,1092.6,1125.91,1324.75,7.77,293,4,10
ALKEM,Alkem Laboratories Limited,NSE,ALKEM.NS,5563.0,52.2,35.5,2.753,3.25,-6.24,87.67,2.17,7,True,010111111,No VCP,AT PIVOT (actionable),ranging,Premium,58.1,True,True,False,True,True,Bearish Engulfing;NR4;Three White Soldiers,120.75,5735.5,5518.14,5336.0,3.79,5811.48,5887.97,7169.38,6.6,46,6,10
FEDERALBNK,The Federal Bank  Limited,NSE,FEDERALBNK.NS,349.0,74.6,36.2,-0.054,3.41,-0.57,394.06,2.23,6,False,100111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,98.0,False,True,False,True,False,Outside Bar;Tweezer Bottom,7.79,349.0,334.97,318.2,4.02,367.93,387.36,436.25,6.22,712,4,10
SBFC,SBFC Finance Limited,NSE,SBFC.NS,94.09,58.2,22.1,0.325,1.04,-23.5,11.03,2.34,7,True,111011101,No VCP,AT PIVOT (actionable),ranging,Premium,59.1,True,True,False,True,True,Inside Bar;NR4;Three White Soldiers;Tweezer Top,2.2,97.45,93.49,88.03,4.06,107.57,118.19,121.81,6.15,2525,6,10
KAJARIACER,Kajaria Ceramics Limited,NSE,KAJARIACER.NS,1239.5,69.9,44.9,-0.125,2.9,-6.23,29.07,2.37,7,True,100111111,Moderate VCP,BROKEN OUT (fresh),ranging,Premium,92.0,False,True,False,True,True,Bullish Engulfing;Morning Star;NR4;Tweezer Top,29.41,1271.5,1218.56,1153.0,4.16,1307.41,1343.82,1589.38,6.0,188,6,10
JSWCEMENT,JSW Cement Limited,NSE,JSWCEMENT.NS,139.93,62.7,28.2,0.319,1.34,-13.7,79.45,2.39,8,True,111011111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,90.8,True,True,False,False,True,Bearish Engulfing;Outside Bar;Tweezer Top,3.35,142.8,136.78,128.55,4.22,155.0,167.7,178.5,5.93,1661,5,10
JSL,Jindal Stainless Limited,NSE,JSL.NS,737.5,62.5,19.6,5.562,1.17,-16.57,44.48,2.4,7,True,111011011,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Equilibrium,46.4,False,True,True,True,True,Inside Bar;Long-legged Doji;NR7;Outside Bar;Three White Sold,17.73,741.75,709.83,674.35,4.3,769.24,797.22,927.19,5.81,313,6,10
RAINBOW,Rainbow Childrens Medicare Limited,NSE,RAINBOW.NS,1493.4,66.7,28.1,2.494,0.91,-9.25,15.52,2.55,8,True,111011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,95.7,False,True,False,True,True,Bearish Engulfing;Inside Bar;NR7;Outside Bar;Tweezer Top,38.1,1511.7,1443.12,1390.0,4.54,1550.83,1590.46,1889.62,5.51,145,5,10
SUPREMEIND,Supreme Industries Limited,NSE,SUPREMEIND.NS,3433.7,52.9,20.6,34.445,1.8,-26.39,62.4,2.68,6,True,011111001,No VCP,BROKEN OUT (fresh),ranging,Discount,31.4,True,True,True,True,True,Bearish Engulfing;Three White Soldiers;Tweezer Top,92.03,3646.0,3480.35,3140.0,4.54,3706.63,3767.76,4557.5,5.5,60,7,10
JKPAPER,JK Paper Limited,NSE,JKPAPER.NS,369.55,59.1,25.6,2.93,1.44,-16.92,13.7,2.6,8,True,111011111,No VCP,BROKEN OUT (fresh),ranging,Premium,66.9,False,True,False,True,True,Bearish Engulfing;NR4;Tweezer Top,9.59,380.0,362.74,339.4,4.54,399.74,419.99,475.0,5.5,579,5,10
FINEORG,Fine Organic Industries Limited,NSE,FINEORG.NS,5056.0,51.8,18.9,-23.937,0.91,-7.42,6.35,2.72,6,True,001011111,Moderate VCP,forming / still basing,bullish (HH/HL),Premium,77.4,False,True,False,True,False,Inside Bar;NR4,137.54,5407.0,5159.42,4852.0,4.58,5480.78,5555.06,6758.75,5.46,40,4,10
SBICARD,SBI Cards and Payment Services Limited,NSE,SBICARD.NS,654.7,66.3,16.6,6.391,5.14,-32.16,85.55,2.58,6,True,110111001,No VCP,BROKEN OUT (fresh),ranging,Discount,38.0,False,True,True,True,True,Bullish Engulfing;Tweezer Top,16.89,654.7,624.29,579.9,4.64,680.54,706.87,818.38,5.38,328,7,10
VOLTAS,Voltas Limited,NSE,VOLTAS.NS,1342.4,55.9,16.4,8.892,1.91,-15.17,142.03,2.72,6,True,110111001,No VCP,AT PIVOT (actionable),ranging,Discount,39.3,True,True,True,True,True,Bearish Pin Bar;Evening Star;NR4;Shooting Star,36.51,1411.9,1346.19,1247.0,4.65,1449.73,1488.05,1764.88,5.37,152,7,10
CHALET,Chalet Hotels Limited,NSE,CHALET.NS,862.6,64.5,26.3,3.623,1.09,-20.28,12.15,2.63,8,True,111011111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,76.9,False,True,False,True,True,Bearish Engulfing;Inside Bar;NR7;Three White Soldiers;Tweeze,22.71,874.9,834.02,786.9,4.67,904.73,935.06,1093.62,5.35,244,5,10
HYUNDAI,Hyundai Motor India Limited,NSE,HYUNDAI.NS,1993.3,54.6,18.0,2.723,1.33,-31.03,263.08,2.72,6,True,011011101,No VCP,AT PIVOT (actionable),ranging,Equilibrium,47.3,False,True,False,False,False,none,54.13,2064.8,1967.37,1882.3,4.72,2110.49,2156.68,2581.0,5.3,102,4,10
MOTILALOFS,Motilal Oswal Financial Services Limited,NSE,MOTILALOFS.NS,967.1,58.0,25.3,-2.308,0.98,-11.85,76.78,2.73,7,True,101011111,No VCP,AT PIVOT (actionable),ranging,Premium,94.0,False,True,True,True,True,Bullish Harami;Outside Bar;Tweezer Top,26.44,989.75,942.16,903.65,4.81,1021.46,1053.67,1237.19,5.2,210,6,10
PNBHOUSING,PNB Housing Finance Limited,NSE,PNBHOUSING.NS,1099.8,60.0,25.2,2.08,1.1,-2.9,89.58,2.8,7,True,111011110,Strong VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,91.8,False,True,False,True,True,Bullish Pin Bar;Dragonfly Doji;Hanging Man,30.76,1132.7,1077.32,1000.1,4.89,1166.61,1201.01,1415.88,5.11,180,6,10
IPCALAB,IPCA Laboratories Limited,NSE,IPCALAB.NS,1900.6,81.2,44.5,14.31,2.66,-2.28,49.4,2.86,6,False,010111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,92.0,False,True,False,True,False,Outside Bar;Three White Soldiers,54.41,1909.9,1811.96,1582.4,5.13,1953.85,1998.3,2387.38,4.88,102,4,10
LALPATHLAB,Dr. Lal Path Labs Ltd.,NSE,LALPATHLAB.NS,1687.4,53.6,20.9,1.302,0.7,-6.41,78.13,3.07,7,True,011011111,Strong VCP,AT PIVOT (actionable),ranging,Premium,78.2,False,True,False,True,True,Bearish Engulfing;Bullish Harami;NR7,51.84,1784.0,1690.69,1610.1,5.23,1826.49,1869.47,2230.0,4.78,107,6,10
METROBRAND,Metro Brands Limited,NSE,METROBRAND.NS,1071.3,59.2,25.2,1.215,5.38,-20.08,5.26,2.96,9,True,111111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,65.5,False,False,False,True,True,Bullish Engulfing;Inside Bar;NR4;Outside Bar;Three Black Cro,31.7,1087.0,1029.93,1001.1,5.25,1120.22,1153.94,1358.75,4.76,175,4,10
RKFORGE,Ramkrishna Forgings Limited,NSE,RKFORGE.NS,568.25,49.6,10.4,0.579,18.35,-13.54,39.46,3.07,6,True,010101111,No VCP,AT PIVOT (actionable),ranging,Premium,62.9,True,True,True,True,True,Bearish Engulfing;Bearish Marubozu;Inside Bar;Morning Star,17.45,596.45,565.04,550.05,5.27,621.12,646.29,745.56,4.75,318,7,10
AFFLE,Affle 3i Limited,NSE,AFFLE.NS,1532.5,59.6,16.7,9.249,3.62,-29.89,66.47,3.05,7,True,110111101,No VCP,BROKEN OUT (fresh),ranging,Premium,63.0,True,True,True,False,True,Bearish Harami;Bullish Pin Bar;Hanging Man;Morning Star,46.68,1590.0,1505.98,1390.5,5.28,1630.12,1670.75,1987.5,4.73,119,6,10
NAUKRI,Info Edge (India) Limited,NSE,NAUKRI.NS,1187.25,70.6,33.6,11.363,0.61,-20.05,281.89,3.05,7,True,110011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,66.0,False,True,True,True,True,Bearish Engulfing;Outside Bar,36.2,1229.1,1163.94,970.0,5.3,1264.41,1300.22,1536.38,4.72,153,6,10
ATALREAL,Atal Realtech Limited,NSE,ATALREAL.NS,30.36,57.5,19.7,0.169,1.42,-5.12,20.13,4.77,8,True,111011111,No VCP,AT PIVOT (actionable),bearish (LH/LL),Premium,85.8,True,False,False,True,True,Bullish Pin Bar;Hanging Man,1.45,31.82,29.21,27.17,8.2,37.71,44.1,44.1,4.7,3831,5,10
HONASA,Honasa Consumer Limited,NSE,HONASA.NS,466.95,67.2,45.0,-1.468,0.49,-4.97,127.5,3.13,6,False,100011111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,89.4,True,True,True,True,True,Bearish Pin Bar;Doji;NR4;Outside Bar;Shooting Star;Three Bla,14.62,491.35,465.03,402.3,5.36,513.77,536.68,614.19,4.67,379,7,10
DLF,DLF Limited,NSE,DLF.NS,667.8,58.0,20.1,-0.96,2.1,-22.03,281.98,3.16,7,True,101110111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,88.1,False,True,True,True,True,NR7;Three Black Crows;Tweezer Bottom,21.08,692.0,654.06,608.65,5.48,718.56,745.61,865.0,4.56,263,6,10
MPHASIS,MphasiS Limited,NSE,MPHASIS.NS,2394.2,58.9,13.9,12.546,1.28,-21.17,125.24,3.09,6,True,110011101,No VCP,AT PIVOT (actionable),ranging,Discount,39.6,False,True,True,True,True,Bearish Pin Bar;Hanging Man;Shooting Star,73.95,2422.3,2289.19,2121.1,5.5,2471.77,2521.73,3027.88,4.55,75,7,10
RPSGVENT,RPSG VENTURES LIMITED,NSE,RPSGVENT.NS,895.3,52.8,15.9,4.101,0.51,-24.06,3.79,3.21,6,True,010011111,No VCP,AT PIVOT (actionable),ranging,Equilibrium,54.8,True,True,True,True,True,Bullish Harami;Three Black Crows,28.7,937.9,886.24,827.6,5.51,968.78,1000.15,1172.38,4.54,193,7,10
LLOYDSME,Lloyds Metals And Energy Limited,NSE,LLOYDSME.NS,1865.4,62.7,22.1,9.127,1.66,-1.23,85.01,3.08,8,False,111111110,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,97.3,True,True,False,True,True,Dark Cloud Cover;Tweezer Top,57.43,1877.9,1774.53,1691.2,5.5,1921.48,1965.57,2347.38,4.54,96,5,10
ASHIANA,Ashiana Housing Limited,NSE,ASHIANA.NS,374.8,48.1,18.7,-1.68,0.99,-7.68,2.73,3.36,6,True,001011111,Moderate VCP,forming / still basing,bearish (LH/LL),Premium,75.9,True,False,False,True,False,Bullish Pin Bar;Doji;Hammer,12.58,406.0,383.36,367.65,5.58,426.4,447.3,507.5,4.48,441,4,10
PNCINFRA,PNC Infratech Limited,NSE,PNCINFRA.NS,245.27,67.2,33.3,0.101,3.13,-26.08,13.2,3.2,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,87.2,False,True,False,True,True,Bearish Engulfing;Bearish Pin Bar;Bullish Engulfing;Bullish ,7.85,251.88,237.75,224.31,5.61,268.0,284.62,314.85,4.46,707,5,10
LTM,LTM Limited,NSE,LTM.NS,4075.6,58.8,18.8,49.089,3.6,-36.61,202.35,3.24,6,True,111111000,No VCP,AT PIVOT (actionable),ranging,Discount,19.9,False,True,True,True,True,Bearish Pin Bar;Gravestone Doji;Outside Bar;Shooting Star,132.13,4239.8,4001.97,3528.0,5.61,4305.16,4371.03,5299.75,4.46,42,7,10
ESAFSFB,ESAF Small Finance Bank Limited,NSE,ESAFSFB.NS,35.2,60.2,44.9,-0.024,0.97,-5.38,6.16,4.68,6,False,100011111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,88.5,True,True,True,True,True,Evening Star;Inside Bar;Long-legged Doji;Outside Bar,1.65,37.2,34.24,31.68,7.96,43.55,50.4,50.4,4.46,3378,7,10
HCLTECH,HCL Technologies Limited,NSE,HCLTECH.NS,1203.9,58.8,18.7,10.928,2.41,-32.37,466.4,3.24,7,True,111111001,No VCP,AT PIVOT (actionable),ranging,Discount,23.2,False,True,False,True,True,Bearish Pin Bar;Morning Star;NR7;Shooting Star;Three White S,39.05,1237.0,1166.71,1030.0,5.68,1272.42,1308.34,1546.25,4.4,142,6,10
POLYPLEX,Polyplex Corporation Limited,NSE,POLYPLEX.NS,1077.55,66.5,50.9,4.658,1.09,-8.67,14.62,3.23,7,True,110011111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,95.1,False,True,True,True,True,Bearish Harami;Doji;Inside Bar;NR7;Outside Bar;Tweezer Top,34.79,1095.0,1032.38,948.7,5.72,1128.34,1162.18,1368.75,4.37,159,6,10
PGEL,PG Electroplast Limited,NSE,PGEL.NS,617.65,71.9,36.9,3.784,1.67,-26.16,150.55,3.27,8,True,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,91.4,False,True,False,True,True,Hanging Man;Inside Bar,20.17,631.0,594.7,530.6,5.75,656.37,682.24,788.75,4.35,275,5,10
VARROC,Varroc Engineering Limited,NSE,VARROC.NS,648.2,56.4,32.7,-1.731,0.83,-6.69,8.19,3.38,6,True,100011111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,84.1,False,True,True,True,True,Bearish Pin Bar;NR7;Shooting Star;Three Black Crows,21.9,683.3,643.88,600.3,5.77,709.69,736.58,854.12,4.33,253,7,10
REDTAPE,Redtape Limited,NSE,REDTAPE.NS,134.04,48.4,22.5,-0.443,2.53,-18.02,14.18,3.46,7,True,001111111,No VCP,AT PIVOT (actionable),ranging,Equilibrium,51.5,True,True,False,True,True,Bullish Engulfing;Inverted Hammer;NR7;Outside Bar;Three Blac,4.63,143.8,135.46,130.11,5.8,156.04,168.78,179.75,4.31,1199,6,10
TSFINV,TSF INVESTMENTS LIMITED,NSE,TSFINV.NS,470.4,67.4,41.8,1.213,0.66,-32.94,6.72,3.38,7,True,110011111,No VCP,AT PIVOT (actionable),ranging,Premium,85.7,False,True,True,True,True,Bullish Pin Bar;Doji;Inside Bar;NR7;Three Black Crows,15.92,493.45,464.8,390.75,5.81,515.91,538.88,616.81,4.31,349,6,10
PICCADIL,Piccadily Agro Industries Limited,NSE,PICCADIL.NS,729.55,75.8,45.3,11.885,4.41,-9.43,11.84,3.39,7,False,010111111,No VCP,BROKEN OUT (fresh),ranging,Premium,87.9,True,True,True,True,True,Bearish Engulfing;Outside Bar;Shooting Star;Tweezer Top,24.7,758.0,713.53,558.15,5.87,785.78,814.06,947.5,4.26,224,6,10
SMLMAH,SML Mahindra Limited,NSE,SMLMAH.NS,4085.2,54.4,12.2,4.447,1.65,-23.61,24.4,3.42,7,True,010111111,No VCP,AT PIVOT (actionable),ranging,Discount,36.5,True,True,True,False,True,Bearish Harami;Bullish Pin Bar;Dragonfly Doji;Evening Star;H,139.58,4240.0,3988.75,3774.1,5.93,4305.37,4371.23,5300.0,4.22,39,6,10
TRIVENI,Triveni Engineering & Industries Limited,NSE,TRIVENI.NS,472.15,66.7,50.1,0.62,3.61,-3.66,22.39,3.42,8,False,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,88.9,False,True,True,True,True,Bullish Harami;Bullish Pin Bar;Hanging Man;Inside Bar;NR4,16.17,490.1,460.99,402.25,5.94,512.49,535.38,612.62,4.21,343,5,10
BCLIND,Bcl Industries Limited,NSE,BCLIND.NS,36.47,54.9,20.7,0.161,19.91,-26.02,10.79,5.09,8,True,011111111,No VCP,forming / still basing,bearish (LH/LL),Premium,75.6,True,True,True,True,True,Bearish Pin Bar;NR4;Shooting Star,1.86,40.0,36.66,33.21,8.35,46.57,53.65,53.65,4.09,2994,5,10
RANEHOLDIN,Rane Holdings Limited,NSE,RANEHOLDIN.NS,1729.2,60.6,55.3,-11.909,0.29,-5.9,7.72,3.63,6,False,100011111,Moderate VCP,forming / still basing,bullish (HH/HL),Premium,87.3,False,True,True,True,False,NR7,62.78,1837.7,1724.69,1571.0,6.15,1880.82,1924.44,2297.12,4.07,88,4,10
CAPLIPOINT,Caplin Point Laboratories Limited,NSE,CAPLIPOINT.NS,2614.2,61.0,59.5,-12.395,0.65,-3.14,47.47,3.54,6,False,100011111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,92.9,True,True,True,True,True,Bearish Engulfing;Bullish Engulfing;Hanging Man,92.64,2699.0,2532.25,2457.3,6.18,2751.2,2803.9,3373.75,4.05,59,7,10
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,DALMIASUG.NS,367.4,60.9,35.6,2.368,1.38,-12.32,9.46,3.72,6,True,110010111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,66.3,True,True,True,True,True,Bearish Pin Bar;Shooting Star,13.67,398.4,373.79,322.35,6.18,418.61,439.32,498.0,4.05,406,7,10
RATEGAIN,Rategain Travel Technologies Limited,NSE,RATEGAIN.NS,950.7,64.9,55.4,-2.88,1.61,-4.67,59.58,3.61,7,False,100111111,Strong VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,91.7,False,True,True,True,True,Evening Star;Inside Bar;NR4,34.34,997.25,935.44,830.0,6.2,1029.08,1061.41,1246.56,4.03,161,6,10
JSFB,Jana Small Finance Bank Limited,NSE,JSFB.NS,493.0,60.3,15.7,4.032,7.88,-5.38,38.78,3.64,8,True,110111111,No VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,85.3,False,True,False,True,True,Bearish Pin Bar;Shooting Star,17.97,521.05,488.71,439.0,6.21,544.13,567.7,651.31,4.03,309,5,10
GLOBUSSPR,Globus Spirits Limited,NSE,GLOBUSSPR.NS,932.2,54.0,28.4,6.093,10.39,-28.47,9.36,3.69,7,True,011111101,No VCP,AT PIVOT (actionable),bullish (HH/HL),Discount,37.2,True,True,True,False,True,Bearish Engulfing;Outside Bar,34.44,999.8,937.8,858.5,6.2,1031.67,1064.04,1249.75,4.03,161,6,10
GODREJIND,Godrej Industries Limited,NSE,GODREJIND.NS,1334.7,65.2,53.2,10.511,1.55,-7.51,44.29,3.84,8,False,110111111,Moderate VCP,forming / still basing,bullish (HH/HL),Premium,84.5,True,True,True,True,True,Bullish Pin Bar;Hanging Man;NR4;Tweezer Top,51.21,1443.0,1350.82,1104.6,6.39,1481.24,1519.97,1803.75,3.91,108,5,10
DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE,DDEVPLSTIK.NS,288.55,63.1,37.6,0.211,2.27,-19.85,4.78,3.75,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,83.4,False,True,False,True,True,Bullish Harami;NR4;Outside Bar;Three Black Crows;Tweezer Top,10.82,302.4,282.92,262.72,6.44,320.04,338.18,378.0,3.88,513,5,10
NARMADA,Narmada Agrobase Limited,NSE,NARMADA.NS,39.18,58.4,21.2,0.149,3.57,-13.26,5.13,5.24,8,False,111101111,No VCP,forming / still basing,bearish (LH/LL),Premium,69.8,True,False,False,True,False,Three White Soldiers,2.05,43.0,39.31,33.66,8.58,49.81,57.11,57.11,3.82,2710,2,10
SAMBHV,Sambhv Steel Tubes Limited,NSE,SAMBHV.NS,118.96,60.0,30.5,0.598,2.15,-20.37,17.71,3.94,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,62.7,False,True,False,True,True,Bearish Engulfing;Bullish Pin Bar;Doji;Inside Bar;NR7;Tweeze,4.68,127.7,119.27,107.88,6.6,139.25,151.3,159.62,3.79,1186,5,10
SWIGGY,Swiggy Limited,NSE,SWIGGY.NS,276.87,61.0,20.9,2.575,2.41,-41.59,369.49,3.8,6,True,111111000,No VCP,AT PIVOT (actionable),ranging,Discount,33.4,True,True,True,True,True,Bearish Pin Bar;Gravestone Doji;Shooting Star;Three White So,10.52,284.68,265.75,235.75,6.65,301.8,319.42,355.85,3.76,528,7,10
THERMAX,Thermax Limited,NSE,THERMAX.NS,4662.0,48.8,27.9,-37.558,1.58,-11.67,135.48,4.19,6,True,001101111,No VCP,AT PIVOT (actionable),ranging,Premium,75.6,False,False,False,True,False,Long-legged Doji;NR4;Three White Soldiers,195.45,5277.8,4925.99,4358.5,6.67,5350.7,5424.1,6597.25,3.75,28,4,10
BRIGADE,Brigade Enterprises Limited,NSE,BRIGADE.NS,566.65,59.7,26.5,4.587,0.92,-33.84,41.59,3.78,7,True,111011101,No VCP,AT PIVOT (actionable),ranging,Premium,71.9,True,True,True,False,True,Bearish Engulfing;Bullish Harami;Outside Bar,21.39,578.0,539.49,493.05,6.66,602.29,627.08,722.5,3.75,259,6,10
GROWW,Billionbrains Garage Ventures Limited,NSE,GROWW.NS,208.3,55.7,23.3,0.676,3.25,-8.32,920.23,3.96,8,False,111111101,No VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,76.7,True,True,False,True,True,Bullish Harami;Dark Cloud Cover;Inside Bar;Shooting Star,8.25,220.98,206.14,188.91,6.72,236.1,251.71,276.22,3.72,673,5,10
SPMLINFRA,SPML Infra Limited,NSE,SPMLINFRA.NS,205.8,58.3,15.2,1.508,3.11,-36.36,7.39,3.97,6,True,110101110,No VCP,BROKEN OUT (fresh),ranging,Premium,65.4,True,True,True,True,True,Bullish Pin Bar;Doji;Hanging Man;Long-legged Doji;NR4,8.18,216.93,202.21,185.5,6.79,231.91,247.39,271.16,3.68,679,7,10
RPEL,Raghav Productivity Enhancers Limited,NSE,RPEL.NS,1313.8,67.3,43.4,-7.365,1.57,-4.23,17.53,3.95,7,False,100111111,Moderate VCP,AT PIVOT (actionable),ranging,Premium,92.8,False,True,True,True,True,Bullish Pin Bar;Hanging Man;Inside Bar,51.85,1371.8,1278.46,1140.55,6.8,1409.09,1446.88,1714.75,3.67,107,6,10
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE,ALKYLAMINE.NS,1826.9,50.3,19.6,-0.703,0.4,-23.88,47.7,4.17,6,True,001011111,No VCP,forming / still basing,ranging,Premium,77.3,True,True,False,True,False,none,76.11,2007.0,1869.99,1661.3,6.83,2052.05,2097.6,2508.75,3.66,72,4,10
RHIM,RHI MAGNESITA INDIA LIMITED,NSE,RHIM.NS,409.0,57.8,25.9,2.356,0.54,-23.94,89.88,4.12,7,True,111011101,No VCP,AT PIVOT (actionable),bearish (LH/LL),Equilibrium,51.5,True,True,False,True,True,Bearish Pin Bar;Doji;Inside Bar;Morning Star;NR7;Outside Bar,16.86,443.8,413.44,353.0,6.84,465.12,486.93,554.75,3.65,329,6,10
SPANDANA,Spandana Sphoorty Financial Limited,NSE,SPANDANA.NS,296.9,59.9,34.2,0.112,1.58,-7.04,9.54,4.13,7,True,110110111,Moderate VCP,AT PIVOT (actionable),ranging,Premium,83.7,False,True,False,True,True,Three Black Crows,12.25,319.4,297.35,251.5,6.9,337.52,356.14,399.25,3.62,453,6,10
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS,204.64,59.7,45.7,0.171,0.76,-27.93,8.08,4.2,7,True,110011111,No VCP,AT PIVOT (actionable),ranging,Premium,83.5,True,False,True,True,True,Bearish Harami;Bearish Pin Bar;Bullish Pin Bar;Doji;Shooting,8.6,219.45,203.97,184.32,7.05,234.51,250.08,274.31,3.54,645,6,10
IONEXCHANG,ION Exchange (India) Limited,NSE,IONEXCHANG.NS,435.4,59.5,34.7,1.909,4.01,-25.03,34.71,4.41,8,True,110111111,No VCP,forming / still basing,bullish (HH/HL),Premium,70.8,True,True,True,True,True,Hanging Man;Three Black Crows,19.22,486.0,451.4,371.0,7.12,508.3,531.09,607.5,3.51,289,5,10
RAJRATAN,Rajratan Global Wire Limited,NSE,RAJRATAN.NS,485.85,62.6,35.5,2.353,4.7,-10.03,3.34,4.26,8,True,110111111,No VCP,BROKEN OUT (fresh),ranging,Premium,84.7,False,True,False,True,True,Bearish Engulfing;Shooting Star,20.7,515.0,477.74,426.85,7.23,537.94,561.39,643.75,3.46,268,5,10
INDNIPPON,India Nippon Electricals Limited,NSE,INDNIPPON.NS,1213.4,74.2,58.1,16.247,2.0,-2.58,8.17,4.14,7,False,110111110,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,94.4,False,True,True,True,True,Bullish Harami;Long-legged Doji;Outside Bar;Tweezer Top,50.27,1245.5,1155.01,912.15,7.27,1281.04,1317.08,1556.88,3.44,110,6,10
ATHERENERG,Ather Energy Limited,NSE,ATHERENERG.NS,1282.2,71.7,58.0,11.408,3.68,-4.67,494.63,4.35,8,False,110111111,Moderate VCP,extended past pivot,bullish (HH/HL),Premium,91.6,False,True,False,False,False,Bullish Harami;NR4,55.82,1345.0,1244.52,954.0,7.47,1381.92,1419.35,1681.25,3.35,99,2,10
