symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
WINDLAS,Windlas Biotech Limited,NSE,WINDLAS.NS,844.25,51.2,29.0,-2.049,1.86,-23.1,4.65,3.25,6,True,001110111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,63.5,True,False,False,True,False,Inside Bar;NR4;Outside Bar;Tweezer Bottom,27.47,895.8,846.36,814.95,5.52,925.98,956.66,1119.75,4.53,202,5,11
RHETAN,Rhetan TMT Limited,NSE,RHETAN.NS,28.04,50.5,20.5,0.347,3.49,-15.06,20.5,5.52,8,True,011111111,No VCP,BROKEN OUT (fresh),ranging,Discount,44.8,True,True,True,False,True,Bearish Marubozu,1.55,33.01,30.23,25.5,8.42,39.01,45.5,45.5,4.49,3597,6,11
HOMEFIRST,Home First Finance Company India Limited,NSE,HOMEFIRST.NS,1241.8,60.5,36.2,1.677,2.01,-18.25,24.83,3.22,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,82.1,False,True,True,True,True,Bearish Engulfing;Inside Bar;NR4;Tweezer Top,40.02,1284.9,1212.86,1103.8,5.61,1321.0,1357.59,1606.12,4.46,138,6,11
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE,AHLUCONT.NS,853.25,53.0,15.6,0.056,1.87,-23.48,3.02,3.24,6,True,010111101,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,73.1,False,True,False,True,False,none,27.64,885.0,835.25,815.1,5.62,915.0,945.5,1106.25,4.45,201,5,11
HCG,Healthcare Global Enterprises Limited,NSE,HCG.NS,655.85,54.6,23.8,1.765,6.07,-18.49,13.4,3.29,7,True,011110111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,81.5,True,True,True,True,True,Bullish Harami;NR7;Tweezer Top,21.56,688.2,649.39,590.6,5.64,714.68,741.67,860.25,4.43,257,7,11
AARTIIND,Aarti Industries Limited,NSE,AARTIIND.NS,493.95,57.1,16.5,2.582,3.54,-5.57,57.3,3.26,8,True,110111111,Moderate VCP,AT PIVOT (actionable),ranging,Premium,83.6,False,True,False,True,True,Inside Bar;NR7;Outside Bar;Three White Soldiers;Tweezer Top,16.11,510.9,481.9,454.5,5.68,533.75,557.11,638.62,4.4,344,6,11
COSMOFIRST,COSMO FIRST LIMITED,NSE,COSMOFIRST.NS,835.05,58.4,22.9,-0.788,0.89,-29.11,9.7,3.32,6,True,101010111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,87.3,True,True,False,False,False,Bearish Harami;Bullish Engulfing;Inside Bar;Morning Star;Twe,27.75,874.8,824.85,764.0,5.71,904.63,934.95,1093.5,4.38,200,5,11
FISCHER,Fischer Medical Ventures Limited,NSE,FISCHER.NS,39.27,58.1,17.1,0.003,1.77,-68.51,6.41,4.57,6,True,110111100,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Equilibrium,53.4,False,True,True,False,False,Bullish Engulfing;Bullish Pin Bar;Hammer;Inside Bar;Tweezer ,1.8,42.37,39.14,34.25,7.62,49.13,56.39,56.39,4.34,3095,5,11
JGCHEM,J.G.Chemicals Limited,NSE,JGCHEM.NS,445.45,59.3,31.0,1.009,2.25,-20.17,4.27,3.42,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,88.7,True,True,False,True,True,Bullish Engulfing;Long-legged Doji;NR7;Three Black Crows,15.23,464.25,436.83,409.25,5.91,486.05,508.34,580.31,4.23,364,6,11
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,DEEPAKFERT.NS,1594.0,57.4,22.8,-7.103,3.19,-5.12,58.27,3.47,7,True,101101111,No VCP,AT PIVOT (actionable),ranging,Premium,89.4,False,False,False,True,False,Inside Bar;NR7,55.24,1680.0,1580.57,1475.7,5.92,1721.24,1762.98,2100.0,4.22,100,4,11
