symbol,trend_structure,chart_pattern,breakout_level,volume_confirm,target,pattern_confidence
SANGINITA,Uptrend (HH/HL),Rising Wedge (bearish),39.42,no,,low
UFBL,Uptrend (HH/HL),Double Top,637.45,no,547.7,medium
HFCL,Uptrend (HH/HL),Bull Flag / Pennant,224.38,no,283.64,medium
OMNI,Uptrend (HH/HL),Double Bottom,569.65,no,649.45,medium
INDOTECH,Uptrend (HH/HL),Bull Flag / Pennant,3472.6,no,4406.49,medium
STLTECH,Downtrend (LH/LL),Head & Shoulders,568.4,no,482.45,medium
SIGMAADV,Sideways / range-bound,Bull Flag / Pennant,582.95,no,708.35,medium
NINSYS,Uptrend (HH/HL),Bull Flag / Pennant,893.6,no,1144.17,medium
ARIHANT,Sideways / range-bound,Double Top,789.1,yes,769.4,medium
CPPLUS,Sideways / range-bound,Double Top,3558.5,weak,3479.2,medium
BLISSGVS,Sideways / range-bound,Double Top,490.4,no,441.2,medium
CUPID,Uptrend (HH/HL),Bull Flag / Pennant,219.66,no,291.43,medium
KSHINTL,Downtrend (LH/LL),Double Top,841.8,weak,820.0,medium
GRWRHITECH,Uptrend (HH/HL),Double Top,6821.5,no,6622.0,medium
BHAGYANGR,Sideways / range-bound,Double Bottom,392.2,weak,412.9,medium
CEMPRO,Uptrend (HH/HL),Double Top,1122.4,weak,1007.7,medium
DEEDEV,Sideways / range-bound,Double Top,643.4,no,548.05,medium
SPORTKING,Sideways / range-bound,Double Top,174.26,no,162.6,medium
MTARTECH,Downtrend (LH/LL),Falling Wedge (bullish),7208.32,no,,low
AEROFLEX,Downtrend (LH/LL),Symmetrical Triangle,412.14,no,,low
ONELIFECAP,Sideways / range-bound,Bull Flag / Pennant,38.02,no,54.69,medium
YASHO,Uptrend (HH/HL),Double Top,2861.0,no,2657.3,medium
VENUSREM,Sideways / range-bound,Double Top,1663.9,no,1380.8,medium
NOVARTIND,Uptrend (HH/HL),Double Bottom,1469.4,no,1504.4,medium
IBULLSLTD,Uptrend (HH/HL),Rising Wedge (bearish),30.52,no,,low
JNKINDIA,Sideways / range-bound,Double Top,476.2,no,447.75,medium
KOVAI,Sideways / range-bound,Double Top,5968.5,no,5887.0,medium
CONFIPET,Sideways / range-bound,Double Top,69.29,no,61.16,medium
SUVEN,Uptrend (HH/HL),Inverse Head & Shoulders,279.34,no,325.13,medium
UNIVPHOTO,Sideways / range-bound,Double Top,350.1,yes,331.65,medium
SHILPAMED,Uptrend (HH/HL),Double Top,570.75,no,550.35,medium
ACUTAAS,Uptrend (HH/HL),Rounding Bottom (saucer),3694.8,no,,low
ATLANTAELE,Downtrend (LH/LL),Symmetrical Triangle,1561.37,weak,,low
RUBICON,Uptrend (HH/HL),Double Bottom,1419.6,no,1531.9,medium
SETL,Sideways / range-bound,Double Top,261.05,no,225.55,medium
OMAXAUTO,Uptrend (HH/HL),Double Bottom,235.03,no,253.63,medium
PAISALO,Uptrend (HH/HL),Bull Flag / Pennant,73.78,yes,91.12,medium
532380,Sideways / range-bound,Rounding Bottom (saucer),16.9,no,,low
INDSWFTLAB,Uptrend (HH/HL),Rounding Bottom (saucer),246.44,no,,low
SAKAR,Uptrend (HH/HL),Double Top,795.9,no,747.65,medium
GVPIL,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
SHADOWFAX,Uptrend (HH/HL),Double Top,218.86,yes,202.42,medium
RUBYMILLS,Sideways / range-bound,Double Top,318.05,yes,282.85,medium
RPTECH,Sideways / range-bound,Double Top,740.45,no,683.7,medium
WELCORP,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
ATHERENERG,Uptrend (HH/HL),Rising Wedge (bearish),1251.85,no,,low
SCHNEIDER,Sideways / range-bound,No clean pattern,,n/a,,n/a
VIDYAWIRES,Sideways / range-bound,Double Bottom,100.09,no,102.6,medium
EBGNG,Sideways / range-bound,Rising Wedge (bearish),674.86,no,,low
IOLCP,Downtrend (LH/LL),Rounding Bottom (saucer),173.78,no,,low
NGLFINE,Sideways / range-bound,Double Top,2937.6,no,2725.8,medium
NITTAGELA,Uptrend (HH/HL),Inverse Head & Shoulders,1820.4,weak,2317.0,medium
SYRMA,Sideways / range-bound,Double Top,1356.0,no,1271.5,medium
AVALON,Downtrend (LH/LL),Double Top,1631.2,no,1460.5,medium
KIRLOSENG,Sideways / range-bound,Double Top,2230.8,no,1898.0,medium
TIRUPATIFL,Uptrend (HH/HL),Double Top,66.06,no,60.33,medium
LOKESHMACH,Uptrend (HH/HL),Double Bottom,297.7,no,325.15,medium
NRL,Sideways / range-bound,Rising Wedge (bearish),97.54,no,,low
MODISONLTD,Downtrend (LH/LL),Double Bottom,308.15,weak,322.8,medium
IDEAFORGE,Sideways / range-bound,Descending Triangle,833.55,no,,medium
PARACABLES,Sideways / range-bound,Double Top,67.81,no,62.56,medium
KRN,Sideways / range-bound,Double Top,1214.8,weak,1177.0,medium
POWERINDIA,Sideways / range-bound,No clean pattern,,n/a,,n/a
SKYGOLD,Sideways / range-bound,Head & Shoulders,437.35,no,303.3,medium
JAYBARMARU,Uptrend (HH/HL),Rising Wedge (bearish),201.63,no,,low
HIRECT,Downtrend (LH/LL),Double Top,1121.0,no,1084.9,medium
543828,Uptrend (HH/HL),Double Bottom,40.27,no,43.03,medium
INDOBORAX,Uptrend (HH/HL),Rounding Bottom (saucer),486.7,weak,,low
WHEELS,Sideways / range-bound,No clean pattern,,n/a,,n/a
539730,Uptrend (HH/HL),Double Bottom,938.1,no,1044.4,medium
ADANIENSOL,Sideways / range-bound,Rising Wedge (bearish),1675.66,weak,,low
RISHABH,Uptrend (HH/HL),Rising Wedge (bearish),668.02,weak,,low
BAJAJCON,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
LLOYDSENGG,Uptrend (HH/HL),Double Top,81.73,no,73.08,medium
ASTRAMICRO,Uptrend (HH/HL),Double Bottom,1833.1,no,1884.0,medium
BALAMINES,Uptrend (HH/HL),Inverse Head & Shoulders,2231.3,no,2570.4,medium
AEGISLOG,Uptrend (HH/HL),Double Bottom,1293.6,no,1341.8,medium
KOTYARK,Sideways / range-bound,Double Bottom,45.45,no,55.15,medium
E2E,Sideways / range-bound,Double Top,369.0,yes,285.1,medium
SGMART,Uptrend (HH/HL),Double Bottom,669.0,weak,738.05,medium
SEDEMAC,Uptrend (HH/HL),Double Top,2705.6,no,2516.1,medium
APOLLOPIPE,Downtrend (LH/LL),Double Top,471.15,weak,435.8,medium
ACMESOLAR,Uptrend (HH/HL),Rounding Bottom (saucer),394.0,yes,,low
APARINDS,Uptrend (HH/HL),Double Bottom,14070.0,no,14697.0,medium
SANSERA,Uptrend (HH/HL),Double Top,3096.7,no,2941.9,medium
SKMEGGPROD,Uptrend (HH/HL),Rounding Bottom (saucer),360.9,no,,low
PARAS,Sideways / range-bound,Double Top,1182.9,no,957.15,medium
GAYAPROJ,Sideways / range-bound,Double Top,20.39,no,18.5,medium
SPARC,Uptrend (HH/HL),Rounding Bottom (saucer),277.57,no,,low
BUILDPRO,Sideways / range-bound,Double Bottom,1031.9,no,1048.3,medium
DATAPATTNS,Sideways / range-bound,Head & Shoulders,4205.0,no,3543.8,medium
GAUDIUMIVF,Sideways / range-bound,Ascending Triangle,119.02,yes,130.92,medium
GCSL,Uptrend (HH/HL),Rounding Bottom (saucer),525.7,no,,low
INOXINDIA,Downtrend (LH/LL),Double Top,1806.4,no,1654.4,medium
WABAG,Uptrend (HH/HL),Double Bottom,2190.3,no,2382.5,medium
ANTELOPUS,Sideways / range-bound,Double Bottom,823.5,no,852.7,medium
CONSOFINVT,Sideways / range-bound,Double Top,223.22,weak,217.02,medium
J&KBANK,Uptrend (HH/HL),Rounding Bottom (saucer),192.65,weak,,low
NITINSPIN,Downtrend (LH/LL),Double Top,541.45,no,510.9,medium
SHREEJISPG,Uptrend (HH/HL),Rounding Bottom (saucer),596.3,no,,low
SENORES,Uptrend (HH/HL),Double Top,1257.2,no,1224.4,medium
TDPOWERSYS,Sideways / range-bound,Double Top,1126.0,no,926.5,medium
SPECTRUM,Uptrend (HH/HL),Double Top,1875.4,no,1692.2,medium
QPOWER,Sideways / range-bound,No clean pattern,,n/a,,n/a
BLUSPRING,Sideways / range-bound,Double Bottom,123.61,no,139.28,medium
544023,Uptrend (HH/HL),Rising Wedge (bearish),753.46,weak,,low
PARKHOSPS,Uptrend (HH/HL),Double Top,285.5,yes,281.75,medium
UTLSOLAR,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
ARVIND,Sideways / range-bound,Head & Shoulders,525.5,no,463.9,medium
RPEL,Uptrend (HH/HL),Double Top,1289.0,no,1271.8,medium
UNIVASTU,Uptrend (HH/HL),Double Top,85.15,yes,77.18,medium
NAHARSPING,Sideways / range-bound,Double Top,252.1,no,242.9,medium
FCL,Uptrend (HH/HL),Double Bottom,45.41,weak,53.79,medium
COCKERILL,Sideways / range-bound,Double Top,8493.5,no,7663.5,medium
RAMCOSYS,Uptrend (HH/HL),Double Top,805.6,no,731.15,medium
DIACABS,Sideways / range-bound,Double Bottom,210.29,no,218.38,medium
GANECOS,Downtrend (LH/LL),Double Bottom,944.55,no,979.85,medium
540492,Sideways / range-bound,Double Top,10.58,no,9.8,medium
APOLLO,Uptrend (HH/HL),Double Bottom,450.05,no,515.7,medium
HESTERBIO,Sideways / range-bound,Double Bottom,2205.6,no,2245.3,medium
NEOGEN,Sideways / range-bound,Symmetrical Triangle,1891.98,weak,,low
MBAPL,Uptrend (HH/HL),Rounding Bottom (saucer),136.2,no,,low
SATIN,Uptrend (HH/HL),Double Top,248.85,no,234.41,medium
SBCL,Downtrend (LH/LL),Head & Shoulders,695.8,no,597.55,medium
HONASA,Sideways / range-bound,Double Top,461.75,no,454.0,medium
AEQUS,Sideways / range-bound,Double Bottom,239.55,no,250.15,medium
IZMO,Downtrend (LH/LL),Head & Shoulders,936.45,yes,789.95,medium
KERNEX,Sideways / range-bound,Double Bottom,2403.0,no,2845.3,medium
THANGAMAYL,Uptrend (HH/HL),Rounding Bottom (saucer),6806.0,no,,low
ADANIGREEN,Sideways / range-bound,Double Top,1486.6,yes,1417.0,medium
WANBURY,Uptrend (HH/HL),Double Top,274.35,no,266.0,medium
NRBBEARING,Sideways / range-bound,Double Top,419.8,no,400.65,medium
GVT&D,Sideways / range-bound,No clean pattern,,n/a,,n/a
543920,Uptrend (HH/HL),Double Top,872.3,yes,861.1,medium
SGFIN,Uptrend (HH/HL),Double Bottom,676.75,no,769.4,medium
EMMVEE,Uptrend (HH/HL),Double Bottom,362.25,yes,392.15,medium
BHEL,Sideways / range-bound,Double Top,399.85,yes,385.35,medium
524520,Sideways / range-bound,Double Top,126.65,no,112.65,medium
JINDALPOLY,Downtrend (LH/LL),Head & Shoulders,612.35,no,472.75,medium
UNIVCABLES,Sideways / range-bound,Double Top,1081.3,no,909.0,medium
MOREPENLAB,Uptrend (HH/HL),Double Top,58.96,no,55.24,medium
KABRAEXTRU,Uptrend (HH/HL),Double Top,227.91,weak,214.48,medium
AVADHSUGAR,Uptrend (HH/HL),Double Top,500.4,no,463.45,medium
GNA,Uptrend (HH/HL),Rising Wedge (bearish),481.61,yes,,low
PRECWIRE,Sideways / range-bound,Double Top,373.9,no,342.45,medium
STYL,Sideways / range-bound,Double Top,262.19,weak,252.94,medium
CENTUM,Sideways / range-bound,Double Top,3513.3,no,3242.6,medium
SOTL,Sideways / range-bound,Double Top,503.8,no,396.9,medium
KPL,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
531911,Uptrend (HH/HL),Double Top,65.75,no,63.82,medium
TEJASNET,Sideways / range-bound,Double Bottom,632.35,no,724.15,medium
INDNIPPON,Uptrend (HH/HL),Bull Flag / Pennant,1236.1,no,1622.45,medium
FILATEX,Uptrend (HH/HL),Rounding Bottom (saucer),73.1,weak,,low
GALAPREC,Uptrend (HH/HL),Double Bottom,1187.7,no,1235.0,medium
CMPDI,Uptrend (HH/HL),Double Top,259.31,no,241.12,medium
BBOX,Downtrend (LH/LL),Double Bottom,1042.0,no,1113.9,medium
ELPROINTL,Uptrend (HH/HL),Double Top,166.05,no,164.0,medium
AMANTA,Uptrend (HH/HL),Rising Wedge (bearish),186.13,weak,,low
ADFFOODS,Sideways / range-bound,Double Top,308.3,no,296.2,medium
540786,Uptrend (HH/HL),Rounding Bottom (saucer),21.93,yes,,low
AYMSYNTEX,Uptrend (HH/HL),No clean pattern,,n/a,,n/a
SCPL,Uptrend (HH/HL),Double Bottom,561.35,weak,645.7,medium
MANINDS,Downtrend (LH/LL),Double Top,549.45,no,501.8,medium
VENUSPIPES,Uptrend (HH/HL),Bull Flag / Pennant,1813.0,no,2317.56,medium
TALBROAUTO,Uptrend (HH/HL),Double Bottom,408.8,no,415.65,medium
RRKABEL,Uptrend (HH/HL),Double Bottom,2502.3,no,2876.5,medium
SIGNPOST,Uptrend (HH/HL),Ascending Triangle,297.76,no,327.54,medium
DECNGOLD,Sideways / range-bound,Bull Flag / Pennant,205.3,no,275.32,medium
SPAL,Uptrend (HH/HL),Double Top,1104.0,no,1069.85,medium
VADILALIND,Uptrend (HH/HL),Double Bottom,6492.0,no,6898.5,medium
MENONBE,Uptrend (HH/HL),Double Bottom,165.58,yes,169.46,medium
UNIPARTS,Sideways / range-bound,Double Bottom,673.6,no,695.35,medium
GHCLTEXTIL,Uptrend (HH/HL),Rising Wedge (bearish),109.96,no,,low
LLOYDSME,Uptrend (HH/HL),Double Top,1704.3,weak,1623.0,medium
MAYURUNIQ,Uptrend (HH/HL),Double Top,833.3,yes,782.8,medium
SUDEEPPHRM,Downtrend (LH/LL),Double Top,809.2,no,767.45,medium
ROSSTECH,Sideways / range-bound,Double Top,964.9,no,930.25,medium
ICIL,Uptrend (HH/HL),Double Top,424.9,no,415.9,medium
AZAD,Sideways / range-bound,No clean pattern,,n/a,,n/a
ZIMLAB,Uptrend (HH/HL),Double Top,122.5,no,117.13,medium
RSWM,Downtrend (LH/LL),Double Top,191.9,weak,182.47,medium
