symbol,bars,close,rsi,rsi_state,rsi_trend,rsi_div,stoch_k,stoch_d,stoch_cross,stoch_state,stoch_div,bb_pos,bb_width_pct,bb_squeeze,bb_state,ichi_price_cloud,ichi_tk,ichi_chikou,ichi_twist_ahead,cci,cci_state,williams_r,wr_state,obv_trend,obv_div,mfi,mfi_state,macd,macd_signal,macd_hist,macd_pos,macd_hist_state,macd_cross,macd_zero,ema20,ema50,ema200,ema_alignment,ema200_slope,px_vs_e20,px_vs_e50,px_vs_e200,adx,adx_regime,di,adx_dir,supertrend,supertrend_flip,atr,atr_pct,atr_state,vwap20,px_vs_vwap,vwap_dist_pct,pivot_P,pivot_R1,pivot_S1,wpivot_R1,wpivot_S1,px_vs_wpivot
SANGINITA,351,55.85,99.2,overbought,rising,none,100.0,100.0,none,overbought,none,above_mid,43.44,False,expanding,above,bullish,above,none,81.7,above0,-0.0,overbought,rising,none,,neutral,5.28,4.827,0.453,above_signal,expanding_pos,none,above,47.29,38.8,23.48,bullish,rising,above,above,above,90.3,trending,+DI>-DI,rising,green_buy,none,0.88,1.57,expanding,45.46,above,22.85,55.85,55.85,55.85,51.88,48.03,above_R2
UFBL,350,701.9,57.9,neutral,falling,bearish,75.1,81.0,bear,neutral,bearish,below_mid,19.02,True,contracting,above,bullish,above,none,11.7,above0,-41.6,neutral,rising,none,63.7,neutral,44.818,51.385,-6.568,below_signal,expanding_neg,none,above,690.12,589.46,385.05,bullish,rising,above,above,above,34.6,trending,+DI>-DI,falling,green_buy,none,33.46,4.77,contracting,695.45,above,0.93,714.2,726.5,689.6,786.35,702.25,below_S1
HFCL,352,213.17,55.3,neutral,falling,bearish,66.8,63.8,bull,neutral,none,below_mid,11.91,True,contracting,above,bullish,above,none,5.9,above0,-58.3,neutral,rising,none,59.0,neutral,9.327,11.207,-1.88,below_signal,expanding_neg,none,above,211.07,186.23,123.48,bullish,rising,above,above,above,36.0,trending,+DI>-DI,falling,green_buy,none,9.79,4.59,contracting,213.51,below,-0.16,215.35,217.52,210.99,228.23,207.54,mid_range
OMNI,93,565.6,64.8,neutral,rising,none,78.0,72.8,none,neutral,none,above_mid,21.95,True,expanding,above,bullish,above,none,130.0,strong_up,-22.8,neutral,rising,none,68.6,neutral,22.077,18.819,3.257,above_signal,expanding_pos,bull,above,526.87,481.19,,n/a (short),n/a,above,above,n/a,36.9,trending,+DI>-DI,rising,green_buy,none,30.08,5.32,contracting,532.05,above,6.31,565.52,577.03,554.08,551.93,488.58,above_R1
INDOTECH,351,3400.9,67.3,neutral,rising,none,76.6,80.0,bear,neutral,bearish,above_mid,25.82,True,contracting,above,bullish,above,none,59.2,above0,-23.0,neutral,rising,none,72.8,neutral,188.21,174.686,13.524,above_signal,contracting_pos,none,above,3158.93,2830.34,2173.96,bullish,rising,above,above,above,30.2,trending,+DI>-DI,falling,green_buy,none,162.12,4.77,expanding,3141.23,above,8.27,3402.57,3498.33,3305.13,3438.53,3035.83,mid_range
STLTECH,352,520.4,42.4,neutral,falling,none,28.3,28.0,none,neutral,none,below_mid,24.71,True,expanding,inside,bearish,below,none,-93.1,below0,-80.9,oversold,rising,none,41.2,neutral,-7.293,2.852,-10.145,below_signal,contracting_neg,none,below,556.86,516.9,312.24,bullish,rising,below,above,above,37.1,trending,-DI>+DI,rising,red_sell,none,33.05,6.35,contracting,561.56,below,-7.33,521.3,528.3,513.4,587.45,500.2,mid_range
SIGMAADV,351,557.8,56.5,neutral,flat,none,47.8,48.4,bear,neutral,none,below_mid,16.46,True,contracting,above,bullish,above,none,-14.9,below0,-55.5,neutral,rising,none,57.0,neutral,25.926,33.583,-7.657,below_signal,expanding_neg,none,above,549.05,474.87,293.26,bullish,rising,above,above,above,44.1,trending,+DI>-DI,falling,red_sell,none,30.14,5.4,contracting,569.72,below,-2.09,558.93,566.87,549.87,607.07,537.12,mid_range
NINSYS,351,893.6,73.8,overbought,falling,none,69.0,67.0,bull,neutral,none,above_mid,24.37,True,contracting,above,bullish,above,none,41.3,above0,-31.8,neutral,rising,none,85.2,overbought,48.178,52.53,-4.352,below_signal,expanding_neg,bear,above,844.01,744.12,544.92,bullish,rising,above,above,above,53.3,trending,+DI>-DI,falling,green_buy,none,37.62,4.21,contracting,823.41,above,8.52,892.87,905.73,880.73,927.73,845.33,mid_range
ARIHANT,68,802.8,46.6,neutral,rising,none,18.2,20.2,bear,oversold,none,below_mid,14.16,True,contracting,n/a,n/a,n/a,n/a,-20.0,below0,-79.2,neutral,falling,none,23.5,neutral,-8.337,-5.8,-2.537,below_signal,contracting_neg,none,below,813.93,773.28,,n/a (short),n/a,below,above,n/a,26.7,trending,+DI>-DI,falling,green_buy,none,52.25,6.51,contracting,815.7,below,-1.58,811.62,853.18,761.23,837.07,774.17,mid_range
CPPLUS,237,3614.4,55.7,neutral,flat,bearish,70.5,70.3,none,neutral,none,below_mid,7.71,True,contracting,above,bullish,above,none,30.7,above0,-55.8,neutral,rising,bearish,49.9,neutral,118.221,138.891,-20.67,below_signal,expanding_neg,none,above,3580.54,3243.77,2263.08,bullish,rising,above,above,above,44.0,trending,+DI>-DI,falling,green_buy,none,145.97,4.04,expanding,3630.63,below,-0.45,3684.07,3758.13,3540.33,3786.53,3509.93,mid_range
BLISSGVS,352,483.5,49.6,neutral,falling,none,37.1,51.4,bear,neutral,none,below_mid,17.17,True,contracting,above,bullish,above,none,-30.2,below0,-84.0,oversold,rising,none,53.9,neutral,20.282,28.275,-7.993,below_signal,expanding_neg,none,above,497.49,439.16,290.76,bullish,rising,below,above,above,35.1,trending,-DI>+DI,falling,green_buy,none,24.39,5.04,contracting,505.98,below,-4.44,491.08,502.42,472.17,549.75,484.55,below_S1
CUPID,352,214.78,66.2,neutral,falling,none,79.2,79.0,none,neutral,none,above_mid,28.61,True,contracting,above,bullish,above,none,35.8,above0,-22.8,neutral,rising,none,69.3,neutral,15.74,16.457,-0.718,below_signal,expanding_neg,bear,above,198.64,169.99,109.64,bullish,rising,above,above,above,30.7,trending,+DI>-DI,falling,green_buy,none,11.22,5.22,expanding,205.09,above,4.72,212.64,218.84,208.57,233.2,184.09,mid_range
KSHINTL,142,864.75,54.7,neutral,rising,none,77.9,81.8,bear,neutral,none,above_mid,12.1,True,expanding,above,bearish,above,none,68.3,above0,-39.3,neutral,rising,none,60.5,neutral,19.623,19.923,-0.3,below_signal,expanding_neg,bear,above,851.03,789.1,,n/a (short),n/a,above,above,n/a,18.5,choppy,+DI>-DI,falling,green_buy,none,45.83,5.3,expanding,853.4,above,1.33,874.95,899.8,839.9,889.58,786.53,mid_range
GRWRHITECH,352,6970.5,62.8,neutral,falling,bearish,63.5,68.7,bear,neutral,bearish,above_mid,7.82,True,contracting,above,bullish,above,none,5.7,above0,-38.1,neutral,rising,none,60.2,neutral,223.927,266.904,-42.977,below_signal,expanding_neg,none,above,6806.8,6219.5,4749.42,bullish,rising,above,above,above,37.7,trending,+DI>-DI,falling,green_buy,none,250.44,3.59,contracting,6890.34,above,1.16,6911.5,7057.5,6824.5,7215.67,6689.67,mid_range
BHAGYANGR,352,401.05,59.5,neutral,flat,none,41.0,28.4,bull,neutral,none,above_mid,16.8,True,contracting,above,bullish,above,none,26.5,above0,-41.5,neutral,flat,none,44.9,neutral,11.838,15.294,-3.456,below_signal,contracting_neg,none,above,377.95,341.81,229.38,bullish,rising,above,above,above,24.2,transitional,+DI>-DI,falling,green_buy,none,19.15,4.77,contracting,393.34,above,1.96,401.68,408.37,394.37,405.73,362.73,mid_range
CEMPRO,352,1615.0,81.7,overbought,rising,bearish,90.4,90.4,bull,overbought,bearish,above_mid,42.32,False,expanding,above,bullish,above,none,69.1,above0,-8.0,overbought,rising,bearish,75.8,neutral,128.614,122.752,5.863,above_signal,contracting_pos,none,above,1450.48,1234.38,899.72,bullish,rising,above,above,above,66.0,trending,+DI>-DI,rising,green_buy,none,65.61,4.06,contracting,1448.32,above,11.51,1599.57,1637.43,1577.13,1627.67,1475.67,mid_range
DEEDEV,351,691.75,54.3,neutral,rising,none,64.3,61.2,none,neutral,none,above_mid,11.45,True,contracting,above,bearish,above,none,64.6,above0,-47.4,neutral,rising,none,65.5,neutral,17.743,20.515,-2.771,below_signal,expanding_neg,none,above,680.94,619.58,421.92,bullish,rising,above,above,above,23.6,transitional,+DI>-DI,falling,green_buy,none,38.96,5.63,contracting,683.12,above,1.26,697.57,711.13,678.18,729.03,650.68,mid_range
SPORTKING,351,197.21,65.0,neutral,rising,none,69.6,70.7,bear,neutral,none,above_mid,17.7,True,expanding,above,bearish,above,none,155.2,strong_up,-30.3,neutral,rising,none,81.5,overbought,6.005,4.53,1.476,above_signal,contracting_pos,bull,above,185.69,173.9,136.43,bullish,rising,above,above,above,29.3,trending,+DI>-DI,rising,green_buy,none,9.36,4.74,expanding,190.09,above,3.75,197.87,200.43,194.64,192.01,170.66,above_R1
MTARTECH,352,6046.0,34.5,neutral,falling,none,8.2,8.2,none,oversold,none,below_mid,34.26,True,expanding,inside,bearish,below,bear,-141.8,strong_down,-100.0,oversold,falling,none,31.9,neutral,-284.942,-136.239,-148.703,below_signal,expanding_neg,none,below,6994.17,6902.41,4792.34,bullish,rising,below,below,above,29.0,trending,-DI>+DI,rising,red_sell,sell_flip,399.62,6.61,contracting,7701.98,below,-21.5,6046.0,6046.0,6046.0,7314.83,6797.33,below_S1
AEROFLEX,352,410.6,42.9,neutral,flat,none,16.2,17.2,bear,oversold,none,below_mid,31.1,True,expanding,above,bearish,above,none,-78.2,below0,-87.0,oversold,rising,none,55.5,neutral,-7.691,-0.563,-7.128,below_signal,contracting_neg,none,below,432.76,414.8,303.26,bullish,rising,below,below,above,21.7,transitional,-DI>+DI,falling,red_sell,none,24.81,6.04,contracting,450.91,below,-8.94,407.82,417.48,400.93,457.67,382.77,mid_range
