symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
BAJAJHCARE,987.83,BAJAJHCARE.NS,Bajaj Healthcare Limited,NSE,293.5,46.89,41.7,11.4,False,False,False,False,24.7,91.2,-0.316,0.221,False,False,False,True,True,True,False,314.9,3
BAJAJELEC,3595.0,BAJAJELEC.NS,Bajaj Electricals Limited,NSE,311.5,56.19,27.8,32.6,False,False,False,True,30.4,88.6,-0.423,-3.505,True,False,False,True,False,True,False,364.65,3
BAJAJHFL,70049.94,BAJAJHFL.NS,Bajaj Housing Finance Limited,NSE,84.14,34.5,47.0,13.6,False,False,True,False,12.0,89.6,-0.213,-0.016,False,False,True,True,False,False,True,87.45,3
BAJAJCON,7233.1,BAJAJCON.NS,Bajaj Consumer Care Limited,NSE,552.05,4.98,58.2,53.9,True,True,True,False,32.3,85.8,-0.103,-4.411,False,False,False,True,True,True,True,559.85,3
BAJAJFINSV,272589.67,BAJAJFINSV.NS,Bajaj Finserv Limited,NSE,1703.2,22.41,36.6,22.5,False,False,True,False,8.9,90.4,-0.16,-7.503,False,False,False,True,True,True,True,1765.0,3
BAJEL,2324.35,BAJEL.NS,Bajel Projects Limited,NSE,200.55,24.01,66.7,33.7,True,True,False,True,24.8,85.0,-0.537,1.923,False,False,False,False,True,True,True,205.85,3
BAJFINANCE,553580.97,BAJFINANCE.NS,Bajaj Finance Limited,NSE,889.4,19.33,42.7,15.3,False,False,True,True,13.3,88.2,-0.089,-5.452,False,False,False,False,False,True,True,893.95,3
BALAJITELE,1066.04,BALAJITELE.NS,Balaji Telefilms Limited,NSE,87.34,38.2,36.2,14.4,False,False,True,False,34.3,87.8,-0.319,-0.926,True,False,False,True,True,False,True,92.77,3
BAJAJHIND,4726.35,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,NSE,19.75,33.37,62.4,19.1,True,True,True,False,18.8,88.6,-0.193,0.105,False,False,False,False,False,False,False,20.24,3
AZAD,14274.83,AZAD.NS,Azad Engineering Limited,NSE,2207.7,6.06,61.9,27.2,True,True,True,False,29.6,88.0,-0.099,5.786,False,False,True,False,False,True,True,2250.0,3
AVTNPL,1057.16,AVTNPL.NS,AVT Natural Products Limited,NSE,69.16,17.47,53.4,40.8,True,True,False,True,22.0,84.2,-0.537,-0.038,False,False,True,True,True,False,True,69.95,3
AVL,7120.67,AVL.NS,Aditya Vision Limited,NSE,551.2,7.93,59.8,19.0,True,True,True,True,17.7,87.4,0.037,-1.482,True,True,False,True,False,True,True,554.55,3
AVANTEL,4519.74,AVANTEL.NS,Avantel Limited,NSE,169.94,20.96,55.7,28.1,True,True,False,True,23.4,85.4,-0.083,0.054,False,False,True,True,True,True,True,173.44,3
AWHCL,1279.89,AWHCL.NS,Antony Waste Handling Cell Limited,NSE,451.05,34.91,36.7,15.3,False,False,True,True,18.4,90.8,-0.492,-2.232,False,False,False,True,False,True,True,483.95,3
AWL,24544.43,AWL.NS,AWL Agri Business Limited,NSE,188.88,33.96,39.2,20.7,False,False,True,False,17.8,88.2,-0.268,-1.158,True,False,False,True,False,True,True,195.99,3
AXISCADES,7822.72,AXISCADES.NS,AXISCADES Technologies Limited,NSE,1836.0,16.96,45.4,29.3,True,False,True,True,26.5,87.8,0.066,-37.581,False,True,True,False,True,True,True,2022.1,3
AVANTIFEED,15140.3,AVANTIFEED.NS,Avanti Feeds Limited,NSE,1110.6,30.32,28.9,23.4,True,False,True,True,30.6,90.2,-0.317,-20.537,False,False,False,True,True,True,False,1258.0,3
AXISBANK,395956.81,AXISBANK.NS,Axis Bank Limited,NSE,1272.3,10.29,48.7,15.6,True,False,True,True,12.1,90.4,-0.024,-0.763,False,False,False,True,False,True,True,1285.0,3
AWFIS,2231.35,AWFIS.NS,Awfis Space Solutions Limited,NSE,312.75,56.5,40.7,21.0,False,False,True,True,28.6,85.6,-0.429,-4.401,False,False,False,True,False,True,True,362.0,3
BALAXI,,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,NSE,24.28,62.0,41.5,18.8,False,False,True,False,23.7,87.0,-0.148,-0.199,True,False,False,True,True,False,True,25.44,3
BALAMINES,6627.3,BALAMINES.NS,Balaji Amines Limited,NSE,2043.3,6.49,69.3,43.0,True,True,False,True,53.2,84.4,0.433,13.335,False,True,False,False,True,True,True,2185.0,3
BCLIND,988.21,BCLIND.NS,Bcl Industries Limited,NSE,33.45,32.15,50.9,18.0,False,True,True,True,19.5,88.4,-0.182,-0.2,True,False,False,True,False,False,True,35.1,3
BBOX,19067.05,BBOX.NS,Black Box Limited,NSE,1072.9,2.73,88.4,68.0,True,True,False,True,55.3,84.0,0.238,-0.567,False,True,False,True,True,True,True,1103.0,3
BCG,2439.67,BCG.NS,Brightcom Group Limited,NSE,12.09,45.05,74.3,27.3,True,True,False,True,32.9,84.0,-0.044,0.181,False,False,False,False,False,False,True,13.17,3
BECTORFOOD,5283.31,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,NSE,172.2,45.13,34.9,17.2,False,False,True,False,20.7,90.4,-0.512,-0.577,True,False,False,True,True,True,False,187.48,3
BALKRISIND,41421.11,BALKRISIND.NS,Balkrishna Industries Limited,NSE,2142.0,23.54,43.9,16.9,False,False,False,True,12.7,90.4,-0.124,0.014,False,False,False,False,True,True,True,2197.1,3
BANCOINDIA,9388.25,BANCOINDIA.NS,Banco Products (I) Limited,NSE,655.45,25.5,63.8,20.5,True,True,False,True,17.9,84.6,-0.202,3.88,False,False,False,False,False,True,True,674.95,3
BDL,44255.09,BDL.NS,Bharat Dynamics Limited,NSE,1207.4,40.03,33.1,21.9,False,False,True,True,20.6,88.0,-0.076,-11.314,True,False,False,False,True,True,True,1324.5,3
BATAINDIA,8546.44,BATAINDIA.NS,Bata India Limited,NSE,664.6,48.28,36.5,13.1,False,False,True,True,16.1,90.4,-0.237,-2.38,False,False,False,True,True,True,True,704.95,3
BALUFORGE,5626.44,BALUFORGE.NS,Balu Forge Industries Limited,NSE,479.3,38.86,48.0,17.0,False,False,False,True,22.2,88.8,-0.109,-1.686,True,False,True,False,False,True,True,482.65,3
BALRAMCHIN,10752.85,BALRAMCHIN.NS,Balrampur Chini Mills Limited,NSE,531.8,15.29,52.6,18.9,True,True,True,False,17.8,86.6,-0.011,-1.659,True,False,True,True,True,True,True,535.9,3
BANSALWIRE,4772.61,BANSALWIRE.NS,Bansal Wire Industries Limited,NSE,305.55,29.65,47.4,17.7,False,True,True,False,21.3,85.0,-0.029,-2.679,False,False,True,True,False,True,True,317.38,3
BBTC,10664.98,BBTC.NS,The Bombay Burmah Trading Corporation Limited,NSE,1529.1,29.04,52.6,12.4,False,False,True,False,10.7,88.0,0.043,-2.198,False,True,True,True,True,True,True,1552.0,3
BALMLAWRIE,3067.81,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,NSE,179.04,24.84,42.0,12.8,False,False,True,False,18.2,88.0,-0.4,-1.107,True,False,False,True,False,True,True,181.89,3
BANKINDIA,64397.49,BANKINDIA.NS,Bank of India,NSE,141.46,20.69,49.0,12.3,False,False,True,False,12.8,90.4,-0.051,0.038,False,False,True,True,False,True,False,143.4,3
BANDHANBNK,33170.86,BANDHANBNK.NS,Bandhan Bank Limited,NSE,205.87,3.19,62.5,27.6,True,True,True,False,24.1,88.8,-0.11,-0.157,False,False,True,True,True,True,True,210.63,3
AVALON,10733.78,AVALON.NS,Avalon Technologies Limited,NSE,1607.9,4.77,70.4,29.3,True,True,False,False,39.7,84.0,0.268,4.98,False,True,False,True,True,True,True,1688.5,3
BANKBARODA,136368.82,BANKBARODA.NS,Bank of Baroda,NSE,263.7,18.99,45.0,15.3,False,False,False,False,10.8,90.8,-0.016,0.393,False,False,True,False,True,True,True,270.1,3
ARTEMISMED,4247.27,ARTEMISMED.NS,Artemis Medicare Services Limited,NSE,268.2,9.85,51.7,27.1,True,True,False,False,23.8,84.2,-0.065,-2.695,False,False,True,True,True,True,True,276.4,3
ARVIND,12944.46,ARVIND.NS,Arvind Limited,NSE,493.7,4.11,63.6,48.1,True,True,False,False,26.8,84.2,0.079,-1.476,False,True,False,False,True,True,False,500.95,3
ARVSMART,2688.26,ARVSMART.NS,Arvind SmartSpaces Limited,NSE,584.6,22.77,44.6,17.5,False,False,True,False,13.8,85.8,-0.645,-3.784,False,False,True,True,False,True,True,594.65,3
