symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
PHOENIXLTD,62581.72,PHOENIXLTD.NS,The Phoenix Mills Limited,NSE,1751.1,12.14,49.9,18.1,True,True,True,True,9.7,87.4,-0.022,-7.107,False,False,False,False,False,True,True,1762.0,3
PFS,1980.8,PFS.NS,PTC India Financial Services Limited,NSE,30.88,30.14,54.8,31.5,False,True,True,False,15.8,87.8,-0.268,-0.001,True,False,True,True,False,False,True,31.88,3
PCBL,11400.58,PCBL.NS,PCBL Chemical Limited,NSE,289.15,33.88,51.0,15.2,False,True,True,False,16.4,88.0,0.166,0.003,False,True,True,True,True,True,True,298.0,3
PDMJEPAPER,781.44,PDMJEPAPER.NS,Pudumjee Paper Products Limited,NSE,82.61,44.33,48.8,10.2,False,False,True,False,17.3,90.4,-0.456,-0.036,True,False,True,True,True,False,True,84.98,3
PGIL,7685.04,PGIL.NS,Pearl Global Industries Limited,NSE,1665.6,16.44,59.0,29.6,True,True,False,False,18.1,84.4,0.129,3.76,False,True,False,True,False,True,False,1693.6,3
20MICRONS,692.67,20MICRONS.NS,20 Microns Limited,NSE,195.77,31.05,63.3,27.1,True,True,False,True,24.9,85.4,-0.015,0.776,False,False,False,False,False,True,True,197.59,3
PATELENG,2700.61,PATELENG.NS,Patel Engineering Limited,NSE,27.22,41.34,52.5,15.8,False,True,True,False,15.8,89.4,-0.163,0.007,False,False,False,True,True,False,True,28.3,3
PICCADIL,5696.48,PICCADIL.NS,Piccadily Agro Industries Limited,NSE,578.05,28.24,46.3,15.4,False,False,True,True,21.3,81.8,-0.23,-1.076,True,False,False,True,False,True,True,588.3,3
PENINLAND,517.5,PENINLAND.NS,Peninsula Land Limited,NSE,15.48,66.35,33.4,11.9,False,False,True,False,32.5,90.8,-0.253,-0.101,False,False,False,True,True,False,True,16.99,3
PDSL,4533.22,PDSL.NS,PDS Limited,NSE,320.2,26.2,69.4,17.9,False,True,True,False,16.9,83.8,0.179,2.473,False,True,False,True,True,True,True,339.0,3
PIDILITIND,150274.53,PIDILITIND.NS,Pidilite Industries Limited,NSE,1476.6,6.24,58.9,17.4,True,True,True,True,13.2,88.0,-0.006,-3.221,False,False,True,True,False,True,True,1487.0,3
PAYTM,68204.8,PAYTM.NS,One 97 Communications Limited,NSE,1065.2,22.91,40.4,20.5,False,False,True,False,15.3,88.0,-0.189,-9.068,False,False,False,True,True,True,True,1071.0,3
POWERGRID,265392.73,POWERGRID.NS,Power Grid Corporation of India Limited,NSE,285.65,12.09,35.3,30.5,False,False,False,True,14.3,89.8,-0.118,-1.321,False,False,False,False,False,True,False,287.9,3
PERSISTENT,79536.76,PERSISTENT.NS,Persistent Systems Limited,NSE,5038.5,23.65,48.5,15.5,False,False,True,False,18.4,84.6,-0.203,9.539,False,False,True,True,False,True,True,5137.0,3
PFOCUS,18631.53,PFOCUS.NS,Prime Focus Limited,NSE,240.19,34.55,40.0,44.0,True,False,True,False,40.5,90.6,-0.007,0.64,False,False,True,True,True,True,True,244.39,3
PGEL,13850.53,PGEL.NS,PG Electroplast Limited,NSE,485.35,41.98,47.7,22.2,False,False,True,True,21.9,90.4,-0.056,3.287,False,False,True,True,True,True,True,493.9,3
PIIND,41246.85,PIIND.NS,PI Industries Limited,NSE,2717.9,37.23,35.4,28.5,False,False,False,True,16.8,86.6,-0.182,-18.878,True,False,False,False,False,True,False,2958.2,3
POONAWALLA,34360.73,POONAWALLA.NS,Poonawalla Fincorp Limited,NSE,389.85,31.65,39.4,20.9,False,False,True,False,19.1,88.0,-0.28,-0.877,True,False,False,True,True,True,True,426.7,3
PETRONET,40410.0,PETRONET.NS,Petronet LNG Limited,NSE,269.45,17.45,45.3,13.9,False,False,True,True,9.7,88.6,-0.254,-0.5,False,False,False,False,True,True,True,272.25,3
PENIND,2249.72,PENIND.NS,Pennar Industries Limited,NSE,158.07,43.53,47.5,16.9,False,False,False,True,19.1,85.0,0.035,0.155,False,True,True,True,True,True,True,174.09,3
PFC,142646.9,PFC.NS,Power Finance Corporation Limited,NSE,431.75,11.25,48.4,15.5,True,False,True,True,16.0,89.6,-0.161,-1.064,True,False,True,True,True,True,False,434.55,3
PPLPHARMA,22165.21,PPLPHARMA.NS,Piramal Pharma Limited,NSE,166.77,24.49,45.5,24.8,False,True,True,False,28.2,88.2,-0.124,-1.92,False,False,False,True,False,True,True,171.65,3
POWERINDIA,164268.77,POWERINDIA.NS,Hitachi Energy India Limited,NSE,36870.0,4.94,61.8,32.6,True,True,False,True,29.0,84.8,0.129,-163.052,False,True,False,False,False,True,True,38645.0,3
PRAJIND,6494.12,PRAJIND.NS,Praj Industries Limited,NSE,353.45,34.3,41.2,26.5,False,False,True,False,23.3,90.2,-0.192,-5.145,False,False,False,True,True,True,True,357.8,3
PRAKASH,2591.31,PRAKASH.NS,Prakash Industries Limited,NSE,144.3,24.41,47.7,16.8,True,True,True,True,18.9,88.2,-0.012,-0.867,False,False,True,True,False,True,True,148.01,3
POLYMED,14391.02,POLYMED.NS,Poly Medicure Limited,NSE,1419.8,38.71,47.4,18.5,False,False,False,True,24.0,87.6,-0.131,-11.307,True,False,False,False,False,True,True,1511.3,3
PNBHOUSING,26006.87,PNBHOUSING.NS,PNB Housing Finance Limited,NSE,997.7,12.63,42.5,32.2,True,True,True,False,24.3,85.4,-0.182,-14.902,False,False,False,True,False,True,True,1014.0,3
PNB,122802.1,PNB.NS,Punjab National Bank,NSE,106.85,20.94,52.4,17.3,False,False,True,False,14.8,90.4,-0.085,0.552,False,False,False,True,True,True,False,108.06,3
POLICYBZR,71004.88,POLICYBZR.NS,PB Fintech Limited,NSE,1534.1,22.44,30.9,25.8,False,False,False,True,21.4,86.0,-0.003,-34.186,False,False,False,True,False,True,True,1546.7,3
PNBGILTS,1697.68,PNBGILTS.NS,PNB Gilts Limited,NSE,94.45,21.16,75.1,37.1,True,True,False,True,33.0,84.0,0.174,1.563,False,True,False,False,True,False,True,98.01,3
PLATIND,1197.64,PLATIND.NS,Platinum Industries Limited,NSE,218.4,36.21,41.9,10.6,False,False,True,True,24.5,87.8,-0.425,-1.588,True,False,False,True,False,True,True,219.8,3
POLYCAB,146011.23,POLYCAB.NS,Polycab India Limited,NSE,9699.0,1.36,73.6,36.9,True,True,True,False,24.4,84.0,0.03,-19.184,False,True,False,True,True,True,True,9833.0,3
PNCINFRA,5388.61,PNCINFRA.NS,PNC Infratech Limited,NSE,209.91,36.74,48.2,17.5,False,False,True,False,23.9,90.4,-0.402,-0.895,True,False,True,True,True,True,True,222.0,3
PNGJL,7757.77,PNGJL.NS,P N Gadgil Jewellers Limited,NSE,572.35,22.28,48.5,27.4,False,False,False,False,30.9,88.0,-0.281,3.707,False,False,False,True,True,True,True,578.5,3
POKARNA,2553.49,POKARNA.NS,Pokarna Limited,NSE,824.35,28.08,44.9,11.8,False,False,True,False,21.1,91.0,-0.266,2.249,False,False,False,True,False,True,False,852.95,3
PASUPTAC,660.48,PASUPTAC.NS,Pasupati Acrylon Limited,NSE,74.21,3.22,79.0,43.2,True,True,False,True,41.1,83.6,0.032,1.345,False,True,False,False,True,False,True,76.68,3
POCL,3923.6,POCL.NS,Pondy Oxides & Chemicals Limited,NSE,1286.4,20.54,42.5,20.2,True,False,False,True,29.4,87.2,-0.237,-24.752,True,False,False,False,True,True,True,1319.9,3
OMINFRAL,822.34,OMINFRAL.NS,OM INFRA LIMITED,NSE,85.62,41.4,40.4,9.1,False,False,True,False,18.0,87.8,-0.251,-0.298,False,False,False,True,False,False,True,89.69,3
OMAXE,1380.9,OMAXE.NS,Omaxe Limited,NSE,75.05,33.82,43.0,18.6,False,False,True,False,22.6,87.6,-0.336,-0.222,True,False,False,True,False,False,True,79.0,3
ONESOURCE,20522.17,ONESOURCE.NS,Onesource Specialty Pharma Limited,NSE,1789.7,20.39,51.3,35.5,True,True,True,False,29.9,86.8,-0.033,-12.736,True,False,True,True,False,True,True,1824.0,3
OPTIEMUS,4018.49,OPTIEMUS.NS,Optiemus Infracom Limited,NSE,453.5,36.4,63.5,22.4,False,True,True,True,24.7,87.6,0.182,2.018,False,True,False,False,False,True,True,468.35,3
PATANJALI,45776.73,PATANJALI.NS,Patanjali Foods Limited,NSE,420.45,35.7,27.7,20.9,False,False,False,True,14.6,86.6,0.017,-3.548,False,True,False,False,False,True,False,463.75,3
ONMOBILE,536.92,ONMOBILE.NS,OnMobile Global Limited,NSE,50.66,32.53,45.2,14.8,False,False,True,False,28.8,88.4,-0.27,-0.249,True,False,False,True,False,False,True,51.75,3
OMAXAUTO,504.12,OMAXAUTO.NS,Omax Autos Limited,NSE,234.72,10.89,62.0,50.7,True,True,True,False,60.6,84.6,0.08,-2.926,False,True,True,True,False,True,False,258.24,3
OLAELEC,19795.8,OLAELEC.NS,Ola Electric Mobility Limited,NSE,44.88,37.01,70.7,38.6,True,True,True,False,26.3,84.2,0.184,0.633,False,True,False,False,True,False,True,47.76,3
OLECTRA,10580.62,OLECTRA.NS,Olectra Greentech Limited,NSE,1290.8,24.7,57.7,21.6,True,True,True,True,18.8,88.0,-0.31,5.314,False,False,True,False,False,True,True,1395.0,3
ONEPOINT,1541.86,ONEPOINT.NS,One Point One Solutions Limited,NSE,58.58,15.04,48.5,28.6,True,True,False,True,23.3,84.6,-0.06,-0.835,False,False,False,True,False,False,True,59.55,3
ONGC,332937.09,ONGC.NS,Oil & Natural Gas Corporation Limited,NSE,264.75,13.9,32.9,26.3,True,False,True,True,15.1,89.4,-0.204,-2.686,True,False,False,True,False,True,True,271.5,3
NTPCGREEN,84979.53,NTPCGREEN.NS,NTPC Green Energy Limited,NSE,100.86,15.91,40.3,13.2,True,False,True,False,19.8,89.8,-0.173,-0.616,True,False,False,True,True,True,True,101.96,3
NYKAA,75109.81,NYKAA.NS,FSN E-Commerce Ventures Limited,NSE,262.3,8.16,44.2,15.0,True,False,False,True,12.0,86.0,0.011,-0.972,True,True,True,True,False,True,False,266.79,3
NUVOCO,11384.35,NUVOCO.NS,Nuvoco Vistas Corporation Limited,NSE,319.15,33.16,48.0,26.3,False,True,True,True,22.5,85.0,0.04,-1.405,False,True,True,True,True,True,True,329.0,3
OBEROIRLTY,59372.61,OBEROIRLTY.NS,Oberoi Realty Limited,NSE,1633.4,18.53,46.1,13.3,False,False,True,True,10.4,90.0,-0.197,-6.012,False,False,True,True,False,True,True,1641.9,3
OIL,78605.82,OIL.NS,Oil India Limited,NSE,483.35,8.97,48.1,15.6,True,True,True,False,15.6,87.2,-0.061,-1.656,True,False,False,True,False,True,True,485.8,3
NUVAMA,28702.78,NUVAMA.NS,Nuvama Wealth Management Limited,NSE,1574.4,7.48,65.6,29.6,True,True,True,False,23.5,88.0,-0.018,-0.463,True,False,True,False,True,True,True,1647.9,3
NTPC,350679.93,NTPC.NS,NTPC Limited,NSE,361.65,12.73,28.2,22.5,False,False,True,False,13.5,89.8,-0.284,-3.604,False,False,False,True,False,True,True,368.55,3
PANAMAPET,2085.82,PANAMAPET.NS,Panama Petrochem Limited,NSE,344.75,7.62,61.6,40.9,True,True,False,True,28.8,84.6,-0.221,0.498,False,False,False,False,False,True,True,353.55,3
PANACEABIO,3314.28,PANACEABIO.NS,Panacea Biotec Limited,NSE,540.2,6.48,81.0,36.3,True,True,False,True,45.6,84.0,-0.03,10.231,False,False,False,False,True,True,True,577.65,3
ORICONENT,962.39,ORICONENT.NS,Oricon Enterprises Limited,NSE,60.83,16.81,36.7,11.6,True,False,True,True,19.3,91.0,-0.09,-0.293,False,False,True,True,True,False,False,61.53,3
PARAGMILK,2938.82,PARAGMILK.NS,Parag Milk Foods Limited,NSE,235.15,37.62,61.9,22.4,False,True,True,True,20.6,84.4,0.017,2.669,False,True,False,False,True,True,True,244.85,3
PAISALO,5257.95,PAISALO.NS,Paisalo Digital Limited,NSE,57.87,0.69,81.0,44.4,True,True,True,True,34.8,84.0,0.074,0.562,False,True,False,True,True,False,True,58.27,3
PARACABLES,2062.3,PARACABLES.NS,Paramount Communications Limited,NSE,67.32,7.08,64.1,39.4,True,True,False,True,52.4,84.0,0.132,-0.122,False,True,False,False,True,False,True,70.95,3
PARADEEP,13236.68,PARADEEP.NS,Paradeep Phosphates Limited,NSE,127.58,45.57,54.7,10.4,False,True,True,False,16.7,90.0,-0.055,0.029,False,False,False,True,True,True,True,131.48,3
OFSS,86546.3,OFSS.NS,Oracle Financial Services Software Limited,NSE,9936.5,6.12,58.1,32.4,True,True,True,True,33.1,85.0,-0.082,-40.917,False,False,False,False,True,True,False,10380.5,3
PARAS,7741.62,PARAS.NS,Paras Defence and Space Technologies Limited,NSE,960.15,3.41,72.0,21.6,True,True,False,True,33.8,84.0,-0.028,9.362,False,False,False,False,True,True,True,994.0,3
ORIENTCEM,2740.83,ORIENTCEM.NS,Orient Cement Limited,NSE,133.39,62.43,39.2,12.7,False,False,True,False,13.4,88.8,-0.217,-0.45,False,False,False,True,True,True,True,140.58,3
PARKHOTELS,2437.8,PARKHOTELS.NS,Apeejay Surrendra Park Hotels Limited,NSE,114.2,34.06,39.6,12.4,False,False,True,False,16.7,88.4,0.04,-0.777,True,True,False,True,False,True,True,115.48,3
ORIENTELEC,3805.38,ORIENTELEC.NS,Orient Electric Limited,NSE,178.38,23.26,41.0,23.4,False,False,True,False,19.4,88.2,0.129,-1.673,False,True,True,True,False,True,True,182.1,3
ORIENTHOT,1820.28,ORIENTHOT.NS,Oriental Hotels Limited,NSE,102.12,39.57,56.7,10.5,False,True,True,False,15.2,88.2,-0.086,0.188,False,False,True,False,True,True,True,102.95,3
ORIENTTECH,1204.47,ORIENTTECH.NS,Orient Technologies Limited,NSE,263.05,43.64,41.4,10.4,False,False,True,False,22.3,88.2,-0.378,-1.648,False,False,False,True,False,True,True,286.23,3
OSWALPUMPS,4692.44,OSWALPUMPS.NS,Oswal Pumps Limited,NSE,412.7,53.55,64.4,21.7,False,True,True,True,21.9,86.6,-0.157,3.926,False,False,False,False,False,True,True,439.7,3
OSWALSEEDS,,OSWALSEEDS.NS,ShreeOswal Seeds And Chemicals Limited,NSE,11.06,45.46,36.9,27.7,False,False,False,True,21.9,91.4,-0.273,-0.063,True,False,False,False,True,False,True,11.39,3
OSWALGREEN,604.02,OSWALGREEN.NS,Oswal Greentech Limited,NSE,23.49,53.85,32.2,16.8,False,False,True,True,23.0,91.2,-0.417,-0.114,True,False,False,True,True,False,True,24.63,3
PRECAM,1398.19,PRECAM.NS,Precision Camshafts Limited,NSE,147.05,43.87,42.1,21.2,False,False,True,False,23.5,86.0,-0.198,-1.482,False,False,True,True,False,True,True,157.36,3
RGL,1087.83,RGL.NS,Renaissance Global Limited,NSE,101.44,31.41,44.6,13.6,False,False,True,False,15.7,88.0,-0.03,-0.209,False,False,False,True,False,True,True,103.47,3
REPCOHOME,2304.76,REPCOHOME.NS,Repco Home Finance Limited,NSE,367.85,20.8,34.5,17.7,False,False,True,False,15.3,90.2,-0.076,-2.875,False,False,False,True,True,True,True,375.35,3
RESPONIND,4818.95,RESPONIND.NS,Responsive Industries Limited,NSE,180.66,28.02,54.2,43.5,True,True,False,True,38.6,83.8,-0.241,0.196,False,False,False,True,True,True,True,188.76,3
RHIM,8261.09,RHIM.NS,RHI MAGNESITA INDIA LIMITED,NSE,399.6,25.68,52.2,17.2,False,True,False,True,21.8,89.8,0.324,-0.635,False,True,True,False,False,True,True,414.55,3
RISHABH,1970.21,RISHABH.NS,Rishabh Instruments Limited,NSE,512.45,9.46,51.7,19.3,True,True,False,True,25.8,84.8,-0.003,-4.05,False,False,True,True,True,True,True,543.2,3
RITCO,742.9,RITCO.NS,Ritco Logistics Limited,NSE,259.4,18.2,56.6,38.2,True,True,False,True,33.6,86.4,0.14,-2.712,False,True,False,True,True,True,True,261.95,3
RICOAUTO,1852.73,RICOAUTO.NS,Rico Auto Industries Limited,NSE,136.85,3.9,68.2,15.9,True,True,False,True,22.0,84.0,0.513,1.485,False,True,False,False,True,True,True,139.79,3
RELTD,2284.61,RELTD.NS,Ravindra Energy Limited,NSE,128.11,33.2,47.5,15.9,False,False,False,True,25.4,89.4,-0.072,0.821,False,False,False,True,True,True,False,132.5,3
RENUKA,4780.59,RENUKA.NS,Shree Renuka Sugars Limited,NSE,22.44,37.41,34.4,36.5,False,False,True,False,30.5,88.4,-0.341,-0.087,True,False,False,False,True,False,False,24.48,3
RITES,10116.71,RITES.NS,RITES Limited,NSE,210.49,33.39,53.6,20.1,False,True,False,True,14.1,88.0,0.054,-0.141,True,True,True,False,False,True,True,212.4,3
RBZJEWEL,531.6,RBZJEWEL.NS,RBZ Jewellers Limited,NSE,132.7,25.87,56.8,17.5,False,True,True,False,21.9,90.0,-0.11,0.685,False,False,False,True,False,True,True,141.0,3
KTKBANK,9904.8,KTKBANK.NS,The Karnataka Bank Limited,NSE,262.0,5.89,52.2,29.6,True,True,True,False,15.8,85.0,-0.087,-0.827,False,False,False,True,True,True,False,273.75,3
RKFORGE,10057.16,RKFORGE.NS,Ramkrishna Forgings Limited,NSE,554.6,19.8,43.6,11.3,False,False,True,False,17.3,88.6,-0.171,-2.661,True,False,False,True,False,True,True,559.4,3
RCF,6967.82,RCF.NS,Rashtriya Chemicals and Fertilizers Limited,NSE,126.32,24.13,47.3,13.5,False,False,False,False,12.5,86.0,-0.48,-0.326,False,False,True,True,True,True,True,130.4,3
RELIGARE,7596.56,RELIGARE.NS,Religare Enterprises Limited,NSE,228.14,22.66,47.5,27.5,False,False,True,False,13.5,85.4,-0.041,-0.759,False,False,True,True,True,True,True,231.54,3
REDTAPE,7454.61,REDTAPE.NS,Redtape Limited,NSE,134.82,17.54,52.0,32.7,True,True,False,True,26.1,85.4,0.007,-0.466,False,True,False,False,True,True,True,136.0,3
RECLTD,90556.57,RECLTD.NS,REC Limited,NSE,343.9,19.78,52.1,19.5,False,False,True,False,17.2,90.6,-0.077,0.316,False,False,True,False,False,True,True,346.8,3
REFEX,4294.97,REFEX.NS,Refex Industries Limited,NSE,312.5,41.48,64.4,51.0,True,True,False,True,37.0,85.0,0.041,0.639,False,True,False,True,False,True,True,344.6,3
RELIANCE,1747321.4,RELIANCE.NS,Reliance Industries Limited,NSE,1291.0,19.9,32.1,23.3,False,False,True,True,12.6,88.6,-0.397,-5.754,False,False,False,False,False,True,False,1352.3,3
REDINGTON,18668.77,REDINGTON.NS,Redington Limited,NSE,239.01,28.61,61.7,23.9,False,True,False,True,17.1,84.2,-0.006,2.504,False,False,False,True,True,True,True,242.5,3
RELAXO,8237.38,RELAXO.NS,Relaxo Footwears Limited,NSE,330.05,37.25,61.6,29.0,False,True,False,True,23.1,84.6,0.344,3.912,False,True,False,False,True,True,True,358.0,3
RELINFRA,3353.64,RELINFRA.NS,Reliance Infrastructure Limited,NSE,81.76,80.69,71.8,47.1,False,True,True,True,29.6,91.6,0.656,2.149,False,True,False,False,True,False,False,89.09,3
RPTECH,3599.77,RPTECH.NS,Rashi Peripherals Limited,NSE,546.25,5.0,61.7,41.9,True,True,True,True,32.7,84.8,-0.077,-3.473,True,False,True,True,True,True,True,560.0,3
RRKABEL,25123.56,RRKABEL.NS,R R Kabel Limited,NSE,2223.4,0.73,77.8,50.3,True,True,False,True,39.9,84.0,0.116,9.941,False,True,False,False,True,True,False,2239.8,3
RTNINDIA,5404.67,RTNINDIA.NS,RattanIndia Enterprises Limited,NSE,39.13,43.86,69.0,18.8,False,True,True,True,24.3,84.2,-0.139,0.338,False,False,False,False,True,False,True,39.78,3
ROLEXRINGS,3765.01,ROLEXRINGS.NS,Rolex Rings Limited,NSE,138.35,21.39,44.1,15.9,True,False,True,False,28.7,90.4,-0.221,-1.105,True,False,False,True,True,True,False,140.9,3
RMDRIP,702.29,RMDRIP.NS,R M Drip and Sprinklers Systems Limited,NSE,16.31,77.42,31.1,30.4,False,False,True,False,46.4,91.8,-0.296,-0.02,False,False,False,True,True,False,False,19.97,3
RPSGVENT,3073.4,RPSGVENT.NS,RPSG VENTURES LIMITED,NSE,930.15,21.11,51.8,27.5,True,True,True,False,26.8,87.8,-0.498,-4.203,True,False,False,True,True,True,True,960.0,3
ROSSARI,2919.14,ROSSARI.NS,Rossari Biotech Limited,NSE,527.0,31.2,54.1,24.0,False,True,True,False,22.5,88.0,-0.062,-1.726,False,False,True,True,False,True,True,549.45,3
ROTO,1173.26,ROTO.NS,Roto Pumps Limited,NSE,62.27,43.13,66.5,12.4,False,True,True,True,14.5,84.0,-0.004,0.369,False,False,False,False,True,False,True,64.0,3
ROSSTECH,3967.93,ROSSTECH.NS,Rossell Techsys Limited,NSE,1052.2,6.22,59.2,28.0,True,True,False,True,28.9,84.4,-0.014,6.137,False,False,False,True,False,True,False,1061.9,3
RSYSTEMS,3022.0,RSYSTEMS.NS,R Systems International Limited,NSE,255.3,48.62,38.2,10.6,False,False,True,True,22.2,88.0,-0.435,-1.855,True,False,False,False,True,True,True,269.95,3
RPOWER,11820.03,RPOWER.NS,Reliance Power Limited,NSE,28.59,62.62,60.3,13.6,False,True,True,False,22.0,90.2,-0.065,0.04,False,False,True,True,False,False,True,29.28,3
ROUTE,3309.55,ROUTE.NS,ROUTE MOBILE LIMITED,NSE,525.45,54.62,53.3,14.2,False,True,True,True,19.3,88.2,-0.022,0.749,False,False,True,False,True,True,True,528.2,3
RBLBANK,21750.31,RBLBANK.NS,RBL Bank Limited,NSE,351.35,1.53,61.1,16.0,True,True,True,False,14.2,84.0,0.062,0.785,False,True,False,True,True,True,False,356.8,3
RPEL,5091.83,RPEL.NS,Raghav Productivity Enhancers Limited,NSE,1110.15,0.88,83.4,51.8,True,True,False,True,40.3,83.6,0.34,9.496,False,True,False,True,True,True,True,1120.0,3
RAYMONDREL,4005.08,RAYMONDREL.NS,Raymond Realty Limited,NSE,602.1,42.66,61.4,31.4,True,True,True,False,38.8,81.0,-0.221,-2.058,True,False,False,True,True,True,True,613.15,3
RAYMONDLSL,4686.55,RAYMONDLSL.NS,Raymond Lifestyle Limited,NSE,767.65,45.63,53.0,10.6,False,False,False,True,17.1,88.4,-0.121,5.208,False,False,False,False,True,True,False,825.0,3
PSB,16802.35,PSB.NS,Punjab & Sind Bank,NSE,23.68,31.26,45.0,12.8,False,False,True,False,12.1,88.0,-0.088,-0.036,False,False,False,True,False,False,True,24.49,3
PSPPROJECT,3461.12,PSPPROJECT.NS,PSP Projects Limited,NSE,873.45,15.19,61.1,24.7,True,True,False,True,30.7,83.4,0.034,4.069,False,True,False,False,True,True,True,879.0,3
PVP,847.09,PVP.NS,PVP Ventures Limited,NSE,32.52,17.48,66.4,24.6,True,True,True,False,31.7,91.0,-0.07,0.736,False,False,False,True,False,False,True,33.85,3
RBA,4003.78,RBA.NS,Restaurant Brands Asia Limited,NSE,68.71,21.61,61.0,27.9,True,True,False,True,11.3,85.0,-0.026,-0.154,False,False,True,True,False,False,True,69.48,3
PURVA,4997.93,PURVA.NS,Puravankara Limited,NSE,210.44,37.91,44.1,24.4,False,False,True,False,26.0,86.2,-0.656,-1.939,False,False,True,True,True,True,True,224.95,3
PVRINOX,9563.2,PVRINOX.NS,PVR INOX Limited,NSE,973.25,22.12,42.2,14.6,False,False,True,False,16.6,87.8,-0.429,-1.68,True,False,False,True,False,True,True,982.35,3
PRSMJOHNSN,5992.46,PRSMJOHNSN.NS,Prism Johnson Limited,NSE,119.31,32.21,41.2,14.1,False,False,True,True,18.2,89.8,-0.288,-0.228,True,False,False,True,True,True,True,125.99,3
QPOWER,8300.07,QPOWER.NS,Quality Power Electrical Equipments Limited,NSE,1072.0,25.61,45.6,32.5,True,False,True,False,34.4,89.6,-0.313,-8.276,True,False,False,True,True,True,True,1082.0,3
PROZONER,780.26,PROZONER.NS,Prozone Realty Limited,NSE,51.36,29.42,45.9,16.4,True,False,True,False,31.9,89.0,0.129,-0.002,False,True,True,True,False,False,True,53.69,3
PROTEAN,2505.65,PROTEAN.NS,Protean eGov Technologies Limited,NSE,616.6,38.91,57.0,24.6,False,True,False,False,26.7,86.0,-0.061,-0.617,False,False,False,True,False,True,True,627.35,3
PTC,5455.43,PTC.NS,PTC India Limited,NSE,184.39,19.66,40.6,30.4,True,False,True,False,29.4,88.2,-0.238,-2.292,True,False,False,True,True,True,True,192.29,3
PREMIERPOL,586.77,PREMIERPOL.NS,Premier Polyfilm Limited,NSE,55.82,18.95,51.8,8.8,True,True,True,True,17.2,91.4,-0.147,0.151,False,False,True,True,True,False,False,56.5,3
PRECWIRE,7620.35,PRECWIRE.NS,Precision Wires India Limited,NSE,417.05,10.79,52.0,24.9,True,True,True,True,31.5,85.8,-0.222,-1.758,False,False,True,True,False,True,True,434.7,3
PRESTIGE,59468.77,PRESTIGE.NS,Prestige Estates Projects Limited,NSE,1381.1,23.86,50.1,10.7,False,True,True,False,16.7,88.0,-0.18,-4.418,False,False,True,True,False,True,True,1407.6,3
PREMIERENE,48891.68,PREMIERENE.NS,Premier Energies Limited,NSE,1080.1,4.95,66.6,25.6,True,True,False,True,14.2,84.0,-0.064,5.858,False,False,False,True,True,True,False,1089.0,3
PROSTARM,810.11,PROSTARM.NS,Prostarm Info Systems Limited,NSE,137.72,45.67,40.9,9.9,False,False,False,True,25.1,87.6,-0.291,-1.194,True,False,False,True,True,True,True,155.7,3
PRIMO,638.82,PRIMO.NS,Primo Chemicals Limited,NSE,26.11,16.82,65.2,28.1,True,True,True,True,21.0,87.0,0.283,0.131,False,True,True,False,True,False,True,26.4,3
PRICOLLTD,6845.47,PRICOLLTD.NS,Pricol Limited,NSE,561.35,19.14,46.4,13.2,True,False,False,False,17.5,86.6,-0.247,0.413,False,False,True,True,False,True,False,573.45,3
PRINCEPIPE,2992.89,PRINCEPIPE.NS,Prince Pipes And Fittings Limited,NSE,271.15,30.06,57.2,22.0,False,True,False,False,21.9,86.0,-0.593,0.379,False,False,False,False,True,True,True,276.5,3
PRIVISCL,12655.14,PRIVISCL.NS,Privi Speciality Chemicals Limited,NSE,3230.7,10.03,49.1,17.8,True,True,True,False,21.0,87.4,-0.262,-8.674,False,False,False,True,False,True,True,3278.0,3
QUICKHEAL,975.65,QUICKHEAL.NS,Quick Heal Technologies Limited,NSE,180.01,56.8,45.0,20.8,False,False,False,True,35.6,87.8,-0.476,-3.625,False,False,False,False,True,True,True,194.4,3
RAMKY,3025.67,RAMKY.NS,Ramky Infrastructure Limited,NSE,438.8,37.76,38.6,19.1,False,False,True,True,19.0,88.6,-0.391,-1.118,False,False,False,True,True,True,True,474.75,3
QUADFUTURE,1345.2,QUADFUTURE.NS,Quadrant Future Tek Limited,NSE,337.45,36.45,67.5,30.1,True,True,False,True,20.1,84.0,0.055,4.947,False,True,False,False,False,True,False,344.3,3
RAMCOCEM,20753.56,RAMCOCEM.NS,The Ramco Cements Limited,NSE,880.7,27.48,41.3,26.4,False,False,True,True,17.3,90.4,-0.331,0.064,False,False,False,True,True,True,False,930.6,3
RAMRAT,3643.88,RAMRAT.NS,Ram Ratna Wires Limited,NSE,391.5,24.71,39.7,19.8,True,False,False,True,38.9,85.0,-0.486,-9.104,False,False,False,False,True,True,True,414.65,3
PREMEXPLN,3683.72,PREMEXPLN.NS,Premier Explosives Limited,NSE,685.65,12.04,65.1,28.6,True,True,False,True,43.4,85.6,-0.007,1.314,False,False,False,False,True,True,True,779.5,3
RATEGAIN,8962.26,RATEGAIN.NS,Rategain Travel Technologies Limited,NSE,758.7,5.4,69.7,57.8,True,True,False,True,33.2,84.4,0.216,3.033,False,True,False,False,True,True,True,802.0,3
