symbol,candle_signals_20d,bullish_candles,bearish_candles,candle_bias
J&KBANK,32,6,10,bearish
540252,33,9,6,bullish
UNIVCABLES,32,8,10,bearish
GOCLCORP,22,5,7,bearish
500449,28,7,8,bearish
BHARATFORG,36,8,10,bearish
SBC,34,9,10,bearish
526570,28,8,8,neutral
FINCABLES,18,3,6,bearish
CGPOWER,26,10,5,bullish
DIACABS,33,8,9,bearish
SPARC,27,7,9,bearish
KINGFA,25,5,9,bearish
HAPPYFORGE,35,4,14,bearish
LAURUSLABS,26,7,7,neutral
MBAPL,30,10,6,bullish
MCL,32,11,12,bearish
CALSOFT,29,13,5,bullish
BELRISE,32,8,9,bearish
ADFFOODS,25,5,11,bearish
ADANIENT,27,8,9,bearish
SOUTHWEST,29,2,11,bearish
MENONBE,25,5,8,bearish
SENORES,25,3,9,bearish
GRAPHITE,27,6,7,bearish
GHCLTEXTIL,24,4,8,bearish
519477,25,7,4,bullish
IDEA,26,5,6,bearish
SIGNPOST,26,7,6,bullish
DHANBANK,37,4,16,bearish
543916,38,10,13,bearish
531911,31,12,10,bullish
SCI,35,9,12,bearish
DIVGIITTS,24,10,7,bullish
MIDHANI,26,5,7,bearish
NAM-INDIA,32,8,11,bearish
GLAND,29,6,14,bearish
CLEANMAX,18,3,5,bearish
GAEL,32,9,9,neutral
HSCL,35,9,9,neutral
GULPOLY,35,6,12,bearish
539132,30,10,7,bullish
POLYCAB,24,7,8,bearish
ANGELONE,25,9,6,bullish
SANSTAR,22,6,6,neutral
543828,30,7,14,bearish
VIVIMEDLAB,32,12,9,bullish
GKSL,33,11,8,bullish
RUBYMILLS,27,8,8,neutral
RAMRAT,26,9,7,bullish
SPECTRUM,30,8,13,bearish
SONAMLTD,27,5,9,bearish
SAILIFE,27,6,9,bearish
NELCAST,48,14,17,bearish
STLNETWORK,38,13,12,bullish
AETHER,36,7,12,bearish
GMDCLTD,38,7,14,bearish
AARTIIND,36,9,10,bearish
540693,32,12,7,bullish
APCOTEXIND,27,4,9,bearish
513502,25,6,4,bullish
GUJALKALI,27,6,7,bearish
LENSKART,34,7,9,bearish
VIJAYA,29,9,11,bearish
JINDALPOLY,32,8,11,bearish
MARKSANS,23,6,5,bullish
JSWENERGY,22,7,4,bullish
NSLNISP,30,6,10,bearish
ROLEXRINGS,20,5,5,neutral
TARIL,24,4,9,bearish
544141,32,7,11,bearish
OFSS,29,12,7,bullish
544023,33,13,10,bullish
531626,35,7,11,bearish
ICICIAMC,34,13,9,bullish
CUMMINSIND,27,9,8,bullish
AVADHSUGAR,45,10,20,bearish
PIRAMALFIN,24,7,6,bullish
ADVENZYMES,29,2,13,bearish
CRAFTSMAN,30,4,13,bearish
539730,32,5,12,bearish
RHETAN,35,13,11,bullish
STEELCAS,30,12,6,bullish
AYE,30,7,9,bearish
NRBBEARING,30,7,9,bearish
BHARATWIRE,36,9,9,neutral
CEMPRO,33,7,13,bearish
AZAD,32,8,8,neutral
WSTCSTPAPR,26,8,8,neutral
SKIPPER,31,14,9,bullish
AKUMS,37,5,17,bearish
KEI,31,8,4,bullish
TRITURBINE,28,8,9,bearish
GROWW,28,8,8,neutral
540545,27,10,8,bullish
RISHABH,32,7,8,bearish
VISHNU,38,7,14,bearish
TATASTEEL,28,8,9,bearish
INOXINDIA,26,9,5,bullish
ELECTHERM,26,9,6,bullish
PANACEABIO,34,5,17,bearish
GANDHAR,27,4,12,bearish
530145,46,11,15,bearish
SIS,35,10,9,bullish
MMFL,26,6,10,bearish
TIPSMUSIC,37,14,7,bullish
HINDZINC,23,6,6,neutral
530883,34,6,11,bearish
GALAPREC,29,7,8,bearish
PREMIERPOL,30,10,9,bullish
NOVARTIND,26,9,8,bullish
KOVAI,37,10,9,bullish
NITTAGELA,30,6,11,bearish
SEDEMAC,24,4,11,bearish
ELPROINTL,36,10,10,neutral
CMPDI,28,6,11,bearish
EMPOWER,25,4,2,bullish
COCKERILL,24,2,12,bearish
KPL,30,7,9,bearish
DECNGOLD,17,5,3,bullish
POWERICA,23,4,5,bearish
MMWL,26,6,10,bearish
TIMEX,24,6,7,bearish
HALDYNGL,32,7,15,bearish
